seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.4,0.421500,0.253500,0.110441
0,mutual_knn,0.4,0.074810,0.034750,0.013948
0,lcs_knn,0.4,0.154100,0.073300,0.032306
0,cka,0.4,0.916784,0.549727,0.543488
0,unbiased_cka,0.4,0.916677,0.549408,0.543376
0,cknna,0.4,0.056206,0.030701,0.011658
0,svcca,0.4,0.936560,0.549965,0.516318
0,edit_distance_knn,0.4,0.752280,0.750870,0.750411
0,cycle_knn,0.2,0.397100,0.218700,0.100453
0,mutual_knn,0.2,0.068150,0.029960,0.012631
0,lcs_knn,0.2,0.143700,0.065400,0.029541
0,cka,0.2,0.907850,0.312131,0.452714
0,unbiased_cka,0.2,0.907733,0.311692,0.452571
0,cknna,0.2,0.050546,0.026079,0.010433
0,svcca,0.2,0.930244,0.466268,0.479063
0,edit_distance_knn,0.2,0.751960,0.750920,0.750465
0,cycle_knn,0.0,0.386800,0.206100,0.096958
0,mutual_knn,0.0,0.065820,0.027220,0.012270
0,lcs_knn,0.0,0.139700,0.059600,0.029080
0,cka,0.0,0.908825,0.361880,0.387804
0,unbiased_cka,0.0,0.908710,0.361484,0.387688
0,cknna,0.0,0.050402,0.023597,0.010597
0,svcca,0.0,0.925804,0.469241,0.478866
0,edit_distance_knn,0.0,0.751930,0.750750,0.750384
0,cycle_knn,0.1,0.396500,0.220300,0.083321
0,mutual_knn,0.1,0.068440,0.030360,0.010260
0,lcs_knn,0.1,0.141800,0.066300,0.022933
0,cka,0.1,0.910882,0.385998,0.299840
0,unbiased_cka,0.1,0.910767,0.385627,0.299678
0,cknna,0.1,0.051511,0.025680,0.008706
0,svcca,0.1,0.929323,0.506521,0.466083
0,edit_distance_knn,0.1,0.752200,0.751010,0.750284
0,cycle_knn,0.6,0.445100,0.257000,0.121159
0,mutual_knn,0.6,0.080250,0.036270,0.015496
0,lcs_knn,0.6,0.166900,0.073900,0.036417
0,cka,0.6,0.925035,0.552499,0.550476
0,unbiased_cka,0.6,0.924937,0.552212,0.550371
0,cknna,0.6,0.060378,0.031485,0.013348
0,svcca,0.6,0.940968,0.555500,0.551019
0,edit_distance_knn,0.6,0.752530,0.750940,0.750492
0,cycle_knn,0.8,0.476200,0.303800,0.134488
0,mutual_knn,0.8,0.088520,0.044800,0.017386
0,lcs_knn,0.8,0.184500,0.097900,0.039874
0,cka,0.8,0.930806,0.558979,0.610159
0,unbiased_cka,0.8,0.930714,0.558702,0.610061
0,cknna,0.8,0.067446,0.037489,0.014789
0,svcca,0.8,0.943699,0.619375,0.592710
0,edit_distance_knn,0.8,0.752910,0.751410,0.750469
0,cycle_knn,0.5,0.442800,0.249300,0.121620
0,mutual_knn,0.5,0.078530,0.035290,0.015880
0,lcs_knn,0.5,0.161400,0.077000,0.036378
0,cka,0.5,0.919136,0.359428,0.577830
0,unbiased_cka,0.5,0.919031,0.359040,0.577723
0,cknna,0.5,0.061822,0.031948,0.013315
0,svcca,0.5,0.938591,0.520784,0.543690
0,edit_distance_knn,0.5,0.752490,0.751010,0.750538
0,cycle_knn,0.7,0.470000,0.254900,0.129418
0,mutual_knn,0.7,0.084490,0.035720,0.017175
0,lcs_knn,0.7,0.178000,0.080700,0.040181
0,cka,0.7,0.924420,0.518695,0.537216
0,unbiased_cka,0.7,0.924321,0.518387,0.537116
0,cknna,0.7,0.064533,0.030805,0.013773
0,svcca,0.7,0.943969,0.562769,0.579900
0,edit_distance_knn,0.7,0.752910,0.751300,0.750576
0,cycle_knn,0.3,0.417500,0.229800,0.093846
0,mutual_knn,0.3,0.073210,0.031530,0.012170
0,lcs_knn,0.3,0.153700,0.070300,0.026775
0,cka,0.3,0.910665,0.478276,0.470830
0,unbiased_cka,0.3,0.910551,0.477958,0.470705
0,cknna,0.3,0.056984,0.027077,0.010248
0,svcca,0.3,0.930568,0.505691,0.454820
0,edit_distance_knn,0.3,0.752350,0.751030,0.750357
0,cycle_knn,1.0,0.514000,0.294100,0.160725
0,mutual_knn,1.0,0.098700,0.043830,0.021704
0,lcs_knn,1.0,0.194300,0.092100,0.048671
0,cka,1.0,0.937763,0.664350,0.651231
0,unbiased_cka,1.0,0.937678,0.664122,0.651126
0,cknna,1.0,0.077743,0.037018,0.018013
0,svcca,1.0,0.950061,0.633392,0.648672
0,edit_distance_knn,1.0,0.753370,0.751230,0.750665
0,cycle_knn,0.9,0.487200,0.263100,0.110748
0,mutual_knn,0.9,0.094030,0.038120,0.014198
0,lcs_knn,0.9,0.193800,0.082300,0.033997
0,cka,0.9,0.931717,0.589623,0.537676
0,unbiased_cka,0.9,0.931625,0.589353,0.537559
0,cknna,0.9,0.072689,0.032534,0.011424
0,svcca,0.9,0.944595,0.614870,0.570775
0,edit_distance_knn,0.9,0.753260,0.751160,0.750446
1,cycle_knn,0.2,0.397500,0.218400,0.093231
1,mutual_knn,0.2,0.067600,0.030520,0.011912
1,lcs_knn,0.2,0.141200,0.066900,0.026391
1,cka,0.2,0.911829,0.371662,0.326978
1,unbiased_cka,0.2,0.911716,0.371252,0.326812
1,cknna,0.2,0.051553,0.026723,0.010059
1,svcca,0.2,0.931908,0.481598,0.503371
1,edit_distance_knn,0.2,0.752260,0.750930,0.750353
1,cycle_knn,0.6,0.448000,0.245500,0.120890
1,mutual_knn,0.6,0.082510,0.035150,0.015519
1,lcs_knn,0.6,0.170400,0.078200,0.034150
1,cka,0.6,0.924375,0.570871,0.508671
1,unbiased_cka,0.6,0.924276,0.570603,0.508563
1,cknna,0.6,0.062805,0.031051,0.013026
1,svcca,0.6,0.939152,0.545566,0.558545
1,edit_distance_knn,0.6,0.752740,0.751170,0.750384
1,cycle_knn,0.9,0.490600,0.249100,0.159995
1,mutual_knn,0.9,0.094290,0.034830,0.022115
1,lcs_knn,0.9,0.193300,0.074700,0.049785
1,cka,0.9,0.932227,0.486701,0.594752
1,unbiased_cka,0.9,0.932135,0.486374,0.594617
1,cknna,0.9,0.072895,0.030376,0.018847
1,svcca,0.9,0.947569,0.529060,0.622654
1,edit_distance_knn,0.9,0.753120,0.751020,0.750688
1,cycle_knn,0.0,0.386000,0.191300,0.079978
1,mutual_knn,0.0,0.063790,0.025340,0.009992
1,lcs_knn,0.0,0.140100,0.054400,0.025507
1,cka,0.0,0.907029,0.403936,0.349612
1,unbiased_cka,0.0,0.906912,0.403563,0.349446
1,cknna,0.0,0.047084,0.021037,0.008410
1,svcca,0.0,0.927040,0.484148,0.486299
1,edit_distance_knn,0.0,0.752180,0.750690,0.750380
1,cycle_knn,0.7,0.459200,0.217600,0.143132
1,mutual_knn,0.7,0.083320,0.029510,0.019042
1,lcs_knn,0.7,0.166700,0.069300,0.043178
1,cka,0.7,0.923904,0.468763,0.581111
1,unbiased_cka,0.7,0.923804,0.468446,0.581015
1,cknna,0.7,0.063462,0.026063,0.015708
1,svcca,0.7,0.940438,0.514206,0.600781
1,edit_distance_knn,0.7,0.752540,0.750790,0.750557
1,cycle_knn,0.3,0.422600,0.209800,0.092079
1,mutual_knn,0.3,0.073260,0.028800,0.011931
1,lcs_knn,0.3,0.149600,0.059500,0.026544
1,cka,0.3,0.916473,0.394899,0.359531
1,unbiased_cka,0.3,0.916366,0.394522,0.359373
1,cknna,0.3,0.055222,0.024903,0.009749
1,svcca,0.3,0.933126,0.495507,0.496133
1,edit_distance_knn,0.3,0.752440,0.750700,0.750388
1,cycle_knn,1.0,0.505100,0.276500,0.148125
1,mutual_knn,1.0,0.096600,0.040430,0.019634
1,lcs_knn,1.0,0.193800,0.085400,0.045559
1,cka,1.0,0.928784,0.584989,0.609181
1,unbiased_cka,1.0,0.928689,0.584661,0.609093
1,cknna,1.0,0.076159,0.034783,0.015348
1,svcca,1.0,0.945932,0.579081,0.631978
1,edit_distance_knn,1.0,0.753460,0.751150,0.750630
1,cycle_knn,0.5,0.430300,0.209300,0.105524
1,mutual_knn,0.5,0.076190,0.027520,0.012961
1,lcs_knn,0.5,0.156400,0.064600,0.031384
1,cka,0.5,0.921252,0.511101,0.446696
1,unbiased_cka,0.5,0.921150,0.510771,0.446543
1,cknna,0.5,0.058146,0.024095,0.010304
1,svcca,0.5,0.936233,0.505033,0.505456
1,edit_distance_knn,0.5,0.752420,0.750750,0.750396
1,cycle_knn,0.8,0.485400,0.239300,0.156769
1,mutual_knn,0.8,0.091140,0.033380,0.022818
1,lcs_knn,0.8,0.179900,0.072600,0.050284
1,cka,0.8,0.931305,0.514107,0.645203
1,unbiased_cka,0.8,0.931213,0.513799,0.645115
1,cknna,0.8,0.069438,0.028252,0.018830
1,svcca,0.8,0.945433,0.520320,0.624885
1,edit_distance_knn,0.8,0.752830,0.750990,0.750741
1,cycle_knn,0.1,0.386500,0.197600,0.116549
1,mutual_knn,0.1,0.066770,0.025870,0.014705
1,lcs_knn,0.1,0.139700,0.059800,0.035648
1,cka,0.1,0.906876,0.399821,0.445556
1,unbiased_cka,0.1,0.906758,0.399460,0.445431
1,cknna,0.1,0.049937,0.022203,0.012219
1,svcca,0.1,0.927987,0.483578,0.530207
1,edit_distance_knn,0.1,0.751950,0.750960,0.750461
1,cycle_knn,0.4,0.436300,0.242000,0.117432
1,mutual_knn,0.4,0.077190,0.034160,0.015738
1,lcs_knn,0.4,0.162100,0.073000,0.033420
1,cka,0.4,0.919169,0.444453,0.271920
1,unbiased_cka,0.4,0.919063,0.444116,0.271796
1,cknna,0.4,0.058362,0.030121,0.013540
1,svcca,0.4,0.938362,0.523705,0.534206
1,edit_distance_knn,0.4,0.752110,0.751140,0.750411
2,cycle_knn,0.4,0.413400,0.209300,0.090696
2,mutual_knn,0.4,0.073130,0.028340,0.011428
2,lcs_knn,0.4,0.152500,0.061600,0.025891
2,cka,0.4,0.916463,0.376549,0.386555
2,unbiased_cka,0.4,0.916357,0.376217,0.386432
2,cknna,0.4,0.056102,0.024104,0.009746
2,svcca,0.4,0.933033,0.451441,0.498885
2,edit_distance_knn,0.4,0.752290,0.750840,0.750300
2,cycle_knn,0.6,0.454300,0.238900,0.090274
2,mutual_knn,0.6,0.082480,0.032910,0.011225
2,lcs_knn,0.6,0.166200,0.075300,0.026352
2,cka,0.6,0.924873,0.545842,0.395671
2,unbiased_cka,0.6,0.924774,0.545570,0.395534
2,cknna,0.6,0.065165,0.029181,0.008885
2,svcca,0.6,0.941615,0.522706,0.525281
