seed,frac_overlap,model_idx,acc
0,0.4,1,0.9232
0,0.4,2,0.9193
0,0.2,1,0.9221
0,0.2,2,0.9236
0,0.0,1,0.9235
0,0.0,2,0.9255
0,0.1,1,0.923
0,0.1,2,0.9207
0,0.6,1,0.9259
0,0.6,2,0.923
0,0.8,1,0.9284
0,0.8,2,0.9196
0,0.5,1,0.9245
0,0.5,2,0.921
0,0.7,1,0.9264
0,0.7,2,0.9223
0,0.3,1,0.9228
0,0.3,2,0.9218
0,1.0,1,0.9243
0,1.0,2,0.9261
0,0.9,1,0.9245
0,0.9,2,0.9227
1,0.2,1,0.9213
1,0.2,2,0.925
1,0.6,1,0.9244
1,0.6,2,0.9212
1,0.9,1,0.923
1,0.9,2,0.9226
1,0.0,1,0.9217
1,0.0,2,0.921
1,0.7,1,0.9201
1,0.7,2,0.9249
1,0.3,1,0.924
1,0.3,2,0.9266
1,1.0,1,0.9233
1,1.0,2,0.9228
1,0.5,1,0.9221
1,0.5,2,0.9261
1,0.8,1,0.9213
1,0.8,2,0.9246
1,0.1,1,0.9211
1,0.1,2,0.9242
1,0.4,1,0.9214
1,0.4,2,0.9239
2,0.4,1,0.921
2,0.4,2,0.9227
2,0.6,1,0.9192
2,0.6,2,0.9223
2,0.3,1,0.9207
2,0.3,2,0.9251
2,1.0,1,0.925
2,1.0,2,0.9214
2,0.7,1,0.923
2,0.7,2,0.9207
2,0.9,1,0.9181
2,0.9,2,0.9226
2,0.0,1,0.9243
2,0.0,2,0.9239
2,0.1,1,0.9212
2,0.1,2,0.9234
2,0.2,1,0.9213
2,0.2,2,0.9293
2,0.5,1,0.9211
2,0.5,2,0.9237
2,0.8,1,0.9207
2,0.8,2,0.9221
3,1.0,1,0.9204
3,1.0,2,0.9212
3,0.5,1,0.9227
3,0.5,2,0.9226
3,0.0,1,0.9238
3,0.0,2,0.9218
3,0.1,1,0.9225
3,0.1,2,0.9208
3,0.7,1,0.9229
3,0.7,2,0.9228
3,0.9,1,0.9212
3,0.9,2,0.9207
3,0.3,1,0.9226
3,0.3,2,0.9238
3,0.4,1,0.9217
3,0.4,2,0.9198
3,0.2,1,0.9205
3,0.2,2,0.9263
3,0.8,1,0.9193
3,0.8,2,0.9196
3,0.6,1,0.9224
3,0.6,2,0.922
4,0.3,1,0.9249
4,0.3,2,0.9228
4,1.0,1,0.9238
4,1.0,2,0.923
4,0.2,1,0.923
4,0.2,2,0.9229
4,0.7,1,0.9232
4,0.7,2,0.9202
4,0.0,1,0.9227
4,0.0,2,0.9227
4,0.5,1,0.9272
4,0.5,2,0.9201
4,0.8,1,0.9219
4,0.8,2,0.9205
4,0.4,1,0.926
4,0.4,2,0.9229
4,0.9,1,0.9252
4,0.9,2,0.9252
4,0.6,1,0.9232
4,0.6,2,0.9265
4,0.1,1,0.9238
4,0.1,2,0.9196
5,0.6,1,0.9239
5,0.6,2,0.9267
5,0.8,1,0.9202
5,0.8,2,0.9211
5,0.4,1,0.9211
5,0.4,2,0.922
5,0.0,1,0.9229
5,0.0,2,0.9235
5,0.7,1,0.9229
5,0.7,2,0.9208
5,0.9,1,0.9218
5,0.9,2,0.9227
5,0.1,1,0.9203
5,0.1,2,0.9202
5,1.0,1,0.924
5,1.0,2,0.9212
5,0.2,1,0.9227
5,0.2,2,0.9202
5,0.5,1,0.9229
5,0.5,2,0.9206
5,0.3,1,0.9227
5,0.3,2,0.9221
6,0.3,1,0.924
6,0.3,2,0.9234
6,1.0,1,0.922
6,1.0,2,0.9289
6,0.5,1,0.923
6,0.5,2,0.923
6,0.9,1,0.922
6,0.9,2,0.923
6,0.4,1,0.9239
6,0.4,2,0.9213
6,0.7,1,0.9217
6,0.7,2,0.9223
6,0.8,1,0.9214
6,0.8,2,0.925
6,0.0,1,0.9212
6,0.0,2,0.9228
6,0.2,1,0.924
6,0.2,2,0.9211
6,0.6,1,0.9252
6,0.6,2,0.9247
6,0.1,1,0.9225
6,0.1,2,0.9229
