seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.2,0.345000,0.083000,0.124000,0.044484
0,mutual_knn,0.2,0.052300,0.009187,0.014650,0.004806
0,lcs_knn,0.2,0.098000,0.021500,0.035000,0.012062
0,cka,0.2,0.341798,0.320940,0.108294,0.071079
0,unbiased_cka,0.2,0.338187,0.320601,0.107955,0.070987
0,cknna,0.2,0.045755,0.006670,0.013047,0.004010
0,svcca,0.2,0.308531,0.265303,0.213600,0.287489
0,edit_distance_knn,0.2,0.750900,0.750312,0.750530,0.750111
0,cycle_knn,1.0,0.584400,-1.000000,0.188700,0.133259
0,mutual_knn,1.0,0.127780,-1.000000,0.024470,0.017302
0,lcs_knn,1.0,0.252000,-1.000000,0.054500,0.040950
0,cka,1.0,0.976637,-1.000000,0.498714,0.472087
0,unbiased_cka,1.0,0.976608,-1.000000,0.498565,0.471943
0,cknna,1.0,0.105380,-1.000000,0.021314,0.014192
0,svcca,1.0,0.871192,-1.000000,0.488945,0.595718
0,edit_distance_knn,1.0,0.754420,-1.000000,0.750640,0.750557
0,cycle_knn,0.8,0.452250,0.248500,0.145700,0.102604
0,mutual_knn,0.8,0.078025,0.033550,0.018720,0.012780
0,lcs_knn,0.8,0.165250,0.078500,0.042300,0.031384
0,cka,0.8,0.968478,0.871282,0.383866,0.516383
0,unbiased_cka,0.8,0.968444,0.871224,0.383657,0.516287
0,cknna,0.8,0.060919,0.024269,0.016265,0.010639
0,svcca,0.8,0.678696,0.335082,0.377539,0.522638
0,edit_distance_knn,0.8,0.752900,0.751050,0.750460,0.750415
0,cycle_knn,0.4,0.360000,0.096667,0.122900,0.055240
0,mutual_knn,0.4,0.058800,0.010950,0.015030,0.006158
0,lcs_knn,0.4,0.119000,0.026167,0.033600,0.014751
0,cka,0.4,0.968691,0.316775,0.109548,0.191267
0,unbiased_cka,0.4,0.968680,0.316328,0.109246,0.191158
0,cknna,0.4,0.046429,0.008073,0.012618,0.005419
0,svcca,0.4,0.391692,0.246450,0.222201,0.310951
0,edit_distance_knn,0.4,0.751550,0.750233,0.750460,0.750161
0,cycle_knn,0.6,0.376000,0.137250,0.127400,0.063076
0,mutual_knn,0.6,0.061267,0.015875,0.016200,0.007326
