seed,frac_overlap,model_idx,acc
0,0.2,1,0.966
0,0.2,2,0.953
0,1.0,1,0.9718
0,1.0,2,0.9704
0,0.8,1,0.97275
0,0.8,2,0.9715
0,0.4,1,0.9745
0,0.4,2,0.97
0,0.6,1,0.9716666666666667
0,0.6,2,0.968
0,0.0,1,-1
0,0.0,2,-1
1,0.8,1,0.96775
1,0.8,2,0.9675
1,0.6,1,0.9626666666666667
1,0.6,2,0.9626666666666667
1,0.4,1,0.9645
1,0.4,2,0.968
1,0.0,1,-1
1,0.0,2,-1
1,1.0,1,0.9666
1,1.0,2,0.969
1,0.2,1,0.938
1,0.2,2,0.959
2,0.6,1,0.9736666666666667
2,0.6,2,0.955
2,0.8,1,0.97775
2,0.8,2,0.97175
2,0.2,1,0.976
2,0.2,2,0.969
2,0.0,1,-1
2,0.0,2,-1
2,1.0,1,0.9748
2,1.0,2,0.9728
2,0.4,1,0.986
2,0.4,2,0.9835
3,0.6,1,0.9666666666666667
3,0.6,2,0.9763333333333334
3,0.0,1,-1
3,0.0,2,-1
3,0.4,1,0.965
3,0.4,2,0.957
3,0.8,1,0.9635
3,0.8,2,0.9645
3,0.2,1,0.965
3,0.2,2,0.915
3,1.0,1,0.9634
3,1.0,2,0.9644
4,0.4,1,0.954
4,0.4,2,0.958
4,0.2,1,0.933
4,0.2,2,0.89
4,0.8,1,0.96425
4,0.8,2,0.972
4,0.0,1,-1
4,0.0,2,-1
4,1.0,1,0.963
4,1.0,2,0.964
4,0.6,1,0.9566666666666667
4,0.6,2,0.9603333333333334
5,0.0,1,-1
5,0.0,2,-1
5,0.8,1,0.969
5,0.8,2,0.9625
5,0.4,1,0.975
5,0.4,2,0.9765
5,0.6,1,0.9656666666666667
5,0.6,2,0.9673333333333334
5,0.2,1,0.996
5,0.2,2,0.966
5,1.0,1,0.966
5,1.0,2,0.9662
6,1.0,1,0.9792
6,1.0,2,0.9768
6,0.0,1,-1
6,0.0,2,-1
6,0.6,1,0.9806666666666667
6,0.6,2,0.9806666666666667
6,0.8,1,0.97725
6,0.8,2,0.975
6,0.4,1,0.9765
6,0.4,2,0.985
6,0.2,1,0.972
6,0.2,2,0.993
7,1.0,1,0.9696
7,1.0,2,0.9688
7,0.8,1,0.963
7,0.8,2,0.9625
7,0.6,1,0.9663333333333334
7,0.6,2,0.9713333333333334
7,0.4,1,0.972
7,0.4,2,0.947
7,0.2,1,0.971
7,0.2,2,0.985
7,0.0,1,-1
7,0.0,2,-1
8,0.0,1,-1
8,0.0,2,-1
8,0.4,1,0.9705
8,0.4,2,0.984
8,0.6,1,0.9693333333333334
8,0.6,2,0.985
8,1.0,1,0.9662
8,1.0,2,0.965
8,0.8,1,0.96725
8,0.8,2,0.97
8,0.2,1,0.967
8,0.2,2,0.989
9,0.0,1,-1
9,0.0,2,-1
9,0.6,1,0.9796666666666667
9,0.6,2,0.9736666666666667
9,1.0,1,0.9748
9,1.0,2,0.9734
9,0.4,1,0.9755
9,0.4,2,0.9715
9,0.8,1,0.971
9,0.8,2,0.97175
9,0.2,1,0.984
9,0.2,2,0.961
