seed,metric,partition,model0,model1,cifar10,digit,mnist,partition_metric,shape,svhn
0,cycle_knn,partition1,shape,digit,0.041000,0.717241,0.112300,0.019113,0.178500,0.046642
0,mutual_knn,partition1,shape,digit,0.004580,0.168621,0.014080,0.001916,0.022200,0.005380
0,lcs_knn,partition1,shape,digit,0.013200,0.346552,0.031900,0.004883,0.049750,0.014230
0,cka,partition1,shape,digit,0.122067,0.249700,0.087857,0.000309,0.379965,0.147655
0,unbiased_cka,partition1,shape,digit,0.121280,0.242620,0.087461,0.000000,0.371146,0.147415
0,cknna,partition1,shape,digit,0.003610,0.202190,0.012035,0.001662,0.016484,0.004101
0,svcca,partition1,shape,digit,0.182972,0.378720,0.223251,0.026479,0.380250,0.215816
0,edit_distance_knn,partition1,shape,digit,0.750210,0.767414,0.750390,0.750084,0.750375,0.750149
0,cycle_knn,partition2,shape_digit,shape_color,0.059000,0.831897,0.172900,0.157552,0.206250,0.071987
0,mutual_knn,partition2,shape_digit,shape_color,0.006770,0.239310,0.024110,0.019550,0.029550,0.008733
0,lcs_knn,partition2,shape_digit,shape_color,0.015300,0.450000,0.053500,0.047619,0.063750,0.019996
0,cka,partition2,shape_digit,shape_color,0.173632,0.301784,0.212174,0.443934,0.441360,0.194753
0,unbiased_cka,partition2,shape_digit,shape_color,0.172938,0.295962,0.211608,0.442483,0.426581,0.194512
0,cknna,partition2,shape_digit,shape_color,0.005457,0.299847,0.021965,0.016328,0.024725,0.007202
0,svcca,partition2,shape_digit,shape_color,0.288225,0.409194,0.330386,0.534202,0.379545,0.284167
0,edit_distance_knn,partition2,shape_digit,shape_color,0.750220,0.773103,0.750800,0.750656,0.751025,0.750270
0,cycle_knn,partition2,shape_digit,digit_color,0.097700,0.917241,0.269500,0.156250,0.244000,0.119513
0,mutual_knn,partition2,shape_digit,digit_color,0.013840,0.315000,0.039480,0.019303,0.038025,0.018136
0,lcs_knn,partition2,shape_digit,digit_color,0.032500,0.623276,0.089100,0.044968,0.090000,0.038039
0,cka,partition2,shape_digit,digit_color,0.165223,0.392777,0.169213,0.383530,0.363993,0.268789
0,unbiased_cka,partition2,shape_digit,digit_color,0.164244,0.371685,0.168515,0.381649,0.346789,0.268369
0,cknna,partition2,shape_digit,digit_color,0.010823,0.383897,0.035833,0.015892,0.032588,0.016049
0,svcca,partition2,shape_digit,digit_color,0.359706,0.506387,0.379338,0.482456,0.454348,0.433086
0,edit_distance_knn,partition2,shape_digit,digit_color,0.750450,0.784052,0.751310,0.750558,0.751275,0.750479
0,cycle_knn,partition2,shape_color,digit_color,0.128500,0.875862,0.156400,0.100586,0.689750,0.193964
0,mutual_knn,partition2,shape_color,digit_color,0.017510,0.298534,0.020550,0.010891,0.174325,0.026744
0,lcs_knn,partition2,shape_color,digit_color,0.043500,0.600862,0.045000,0.025391,0.311250,0.061337
0,cka,partition2,shape_color,digit_color,0.491432,0.748757,0.080380,0.183882,0.509395,0.702601
0,unbiased_cka,partition2,shape_color,digit_color,0.490968,0.713792,0.079753,0.181575,0.448237,0.702501
0,cknna,partition2,shape_color,digit_color,0.014689,0.339008,0.018935,0.008209,0.171353,0.022689
0,svcca,partition2,shape_color,digit_color,0.395817,0.516388,0.282274,0.230868,0.676351,0.426155
0,edit_distance_knn,partition2,shape_color,digit_color,0.750610,0.781810,0.750580,0.750353,0.756500,0.750818
0,cycle_knn,partition3,all0,all1,0.195100,0.981897,0.331700,0.840541,0.720000,0.239537
0,mutual_knn,partition3,all0,all1,0.033060,0.510603,0.054850,0.623637,0.222850,0.042987
0,lcs_knn,partition3,all0,all1,0.071900,0.921552,0.110900,0.890904,0.388500,0.088867
0,cka,partition3,all0,all1,0.385675,0.825943,0.311845,0.647036,0.771554,0.619357
0,unbiased_cka,partition3,all0,all1,0.384945,0.666204,0.310683,0.644383,0.620005,0.619245
0,cknna,partition3,all0,all1,0.026695,0.569121,0.049356,0.528406,0.221937,0.039617
0,svcca,partition3,all0,all1,0.510940,0.642146,0.487673,0.231107,0.734323,0.552427
0,edit_distance_knn,partition3,all0,all1,0.751000,0.800000,0.751760,0.783836,0.759525,0.751297
1,cycle_knn,partition1,shape,digit,0.030200,0.704310,0.101600,0.018369,0.180250,0.044457
1,mutual_knn,partition1,shape,digit,0.003320,0.149569,0.012700,0.001869,0.022650,0.004841
1,lcs_knn,partition1,shape,digit,0.009500,0.323276,0.029400,0.004697,0.047000,0.011161
1,cka,partition1,shape,digit,0.113597,0.198322,0.112118,0.000423,0.346487,0.246738
1,unbiased_cka,partition1,shape,digit,0.113040,0.192536,0.111667,0.000038,0.338035,0.246665
1,cknna,partition1,shape,digit,0.002580,0.184768,0.010484,0.001693,0.015834,0.004065
1,svcca,partition1,shape,digit,0.154842,0.372813,0.231133,0.029939,0.385516,0.208354
