seed,partition,model,acc
0,partition1,shape,0.990313
0,partition1,digit,0.995850
0,partition2,shape_digit,0.986800
0,partition2,shape_color,0.990213
0,partition2,digit_color,0.995038
0,partition3,all0,0.984725
0,partition3,all1,0.984850
1,partition1,shape,0.990325
1,partition1,digit,0.996313
1,partition2,shape_digit,0.986487
1,partition2,shape_color,0.990325
1,partition2,digit_color,0.994812
1,partition3,all0,0.985675
1,partition3,all1,0.985650
2,partition1,shape,0.990938
2,partition1,digit,0.995500
2,partition2,shape_digit,0.986938
2,partition2,shape_color,0.989712
2,partition2,digit_color,0.994875
2,partition3,all0,0.985075
2,partition3,all1,0.985187
3,partition1,shape,0.990437
3,partition1,digit,0.994875
3,partition2,shape_digit,0.986738
3,partition2,shape_color,0.989975
3,partition2,digit_color,0.995263
3,partition3,all0,0.985400
3,partition3,all1,0.984200
4,partition1,shape,0.990563
4,partition1,digit,0.995050
4,partition2,shape_digit,0.986738
4,partition2,shape_color,0.990200
4,partition2,digit_color,0.994487
4,partition3,all0,0.985862
4,partition3,all1,0.984812
5,partition1,shape,0.990950
5,partition1,digit,0.995088
5,partition2,shape_digit,0.986263
5,partition2,shape_color,0.990175
5,partition2,digit_color,0.994862
5,partition3,all0,0.986300
5,partition3,all1,0.985275
6,partition1,shape,0.989825
6,partition1,digit,0.995375
6,partition2,shape_digit,0.987125
6,partition2,shape_color,0.990450
6,partition2,digit_color,0.995475
6,partition3,all0,0.985325
6,partition3,all1,0.985688
7,partition1,shape,0.990337
7,partition1,digit,0.995900
7,partition2,shape_digit,0.986650
7,partition2,shape_color,0.990100
7,partition2,digit_color,0.995437
7,partition3,all0,0.985225
7,partition3,all1,0.985525
8,partition1,shape,0.990425
8,partition1,digit,0.995088
8,partition2,shape_digit,0.985962
8,partition2,shape_color,0.989838
8,partition2,digit_color,0.994337
8,partition3,all0,0.985500
8,partition3,all1,0.984788
9,partition1,shape,0.990650
9,partition1,digit,0.995275
9,partition2,shape_digit,0.986762
9,partition2,shape_color,0.990287
9,partition2,digit_color,0.994400
9,partition3,all0,0.985050
9,partition3,all1,0.985263
