seed,frac_overlap,model_idx,acc
0,0.7,1,0.4584
0,0.7,2,0.458
0,0.2,1,0.4576
0,0.2,2,0.4549
0,0.9,1,0.46
0,0.9,2,0.4604
0,0.5,1,0.4575
0,0.5,2,0.4622
0,0.0,1,0.4642
0,0.0,2,0.4612
0,0.1,1,0.4605
0,0.1,2,0.4567
0,0.3,1,0.461
0,0.3,2,0.4593
0,0.6,1,0.4618
0,0.6,2,0.4582
0,1.0,1,0.4575
0,1.0,2,0.4557
0,0.4,1,0.4623
0,0.4,2,0.4601
0,0.8,1,0.4595
0,0.8,2,0.4646
1,0.1,1,0.4578
1,0.1,2,0.4648
1,0.4,1,0.4588
1,0.4,2,0.4637
1,0.6,1,0.46
1,0.6,2,0.4583
1,0.7,1,0.4574
1,0.7,2,0.4581
1,0.5,1,0.4607
1,0.5,2,0.4585
1,0.8,1,0.4551
1,0.8,2,0.4606
1,0.3,1,0.4602
1,0.3,2,0.4597
1,0.0,1,0.4561
1,0.0,2,0.4609
1,0.2,1,0.462
1,0.2,2,0.4607
1,1.0,1,0.4598
1,1.0,2,0.4577
1,0.9,1,0.4613
1,0.9,2,0.4577
2,0.8,1,0.4597
2,0.8,2,0.4606
2,1.0,1,0.4593
2,1.0,2,0.4599
2,0.1,1,0.4616
2,0.1,2,0.4559
2,0.5,1,0.4585
2,0.5,2,0.4636
2,0.9,1,0.4668
2,0.9,2,0.4632
2,0.7,1,0.4571
2,0.7,2,0.456
2,0.0,1,0.4644
2,0.0,2,0.4587
2,0.2,1,0.4616
2,0.2,2,0.4598
2,0.3,1,0.4634
2,0.3,2,0.4567
2,0.4,1,0.4644
2,0.4,2,0.4604
2,0.6,1,0.4616
2,0.6,2,0.4614
3,0.3,1,0.4598
3,0.3,2,0.4665
3,0.4,1,0.4581
3,0.4,2,0.4671
3,0.2,1,0.4546
3,0.2,2,0.4624
3,0.9,1,0.4583
3,0.9,2,0.4563
3,0.0,1,0.4602
3,0.0,2,0.4559
3,0.7,1,0.4581
3,0.7,2,0.4596
3,0.8,1,0.4583
3,0.8,2,0.4591
3,0.5,1,0.4578
3,0.5,2,0.4594
3,0.1,1,0.4579
3,0.1,2,0.4578
3,1.0,1,0.4608
3,1.0,2,0.453
3,0.6,1,0.4561
3,0.6,2,0.46
