seed,frac_overlap,model_idx,acc
0,0.8,1,0.60875
0,0.8,2,0.61125
0,0.6,1,0.5943333333333334
0,0.6,2,0.5956666666666667
0,0.4,1,0.605
0,0.4,2,0.6175
0,0.0,1,-1
0,0.0,2,-1
0,0.2,1,0.538
0,0.2,2,0.573
0,1.0,1,0.601
0,1.0,2,0.6064
1,0.8,1,0.6075
1,0.8,2,0.60625
1,0.6,1,0.613
1,0.6,2,0.6076666666666667
1,0.4,1,0.622
1,0.4,2,0.644
1,0.2,1,0.622
1,0.2,2,0.634
1,0.0,1,-1
1,0.0,2,-1
1,1.0,1,0.6078
1,1.0,2,0.6116
2,0.2,1,0.639
2,0.2,2,0.606
2,0.0,1,-1
2,0.0,2,-1
2,0.8,1,0.62025
2,0.8,2,0.611
2,0.4,1,0.605
2,0.4,2,0.612
2,1.0,1,0.6178
2,1.0,2,0.6178
2,0.6,1,0.6206666666666667
2,0.6,2,0.6403333333333333
3,0.4,1,0.619
3,0.4,2,0.6375
3,0.6,1,0.6313333333333333
3,0.6,2,0.6443333333333333
3,0.2,1,0.635
3,0.2,2,0.617
3,0.8,1,0.612
3,0.8,2,0.6165
3,0.0,1,-1
3,0.0,2,-1
3,1.0,1,0.6262
3,1.0,2,0.625
4,0.4,1,0.5935
4,0.4,2,0.6005
4,1.0,1,0.5976
4,1.0,2,0.602
4,0.2,1,0.569
4,0.2,2,0.588
4,0.0,1,-1
4,0.0,2,-1
4,0.6,1,0.5926666666666667
4,0.6,2,0.603
4,0.8,1,0.60275
4,0.8,2,0.59825
5,0.6,1,0.599
5,0.6,2,0.5823333333333334
5,0.0,1,-1
5,0.0,2,-1
5,0.2,1,0.614
5,0.2,2,0.591
5,1.0,1,0.5786
5,1.0,2,0.5844
5,0.8,1,0.5875
5,0.8,2,0.5815
5,0.4,1,0.591
5,0.4,2,0.593
6,0.2,1,0.597
6,0.2,2,0.608
6,0.8,1,0.61025
6,0.8,2,0.61625
6,1.0,1,0.616
6,1.0,2,0.6196
6,0.6,1,0.621
6,0.6,2,0.6026666666666667
6,0.4,1,0.6045
6,0.4,2,0.595
6,0.0,1,-1
6,0.0,2,-1
7,0.6,1,0.5806666666666667
7,0.6,2,0.6026666666666667
7,1.0,1,0.6008
7,1.0,2,0.5928
7,0.8,1,0.598
7,0.8,2,0.59625
7,0.4,1,0.5635
7,0.4,2,0.568
7,0.2,1,0.583
7,0.2,2,0.607
7,0.0,1,-1
7,0.0,2,-1
8,0.8,1,0.60825
8,0.8,2,0.616
8,0.2,1,0.601
8,0.2,2,0.65
8,0.6,1,0.61
8,0.6,2,0.6053333333333333
8,0.0,1,-1
8,0.0,2,-1
8,1.0,1,0.6296
8,1.0,2,0.6236
8,0.4,1,0.5995
8,0.4,2,0.604
9,0.0,1,-1
9,0.0,2,-1
9,0.8,1,0.6255
9,0.8,2,0.619
9,0.2,1,0.652
9,0.2,2,0.658
9,1.0,1,0.6134
9,1.0,2,0.6086
9,0.4,1,0.596
9,0.4,2,0.629
9,0.6,1,0.59
9,0.6,2,0.6026666666666667
