seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.0,0.995300,0.973700,0.916987
0,mutual_knn,0.0,0.796840,0.672820,0.746493
0,lcs_knn,0.0,5.284200,4.185300,4.852182
0,cka,0.0,0.989801,0.968632,0.995152
0,unbiased_cka,0.0,0.989769,0.968470,0.995144
0,cknna,0.0,0.790085,0.662509,0.724918
0,svcca,0.0,0.710934,0.866321,0.749954
0,edit_distance_knn,0.0,0.326570,0.208500,0.279398
0,cycle_knn,0.1,0.994500,0.975800,0.916756
0,mutual_knn,0.1,0.797480,0.711370,0.775215
0,lcs_knn,0.1,5.299000,4.485500,5.072795
0,cka,0.1,0.987725,0.978902,0.995739
0,unbiased_cka,0.1,0.987688,0.978762,0.995415
0,cknna,0.1,0.791885,0.701749,0.752625
0,svcca,0.1,0.676531,0.907802,0.786172
0,edit_distance_knn,0.1,0.329040,0.239490,0.302635
0,cycle_knn,0.2,0.994200,0.973300,0.920175
0,mutual_knn,0.2,0.799130,0.687890,0.768082
0,lcs_knn,0.2,5.333200,4.305900,5.027850
0,cka,0.2,0.988129,0.978409,0.992394
0,unbiased_cka,0.2,0.988094,0.978364,0.992386
0,cknna,0.2,0.793333,0.678140,0.750175
0,svcca,0.2,0.688407,0.927763,0.809687
0,edit_distance_knn,0.2,0.333290,0.219660,0.298191
0,cycle_knn,0.3,0.995500,0.973500,0.921328
0,mutual_knn,0.3,0.816220,0.712580,0.800081
0,lcs_knn,0.3,5.498900,4.475800,5.315304
0,cka,0.3,0.991407,0.979122,0.996275
0,unbiased_cka,0.3,0.991377,0.978965,0.996189
0,cknna,0.3,0.811545,0.699220,0.782169
0,svcca,0.3,0.671380,0.904440,0.776712
0,edit_distance_knn,0.3,0.350010,0.237720,0.329506
0,cycle_knn,0.4,0.994300,0.974200,0.920060
0,mutual_knn,0.4,0.802640,0.717520,0.773498
0,lcs_knn,0.4,5.353000,4.534500,5.075253
0,cka,0.4,0.989516,0.982020,0.994748
0,unbiased_cka,0.4,0.989483,0.981892,0.994670
0,cknna,0.4,0.799050,0.706914,0.756086
0,svcca,0.4,0.622522,0.906531,0.815269
0,edit_distance_knn,0.4,0.333430,0.243330,0.303196
0,cycle_knn,0.5,0.995200,0.973500,0.925169
0,mutual_knn,0.5,0.821520,0.700730,0.795890
0,lcs_knn,0.5,5.543700,4.396300,5.269399
0,cka,0.5,0.992006,0.978447,0.996631
0,unbiased_cka,0.5,0.991976,0.978403,0.996623
0,cknna,0.5,0.815366,0.691404,0.776184
0,svcca,0.5,0.659253,0.891076,0.826904
0,edit_distance_knn,0.5,0.356770,0.229110,0.325657
0,cycle_knn,0.6,0.995000,0.976400,0.925937
0,mutual_knn,0.6,0.817470,0.753630,0.816199
0,lcs_knn,0.6,5.520900,4.810700,5.487746
0,cka,0.6,0.988118,0.985949,0.996696
0,unbiased_cka,0.6,0.988083,0.985797,0.996397
0,cknna,0.6,0.811218,0.743421,0.798110
0,svcca,0.6,0.685612,0.945441,0.793950
0,edit_distance_knn,0.6,0.353790,0.270510,0.349950
0,cycle_knn,0.7,0.995500,0.974100,0.921558
0,mutual_knn,0.7,0.807580,0.697040,0.787377
0,lcs_knn,0.7,5.389000,4.369900,5.213775
0,cka,0.7,0.988362,0.975781,0.994237
0,unbiased_cka,0.7,0.988327,0.975617,0.994025
0,cknna,0.7,0.804233,0.683379,0.770930
0,svcca,0.7,0.690161,0.905976,0.803703
0,edit_distance_knn,0.7,0.338170,0.226640,0.318804
0,cycle_knn,0.8,0.994900,0.973800,0.921135
0,mutual_knn,0.8,0.804360,0.686810,0.795774
0,lcs_knn,0.8,5.370500,4.289700,5.286916
0,cka,0.8,0.986725,0.977063,0.994296
0,unbiased_cka,0.8,0.986688,0.977017,0.994288
0,cknna,0.8,0.796525,0.675262,0.779242
0,svcca,0.8,0.675785,0.855796,0.787646
0,edit_distance_knn,0.8,0.336370,0.218210,0.327386
0,cycle_knn,0.9,0.994100,0.975100,0.925361
0,mutual_knn,0.9,0.828490,0.738700,0.813510
0,lcs_knn,0.9,5.646800,4.679900,5.455823
