seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.0,0.989300,0.989300,0.967800,0.905578
0,mutual_knn,0.0,0.670130,0.670130,0.651900,0.660875
0,lcs_knn,0.0,4.237700,4.237600,4.064700,4.168101
0,cka,0.0,0.957573,0.957573,0.956993,0.975524
0,unbiased_cka,0.0,0.957494,0.957494,0.956885,0.975511
0,cknna,0.0,0.659796,0.659789,0.645366,0.644882
0,svcca,0.0,0.635934,0.624949,0.845751,0.778059
0,edit_distance_knn,0.0,0.215910,0.215920,0.197190,0.209680
0,cycle_knn,0.2,0.995000,0.990125,0.972500,0.912800
0,mutual_knn,0.2,0.765600,0.710900,0.662970,0.720613
0,lcs_knn,0.2,4.975000,4.544875,4.137400,4.606868
0,cka,0.2,0.968264,0.970054,0.967115,0.988084
0,unbiased_cka,0.2,0.967513,0.969593,0.967059,0.987823
0,cknna,0.2,0.776228,0.687729,0.653505,0.698871
0,svcca,0.2,0.748745,0.659008,0.879328,0.805486
0,edit_distance_knn,0.2,0.288700,0.247563,0.204620,0.253984
0,cycle_knn,0.33,0.995500,0.989125,0.969300,0.911724
0,mutual_knn,0.33,0.778100,0.746150,0.644710,0.725288
0,lcs_knn,0.33,5.087000,4.824500,3.998600,4.644130
0,cka,0.33,0.979152,0.976871,0.964490,0.992636
0,unbiased_cka,0.33,0.978500,0.976338,0.964293,0.992374
0,cknna,0.33,0.773879,0.729802,0.632960,0.705528
0,svcca,0.33,0.692425,0.621548,0.839734,0.774991
0,edit_distance_knn,0.33,0.303650,0.276425,0.191180,0.257337
0,cycle_knn,0.4,0.996000,0.994500,0.972400,0.909534
0,mutual_knn,0.4,0.801850,0.764267,0.681110,0.723663
0,lcs_knn,0.4,5.346500,4.964833,4.258000,4.636524
0,cka,0.4,0.980614,0.978424,0.973919,0.990397
0,unbiased_cka,0.4,0.980458,0.978102,0.973715,0.990168
0,cknna,0.4,0.802303,0.756296,0.671234,0.705406
0,svcca,0.4,0.631526,0.695443,0.932778,0.788381
0,edit_distance_knn,0.4,0.334500,0.289883,0.216290,0.256135
0,cycle_knn,0.57,0.995500,0.995833,0.972700,0.915758
0,mutual_knn,0.57,0.776325,0.768067,0.652220,0.750296
0,lcs_knn,0.57,5.107750,4.988833,4.063400,4.855870
0,cka,0.57,0.980375,0.980313,0.966222,0.992576
0,unbiased_cka,0.57,0.980282,0.980246,0.966027,0.992294
0,cknna,0.57,0.781517,0.765037,0.640416,0.732978
0,svcca,0.57,0.661607,0.657724,0.867374,0.798345
0,edit_distance_knn,0.57,0.307525,0.291767,0.196850,0.279272
0,cycle_knn,0.6,0.993333,0.989000,0.971600,0.905923
0,mutual_knn,0.6,0.749167,0.737850,0.669620,0.705347
0,lcs_knn,0.6,4.816000,4.731500,4.194000,4.477835
0,cka,0.6,0.972918,0.972340,0.964346,0.990740
0,unbiased_cka,0.6,0.972288,0.971794,0.964170,0.990731
0,cknna,0.6,0.735964,0.721183,0.662315,0.686353
0,svcca,0.6,0.662146,0.630393,0.848437,0.760561
0,edit_distance_knn,0.6,0.273867,0.264725,0.210040,0.239298
0,cycle_knn,0.75,0.998333,0.992750,0.971500,0.917332
0,mutual_knn,0.75,0.810633,0.823250,0.705550,0.760149
0,lcs_knn,0.75,5.443500,5.612750,4.428000,4.977374
0,cka,0.75,0.988935,0.990309,0.978283,0.994586
0,unbiased_cka,0.75,0.988703,0.990259,0.978101,0.994335
0,cknna,0.75,0.806835,0.818930,0.694388,0.741653
0,svcca,0.75,0.648642,0.734849,0.860861,0.783804
0,edit_distance_knn,0.75,0.344450,0.363925,0.232620,0.292551
0,cycle_knn,0.8,0.996750,0.993000,0.971200,0.923901
0,mutual_knn,0.8,0.804625,0.808900,0.703170,0.764010
0,lcs_knn,0.8,5.366750,5.397000,4.403000,4.975377
0,cka,0.8,0.984409,0.983261,0.978330,0.991977
0,unbiased_cka,0.8,0.984333,0.982208,0.978160,0.991596
0,cknna,0.8,0.802634,0.795115,0.691348,0.746718
0,svcca,0.8,0.680515,0.759823,0.905568,0.793437
0,edit_distance_knn,0.8,0.336800,0.339600,0.230450,0.292636
0,cycle_knn,0.89,0.996125,0.997500,0.972100,0.919253
0,mutual_knn,0.89,0.830300,0.846950,0.716720,0.794449
0,lcs_knn,0.89,5.652875,5.856500,4.502300,5.289912
0,cka,0.89,0.992027,0.991630,0.983752,0.997020
0,unbiased_cka,0.89,0.991994,0.991551,0.983582,0.996782
0,cknna,0.89,0.823603,0.839329,0.703406,0.776858
0,svcca,0.89,0.690196,0.758757,0.873924,0.785304
0,edit_distance_knn,0.89,0.370125,0.392750,0.238560,0.327128
0,cycle_knn,1.0,0.996400,0.996600,0.973200,0.933313
0,mutual_knn,1.0,0.833920,0.828180,0.675690,0.814371
0,lcs_knn,1.0,5.676200,5.612800,4.216000,5.451905
0,cka,1.0,0.990642,0.990742,0.972847,0.995885
0,unbiased_cka,1.0,0.990601,0.990700,0.972698,0.995826
0,cknna,1.0,0.827203,0.822913,0.661066,0.797883
0,svcca,1.0,0.698924,0.660351,0.921295,0.838608
0,edit_distance_knn,1.0,0.374140,0.363820,0.211640,0.346193
1,cycle_knn,0.0,0.991600,0.991600,0.970800,0.909650
1,mutual_knn,0.0,0.722380,0.722380,0.668910,0.708332
1,lcs_knn,0.0,4.625500,4.625600,4.174100,4.533881
1,cka,0.0,0.963230,0.963230,0.968306,0.981508
1,unbiased_cka,0.0,0.963158,0.963158,0.968166,0.981498
1,cknna,0.0,0.706879,0.706927,0.660401,0.693071
1,svcca,0.0,0.640919,0.640848,0.912205,0.743832
1,edit_distance_knn,0.0,0.255510,0.255520,0.207790,0.245294
1,cycle_knn,0.2,0.996000,0.994250,0.971400,0.914797
1,mutual_knn,0.2,0.800100,0.751300,0.664490,0.749143
1,lcs_knn,0.2,5.256000,4.867375,4.150300,4.847610
1,cka,0.2,0.979094,0.973349,0.969492,0.991328
1,unbiased_cka,0.2,0.978765,0.973280,0.969443,0.991319
1,cknna,0.2,0.805787,0.738445,0.657262,0.730923
1,svcca,0.2,0.728798,0.657419,0.896305,0.823724
1,edit_distance_knn,0.2,0.322500,0.278900,0.206380,0.279256
1,cycle_knn,0.33,0.997000,0.992375,0.974500,0.914989
1,mutual_knn,0.33,0.784450,0.758513,0.688500,0.727674
1,lcs_knn,0.33,5.109500,4.921500,4.329100,4.682199
1,cka,0.33,0.979699,0.979364,0.973653,0.992198
1,unbiased_cka,0.33,0.979518,0.978790,0.973607,0.991880
1,cknna,0.33,0.793847,0.749038,0.680752,0.710158
1,svcca,0.33,0.700992,0.671331,0.906721,0.790990
1,edit_distance_knn,0.33,0.305800,0.286162,0.223070,0.260829
1,cycle_knn,0.4,0.992500,0.994167,0.970100,0.920060
1,mutual_knn,0.4,0.796250,0.772817,0.665180,0.729890
1,lcs_knn,0.4,5.322500,5.042000,4.134000,4.681584
1,cka,0.4,0.980092,0.980755,0.969779,0.988517
1,unbiased_cka,0.4,0.979406,0.980379,0.969720,0.988281
1,cknna,0.4,0.788684,0.753570,0.653384,0.710977
1,svcca,0.4,0.725632,0.693755,0.890667,0.761752
1,edit_distance_knn,0.4,0.330750,0.299267,0.203190,0.260656
1,cycle_knn,0.57,0.996500,0.994667,0.969400,0.921789
1,mutual_knn,0.57,0.788525,0.778850,0.655730,0.753430
1,lcs_knn,0.57,5.165000,5.085667,4.080700,4.882645
1,cka,0.57,0.982583,0.981709,0.962663,0.993869
1,unbiased_cka,0.57,0.982331,0.981593,0.962607,0.993530
1,cknna,0.57,0.784728,0.773930,0.645009,0.735165
1,svcca,0.57,0.658754,0.672595,0.879005,0.781508
1,edit_distance_knn,0.57,0.312175,0.303550,0.199050,0.282483
1,cycle_knn,0.6,0.995333,0.994250,0.973300,0.906999
1,mutual_knn,0.6,0.783167,0.771075,0.690910,0.729821
1,lcs_knn,0.6,5.152333,5.070500,4.340500,4.687769
1,cka,0.6,0.977899,0.976172,0.973445,0.991500
1,unbiased_cka,0.6,0.977281,0.975561,0.973258,0.991278
1,cknna,0.6,0.774014,0.753384,0.681796,0.711043
1,svcca,0.6,0.714644,0.685936,0.932824,0.793794
1,edit_distance_knn,0.6,0.314000,0.300900,0.224480,0.262400
1,cycle_knn,0.75,0.996833,0.997000,0.971000,0.921443
1,mutual_knn,0.75,0.810350,0.819575,0.663710,0.790389
1,lcs_knn,0.75,5.438500,5.496750,4.144900,5.220728
1,cka,0.75,0.988919,0.987786,0.966948,0.995704
1,unbiased_cka,0.75,0.988873,0.987720,0.966896,0.995696
1,cknna,0.75,0.805986,0.815210,0.657477,0.772010
1,svcca,0.75,0.677866,0.725404,0.913212,0.826001
1,edit_distance_knn,0.75,0.342700,0.350400,0.205390,0.319468
1,cycle_knn,0.8,0.993000,0.994500,0.971400,0.920252
1,mutual_knn,0.8,0.785425,0.798750,0.664020,0.765396
1,lcs_knn,0.8,5.178000,5.279500,4.129100,4.972879
1,cka,0.8,0.981542,0.981064,0.967840,0.987753
1,unbiased_cka,0.8,0.981046,0.980477,0.967623,0.987743
1,cknna,0.8,0.769168,0.781189,0.654439,0.746899
1,svcca,0.8,0.689431,0.726463,0.895524,0.772346
1,edit_distance_knn,0.8,0.315475,0.324000,0.203810,0.291814
1,cycle_knn,0.89,0.996000,0.997500,0.974000,0.924862
1,mutual_knn,0.89,0.831838,0.851350,0.729110,0.808635
1,lcs_knn,0.89,5.666250,5.872500,4.596300,5.408344
1,cka,0.89,0.991791,0.991895,0.984087,0.996513
1,unbiased_cka,0.89,0.991759,0.991813,0.983878,0.996505
1,cknna,0.89,0.833816,0.860012,0.716039,0.790390
1,svcca,0.89,0.665879,0.715430,0.879516,0.808382
1,edit_distance_knn,0.89,0.369337,0.399450,0.248490,0.341003
1,cycle_knn,1.0,0.997600,0.990000,0.974400,0.909919
1,mutual_knn,1.0,0.809460,0.819060,0.699130,0.734450
1,lcs_knn,1.0,5.402600,5.527000,4.392700,4.786916
1,cka,1.0,0.989260,0.990600,0.976526,0.995244
1,unbiased_cka,1.0,0.989207,0.990483,0.976480,0.994955
1,cknna,1.0,0.813257,0.805605,0.688409,0.712788
1,svcca,1.0,0.690161,0.697801,0.894405,0.792868
1,edit_distance_knn,1.0,0.340440,0.353520,0.229790,0.272522
2,cycle_knn,0.0,0.988000,0.988000,0.963900,0.894476
2,mutual_knn,0.0,0.648780,0.648790,0.612180,0.628573
2,lcs_knn,0.0,4.086000,4.086200,3.814800,3.982368
2,cka,0.0,0.946790,0.946790,0.953235,0.976731
2,unbiased_cka,0.0,0.946696,0.946696,0.953173,0.976458
2,cknna,0.0,0.629998,0.630022,0.603261,0.612667
2,svcca,0.0,0.642945,0.626861,0.862940,0.739140
2,edit_distance_knn,0.0,0.202370,0.202390,0.175240,0.192882
2,cycle_knn,0.2,0.991000,0.992375,0.971100,0.917102
2,mutual_knn,0.2,0.819400,0.764200,0.675900,0.742290
2,lcs_knn,0.2,5.515000,4.976625,4.218400,4.769591
2,cka,0.2,0.984090,0.982847,0.970317,0.993684
2,unbiased_cka,0.2,0.983423,0.982302,0.970110,0.993402
2,cknna,0.2,0.792843,0.752367,0.667183,0.723602
2,svcca,0.2,0.719451,0.669476,0.871169,0.810122
2,edit_distance_knn,0.2,0.350000,0.291750,0.211270,0.269430
2,cycle_knn,0.33,0.994000,0.990875,0.973200,0.910610
2,mutual_knn,0.33,0.794000,0.759000,0.667740,0.732982
2,lcs_knn,0.33,5.236000,4.922375,4.178500,4.716964
2,cka,0.33,0.981231,0.978398,0.973157,0.990432
2,unbiased_cka,0.33,0.981074,0.977890,0.972974,0.990203
2,cknna,0.33,0.794478,0.745425,0.655269,0.715051
2,svcca,0.33,0.731422,0.712502,0.891585,0.813541
2,edit_distance_knn,0.33,0.322300,0.286875,0.208300,0.264793
2,cycle_knn,0.4,0.998000,0.995167,0.974800,0.917717
2,mutual_knn,0.4,0.799250,0.768933,0.685820,0.757475
2,lcs_knn,0.4,5.255000,5.034500,4.285500,4.926091
2,cka,0.4,0.978804,0.977719,0.973408,0.991965
2,unbiased_cka,0.4,0.978153,0.977195,0.973250,0.991956
2,cknna,0.4,0.791647,0.757904,0.675345,0.738774
2,svcca,0.4,0.730528,0.713670,0.864527,0.790597
2,edit_distance_knn,0.4,0.323700,0.300333,0.219080,0.287231
2,cycle_knn,0.57,0.993000,0.990500,0.966200,0.894015
2,mutual_knn,0.57,0.720725,0.705850,0.615520,0.655989
2,lcs_knn,0.57,4.596500,4.484334,3.843000,4.175553
2,cka,0.57,0.966134,0.964046,0.948837,0.987076
2,unbiased_cka,0.57,0.965532,0.963412,0.948661,0.986849
2,cknna,0.57,0.707109,0.683892,0.611047,0.638700
2,svcca,0.57,0.668136,0.657104,0.852639,0.742274
2,edit_distance_knn,0.57,0.252550,0.240300,0.178630,0.211440
2,cycle_knn,0.6,0.995000,0.996000,0.970400,0.927013
2,mutual_knn,0.6,0.777133,0.765175,0.678060,0.753042
2,lcs_knn,0.6,5.096667,4.988000,4.236400,4.856100
2,cka,0.6,0.982767,0.981578,0.976311,0.989915
2,unbiased_cka,0.6,0.982668,0.981492,0.976262,0.989905
2,cknna,0.6,0.783099,0.774542,0.666968,0.733271
2,svcca,0.6,0.709413,0.699284,0.909746,0.823511
2,edit_distance_knn,0.6,0.306200,0.292850,0.213540,0.279345
2,cycle_knn,0.75,0.995500,0.994250,0.971700,0.911033
2,mutual_knn,0.75,0.790883,0.795800,0.689540,0.709865
2,lcs_knn,0.75,5.224667,5.288000,4.327400,4.584819
2,cka,0.75,0.987612,0.987801,0.976886,0.990601
2,unbiased_cka,0.75,0.987562,0.987739,0.976692,0.990351
2,cknna,0.75,0.791557,0.795019,0.680211,0.692623
2,svcca,0.75,0.670343,0.661764,0.859857,0.752857
2,edit_distance_knn,0.75,0.319233,0.325850,0.221920,0.250665
2,cycle_knn,0.8,0.997000,0.993000,0.975400,0.926821
2,mutual_knn,0.8,0.828525,0.843000,0.702500,0.799170
