seed,metric,frac_overlap,metric_overlap,metric_ood_one,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.0,0.959300,0.959300,0.500200,0.608828
0,mutual_knn,0.0,0.539560,0.539560,0.173510,0.228891
0,lcs_knn,0.0,3.405900,3.405900,1.300600,1.635756
0,cka,0.0,0.810259,0.810259,0.767491,0.861844
0,unbiased_cka,0.0,0.809372,0.809354,0.765436,0.859194
0,cknna,0.0,0.543758,0.543758,0.148992,0.219475
0,svcca,0.0,0.698234,0.672531,0.696446,0.719302
0,edit_distance_knn,0.0,0.145690,0.145680,0.027460,0.040696
0,cycle_knn,0.2,0.966520,0.966268,0.489100,0.603642
0,mutual_knn,0.2,0.724053,0.546207,0.154320,0.218908
0,lcs_knn,0.2,4.609692,3.435845,1.179400,1.574216
0,cka,0.2,0.944760,0.745676,0.714318,0.852838
0,unbiased_cka,0.2,0.944169,0.745180,0.712052,0.852247
0,cknna,0.2,0.731216,0.547109,0.132554,0.208478
0,svcca,0.2,0.788039,0.671317,0.657201,0.707524
0,edit_distance_knn,0.2,0.249604,0.148116,0.024020,0.038118
0,cycle_knn,0.33,0.975155,0.965543,0.464000,0.575292
0,mutual_knn,0.33,0.694983,0.582997,0.169650,0.217290
0,lcs_knn,0.33,4.371715,3.675730,1.269400,1.570797
0,cka,0.33,0.949227,0.796785,0.705964,0.889129
0,unbiased_cka,0.33,0.947896,0.795864,0.704618,0.887370
0,cknna,0.33,0.699623,0.585382,0.145960,0.207051
0,svcca,0.33,0.718036,0.697258,0.679400,0.698313
0,edit_distance_knn,0.33,0.229909,0.167886,0.026620,0.038564
0,cycle_knn,0.4,0.985015,0.971272,0.560900,0.639060
0,mutual_knn,0.4,0.633716,0.597837,0.201620,0.261194
0,lcs_knn,0.4,4.002997,3.768076,1.475600,1.829133
0,cka,0.4,0.902192,0.838062,0.809056,0.876548
0,unbiased_cka,0.4,0.900800,0.837733,0.807356,0.874262
0,cknna,0.4,0.647066,0.600853,0.180199,0.249195
0,svcca,0.4,0.735603,0.714106,0.655836,0.751868
0,edit_distance_knn,0.4,0.196004,0.175387,0.032860,0.048848
0,cycle_knn,0.57,0.979834,0.976504,0.619600,0.674478
0,mutual_knn,0.57,0.687144,0.623513,0.265990,0.311747
0,lcs_knn,0.57,4.337787,3.934844,1.853500,2.113130
0,cka,0.57,0.968871,0.961962,0.877976,0.919387
0,unbiased_cka,0.57,0.967091,0.959697,0.875890,0.915061
0,cknna,0.57,0.689007,0.625953,0.235465,0.297084
0,svcca,0.57,0.715324,0.689719,0.711303,0.806268
0,edit_distance_knn,0.57,0.224805,0.191385,0.047580,0.061275
0,cycle_knn,0.6,0.991234,0.971106,0.604200,0.676513
0,mutual_knn,0.6,0.675152,0.637462,0.248530,0.306131
0,lcs_knn,0.6,4.254214,3.974623,1.748300,2.081169
0,cka,0.6,0.916674,0.882045,0.821294,0.882283
0,unbiased_cka,0.6,0.915138,0.881719,0.820984,0.879570
0,cknna,0.6,0.673159,0.632759,0.216897,0.294093
0,svcca,0.6,0.733351,0.795044,0.710911,0.701053
0,edit_distance_knn,0.6,0.216689,0.190302,0.044400,0.059346
0,cycle_knn,0.75,0.981079,0.978557,0.568600,0.635910
0,mutual_knn,0.75,0.696874,0.658047,0.214950,0.250238
0,lcs_knn,0.75,4.413623,4.162714,1.560500,1.766825
0,cka,0.75,0.944318,0.891575,0.775047,0.873476
0,unbiased_cka,0.75,0.943603,0.890209,0.774872,0.871139
0,cknna,0.75,0.695442,0.651736,0.187609,0.239204
0,svcca,0.75,0.713993,0.768759,0.717571,0.731715
0,edit_distance_knn,0.75,0.235768,0.210898,0.036780,0.045974
0,cycle_knn,0.8,0.983167,0.976663,0.596500,0.673018
0,mutual_knn,0.8,0.693462,0.599503,0.251540,0.312150
0,lcs_knn,0.8,4.390339,3.727905,1.762500,2.116050
0,cka,0.8,0.972364,0.929021,0.814999,0.900705
0,unbiased_cka,0.8,0.970377,0.928436,0.811329,0.835544
0,cknna,0.8,0.703263,0.584978,0.230651,0.302867
0,svcca,0.8,0.678552,0.777777,0.676519,0.734227
0,edit_distance_knn,0.8,0.232008,0.169215,0.044430,0.061271
0,cycle_knn,0.89,0.981773,0.988433,0.567600,0.637984
0,mutual_knn,0.89,0.713208,0.702366,0.208340,0.253304
0,lcs_knn,0.89,4.525218,4.425868,1.514000,1.781692
0,cka,0.89,0.947135,0.946707,0.772932,0.859334
0,unbiased_cka,0.89,0.945996,0.945622,0.772685,0.859254
0,cknna,0.89,0.716698,0.713713,0.184924,0.240698
0,svcca,0.89,0.675164,0.821825,0.710158,0.739825
0,edit_distance_knn,0.89,0.244444,0.237014,0.035000,0.046489
0,cycle_knn,1.0,0.992946,0.977240,0.727500,0.743047
0,mutual_knn,1.0,0.756389,0.726275,0.367150,0.402270
0,lcs_knn,1.0,4.865175,4.643162,2.423200,2.623847
0,cka,1.0,0.949900,0.952125,0.915369,0.938554
0,unbiased_cka,1.0,0.949705,0.951396,0.913046,0.938459
0,cknna,1.0,0.765433,0.727433,0.334219,0.385025
0,svcca,1.0,0.685451,0.763112,0.782334,0.741886
0,edit_distance_knn,1.0,0.280653,0.257163,0.075350,0.088998
1,cycle_knn,0.0,0.966200,0.966200,0.492500,0.588314
1,mutual_knn,0.0,0.566460,0.566460,0.172610,0.213457
1,lcs_knn,0.0,3.569800,3.569800,1.298800,1.544753
1,cka,0.0,0.793327,0.793327,0.747142,0.807607
1,unbiased_cka,0.0,0.792451,0.792450,0.745159,0.804596
1,cknna,0.0,0.571726,0.571726,0.151227,0.204653
1,svcca,0.0,0.708185,0.699776,0.672324,0.696501
1,edit_distance_knn,0.0,0.157120,0.157130,0.027710,0.037592
1,cycle_knn,0.2,0.988119,0.960546,0.506500,0.588660
1,mutual_knn,0.2,0.578317,0.556638,0.182820,0.225903
1,lcs_knn,0.2,3.590099,3.510918,1.351600,1.618931
1,cka,0.2,0.870885,0.794592,0.766932,0.881114
1,unbiased_cka,0.2,0.867613,0.793670,0.763662,0.878693
1,cknna,0.2,0.566699,0.561897,0.159743,0.217996
1,svcca,0.2,0.837165,0.697680,0.670985,0.719531
1,edit_distance_knn,0.2,0.154356,0.152345,0.029550,0.040216
1,cycle_knn,0.33,0.986261,0.972215,0.542900,0.625999
1,mutual_knn,0.33,0.645780,0.602397,0.199020,0.254360
1,lcs_knn,0.33,4.061335,3.778584,1.459400,1.780885
1,cka,0.33,0.925695,0.823837,0.771292,0.891836
1,unbiased_cka,0.33,0.924443,0.823527,0.767583,0.889052
1,cknna,0.33,0.649803,0.603599,0.174332,0.242628
1,svcca,0.33,0.728812,0.654202,0.682371,0.735960
1,edit_distance_knn,0.33,0.200491,0.175178,0.032510,0.046013
1,cycle_knn,0.4,0.976873,0.969384,0.567300,0.654156
1,mutual_knn,0.4,0.648819,0.607678,0.210090,0.258271
1,lcs_knn,0.4,4.049774,3.818107,1.517300,1.808313
1,cka,0.4,0.916959,0.893459,0.776655,0.873659
1,unbiased_cka,0.4,0.915376,0.892522,0.775192,0.872052
1,cknna,0.4,0.644821,0.612230,0.185478,0.248298
1,svcca,0.4,0.725796,0.726263,0.708432,0.755685
1,edit_distance_knn,0.4,0.193313,0.178585,0.035690,0.047649
1,cycle_knn,0.57,0.987480,0.980566,0.585700,0.679395
1,mutual_knn,0.57,0.649139,0.652103,0.239200,0.290354
1,lcs_knn,0.57,4.068336,4.092478,1.703100,1.988591
1,cka,0.57,0.905106,0.864191,0.866674,0.932533
1,unbiased_cka,0.57,0.903386,0.863456,0.863736,0.930670
1,cknna,0.57,0.646987,0.650520,0.203053,0.273099
1,svcca,0.57,0.712708,0.722717,0.720989,0.684933
1,edit_distance_knn,0.57,0.201461,0.202664,0.041350,0.054548
1,cycle_knn,0.6,0.985284,0.972455,0.593100,0.653350
1,mutual_knn,0.6,0.707324,0.654643,0.236720,0.276506
1,lcs_knn,0.6,4.483946,4.094963,1.684800,1.914221
1,cka,0.6,0.928188,0.894075,0.841940,0.893334
1,unbiased_cka,0.6,0.926857,0.892963,0.839511,0.890550
1,cknna,0.6,0.711847,0.651459,0.210557,0.262327
1,svcca,0.6,0.804366,0.754693,0.742853,0.754211
1,edit_distance_knn,0.6,0.238997,0.201574,0.041390,0.052140
1,cycle_knn,0.75,0.988126,0.970864,0.604500,0.678396
1,mutual_knn,0.75,0.668075,0.648591,0.246520,0.306323
1,lcs_knn,0.75,4.216963,4.105466,1.744300,2.082399
1,cka,0.75,0.904343,0.886323,0.851953,0.919879
1,unbiased_cka,0.75,0.904056,0.886044,0.849183,0.919820
1,cknna,0.75,0.677219,0.648329,0.217565,0.290570
1,svcca,0.75,0.698116,0.749486,0.657645,0.759977
1,edit_distance_knn,0.75,0.214928,0.207440,0.043600,0.059411
1,cycle_knn,0.8,0.984279,0.975904,0.631500,0.684120
1,mutual_knn,0.8,0.709064,0.640211,0.279440,0.322223
1,lcs_knn,0.8,4.533039,4.023594,1.925400,2.181546
1,cka,0.8,0.956372,0.938659,0.838983,0.878837
1,unbiased_cka,0.8,0.955801,0.937696,0.836813,0.851979
1,cknna,0.8,0.723176,0.632878,0.250519,0.307457
1,svcca,0.8,0.692588,0.723459,0.721630,0.729213
1,edit_distance_knn,0.8,0.245271,0.194177,0.051690,0.066126
1,cycle_knn,0.89,0.984194,0.972289,0.689600,0.714928
1,mutual_knn,0.89,0.728822,0.766651,0.282240,0.310606
1,lcs_knn,0.89,4.639788,4.913521,1.941000,2.106484
1,cka,0.89,0.958137,0.987000,0.874782,0.924491
1,unbiased_cka,0.89,0.955826,0.986690,0.873698,0.923501
1,cknna,0.89,0.726812,0.759737,0.249165,0.291955
1,svcca,0.89,0.693457,0.810129,0.678440,0.708478
1,edit_distance_knn,0.89,0.255878,0.284950,0.050550,0.060583
1,cycle_knn,1.0,0.987256,0.969520,0.689800,0.712815
1,mutual_knn,1.0,0.755237,0.704219,0.325050,0.351314
1,lcs_knn,1.0,4.866985,4.473759,2.181400,2.336701
1,cka,1.0,0.962534,0.940481,0.904273,0.867031
1,unbiased_cka,1.0,0.962000,0.940317,0.902018,0.852844
1,cknna,1.0,0.765592,0.701641,0.290744,0.330385
1,svcca,1.0,0.744114,0.831074,0.737707,0.754852
1,edit_distance_knn,1.0,0.279829,0.238434,0.061270,0.071424
2,cycle_knn,0.0,0.960100,0.960100,0.485900,0.618124
2,mutual_knn,0.0,0.539400,0.539400,0.162530,0.238311
2,lcs_knn,0.0,3.393800,3.393800,1.221400,1.693070
2,cka,0.0,0.747068,0.747068,0.775645,0.863411
2,unbiased_cka,0.0,0.745900,0.746069,0.773604,0.821217
2,cknna,0.0,0.545651,0.545651,0.142859,0.231395
2,svcca,0.0,0.645846,0.656829,0.680438,0.697676
2,edit_distance_knn,0.0,0.143360,0.143360,0.025370,0.043350
2,cycle_knn,0.2,0.979592,0.968068,0.548600,0.612707
2,mutual_knn,0.2,0.638775,0.583972,0.193240,0.225983
2,lcs_knn,0.2,3.951020,3.661594,1.420000,1.625269
2,cka,0.2,0.906251,0.782179,0.779534,0.836626
2,unbiased_cka,0.2,0.905261,0.781428,0.777296,0.794382
2,cknna,0.2,0.632471,0.586773,0.172454,0.221297
2,svcca,0.2,0.783372,0.729483,0.655220,0.705017
2,edit_distance_knn,0.2,0.185102,0.165049,0.031740,0.040012
2,cycle_knn,0.33,0.979324,0.969379,0.529500,0.605716
2,mutual_knn,0.33,0.608825,0.585653,0.181410,0.231776
2,lcs_knn,0.33,3.805346,3.677491,1.346000,1.656615
2,cka,0.33,0.881459,0.813064,0.780729,0.879209
2,unbiased_cka,0.33,0.879364,0.812171,0.778617,0.877914
2,cknna,0.33,0.611206,0.588166,0.159441,0.222275
2,svcca,0.33,0.750077,0.670062,0.668446,0.744276
2,edit_distance_knn,0.33,0.174080,0.165897,0.029540,0.040946
2,cycle_knn,0.4,0.991045,0.968495,0.566000,0.654502
2,mutual_knn,0.4,0.691990,0.624567,0.218960,0.268423
2,lcs_knn,0.4,4.403980,3.908586,1.575500,1.864052
2,cka,0.4,0.923156,0.865315,0.795171,0.910603
2,unbiased_cka,0.4,0.922650,0.865020,0.792251,0.907777
2,cknna,0.4,0.703762,0.628403,0.187676,0.254412
2,svcca,0.4,0.784617,0.728497,0.700193,0.725610
2,edit_distance_knn,0.4,0.233532,0.186729,0.036400,0.049316
2,cycle_knn,0.57,0.984695,0.979474,0.584700,0.657191
2,mutual_knn,0.57,0.669464,0.633637,0.220750,0.278281
2,lcs_knn,0.57,4.200444,3.963582,1.584200,1.923748
2,cka,0.57,0.913056,0.862163,0.853754,0.951109
2,unbiased_cka,0.57,0.911838,0.861792,0.852325,0.949795
2,cknna,0.57,0.672732,0.630499,0.195755,0.262619
2,svcca,0.57,0.742137,0.687904,0.683272,0.741132
2,edit_distance_knn,0.57,0.210615,0.190680,0.038360,0.051802
2,cycle_knn,0.6,0.983844,0.964890,0.612500,0.665335
2,mutual_knn,0.6,0.692259,0.668601,0.230900,0.273287
2,lcs_knn,0.6,4.349041,4.185508,1.646700,1.896627
2,cka,0.6,0.924514,0.911045,0.802018,0.857560
2,unbiased_cka,0.6,0.922721,0.910402,0.799366,0.854757
2,cknna,0.6,0.700037,0.667720,0.204274,0.263575
2,svcca,0.6,0.737212,0.769741,0.693603,0.694398
2,edit_distance_knn,0.6,0.225682,0.211130,0.039870,0.051325
2,cycle_knn,0.75,0.979077,0.976045,0.530700,0.611555
2,mutual_knn,0.75,0.682215,0.618603,0.208840,0.239628
2,lcs_knn,0.75,4.318831,3.908257,1.516500,1.704402
2,cka,0.75,0.960650,0.891032,0.750111,0.908779
2,unbiased_cka,0.75,0.958138,0.890676,0.746546,0.906586
2,cknna,0.75,0.686795,0.605834,0.181596,0.227291
2,svcca,0.75,0.672306,0.743091,0.678437,0.689384
2,edit_distance_knn,0.75,0.225872,0.186290,0.035200,0.042517
2,cycle_knn,0.8,0.979439,0.975598,0.596700,0.680547
2,mutual_knn,0.8,0.706652,0.702590,0.263270,0.321608
2,lcs_knn,0.8,4.446541,4.428785,1.838500,2.164144
2,cka,0.8,0.972557,0.969439,0.835381,0.929926
2,unbiased_cka,0.8,0.970759,0.968907,0.810320,0.866626
2,cknna,0.8,0.707092,0.695928,0.232821,0.308413
2,svcca,0.8,0.712854,0.824092,0.692925,0.758092
2,edit_distance_knn,0.8,0.237808,0.235209,0.047100,0.063852
2,cycle_knn,0.89,0.983391,0.987379,0.675500,0.676513
2,mutual_knn,0.89,0.721864,0.735777,0.312500,0.313391
2,lcs_knn,0.89,4.598042,4.731068,2.109000,2.113322
2,cka,0.89,0.953697,0.961797,0.924026,0.977616
2,unbiased_cka,0.89,0.952741,0.960743,0.921307,0.975444
2,cknna,0.89,0.728523,0.745969,0.279189,0.293063
2,svcca,0.89,0.705073,0.817637,0.751440,0.790114
2,edit_distance_knn,0.89,0.251748,0.265049,0.058600,0.061232
2,cycle_knn,1.0,0.993041,0.979073,0.710500,0.732368
2,mutual_knn,1.0,0.755219,0.769059,0.377690,0.407798
2,lcs_knn,1.0,4.884159,4.991786,2.474300,2.655693
2,cka,1.0,0.951519,0.972054,0.920172,0.922396
2,unbiased_cka,1.0,0.951324,0.971239,0.919999,0.918307
2,cknna,1.0,0.772196,0.774091,0.333787,0.388236
2,svcca,1.0,0.697459,0.797399,0.712905,0.766673
2,edit_distance_knn,1.0,0.281662,0.294270,0.076880,0.090043
3,cycle_knn,0.0,0.964100,0.964100,0.475500,0.592924
3,mutual_knn,0.0,0.544900,0.544900,0.160730,0.214640
3,lcs_knn,0.0,3.441400,3.441400,1.216700,1.552397
3,cka,0.0,0.771159,0.771159,0.731084,0.901381
3,unbiased_cka,0.0,0.770180,0.770265,0.729508,0.899315
3,cknna,0.0,0.548635,0.548635,0.139262,0.199857
3,svcca,0.0,0.646941,0.667320,0.633953,0.690488
3,edit_distance_knn,0.0,0.148820,0.148840,0.025130,0.037362
3,cycle_knn,0.2,0.991279,0.961563,0.501600,0.614782
3,mutual_knn,0.2,0.632461,0.550450,0.170700,0.230797
3,lcs_knn,0.2,3.966085,3.463275,1.284300,1.648970
3,cka,0.2,0.880773,0.771527,0.690312,0.876145
3,unbiased_cka,0.2,0.879264,0.771113,0.689956,0.806359
3,cknna,0.2,0.636249,0.553539,0.151666,0.222199
3,svcca,0.2,0.761415,0.732279,0.630964,0.689839
3,edit_distance_knn,0.2,0.195058,0.149309,0.027220,0.041618
3,cycle_knn,0.33,0.988046,0.971740,0.561000,0.632644
3,mutual_knn,0.33,0.644335,0.617105,0.212620,0.255078
3,lcs_knn,0.33,4.031705,3.869732,1.541800,1.798440
3,cka,0.33,0.888081,0.827194,0.792703,0.868527
3,unbiased_cka,0.33,0.885921,0.826138,0.792324,0.865345
3,cknna,0.33,0.644189,0.620257,0.185473,0.245678
3,svcca,0.33,0.718918,0.716743,0.691007,0.724355
3,edit_distance_knn,0.33,0.196674,0.182561,0.035850,0.047011
3,cycle_knn,0.4,0.989806,0.970907,0.577600,0.649470
3,mutual_knn,0.4,0.695362,0.640960,0.231550,0.273440
3,lcs_knn,0.4,4.349643,4.025312,1.655500,1.903811
3,cka,0.4,0.931174,0.879071,0.803631,0.821204
3,unbiased_cka,0.4,0.930727,0.878282,0.801210,0.814791
3,cknna,0.4,0.695926,0.642896,0.202821,0.264693
3,svcca,0.4,0.805934,0.799297,0.679259,0.688674
3,edit_distance_knn,0.4,0.226402,0.197403,0.040650,0.052024
3,cycle_knn,0.57,0.978277,0.974030,0.563500,0.634450
3,mutual_knn,0.57,0.651856,0.609511,0.208160,0.240807
3,lcs_knn,0.57,4.108108,3.831683,1.512000,1.709127
3,cka,0.57,0.957822,0.906428,0.820137,0.955772
3,unbiased_cka,0.57,0.955399,0.902990,0.817714,0.953700
3,cknna,0.57,0.663040,0.612166,0.179654,0.230345
3,svcca,0.57,0.715047,0.774782,0.679318,0.711533
3,edit_distance_knn,0.57,0.204446,0.181058,0.035110,0.043139
3,cycle_knn,0.6,0.983855,0.980359,0.569000,0.642440
3,mutual_knn,0.6,0.703455,0.660623,0.202580,0.263299
3,lcs_knn,0.6,4.470778,4.207425,1.480400,1.839851
3,cka,0.6,0.949418,0.914751,0.735641,0.874012
3,unbiased_cka,0.6,0.948934,0.912831,0.733272,0.845827
3,cknna,0.6,0.712587,0.662602,0.176605,0.250716
3,svcca,0.6,0.654621,0.738504,0.740120,0.773400
3,edit_distance_knn,0.6,0.241137,0.216335,0.035110,0.049189
3,cycle_knn,0.75,0.980489,0.973987,0.550700,0.627151
3,mutual_knn,0.75,0.688393,0.639570,0.219970,0.253173
3,lcs_knn,0.75,4.379630,4.031266,1.580400,1.773702
3,cka,0.75,0.950059,0.873488,0.826306,0.876415
3,unbiased_cka,0.75,0.949175,0.873102,0.826105,0.876309
3,cknna,0.75,0.697181,0.635546,0.193051,0.237821
3,svcca,0.75,0.737878,0.758118,0.683340,0.731526
3,edit_distance_knn,0.75,0.231167,0.198774,0.037450,0.045763
3,cycle_knn,0.8,0.988696,0.981555,0.639500,0.694799
3,mutual_knn,0.8,0.713170,0.661216,0.272840,0.319979
3,lcs_knn,0.8,4.521293,4.122134,1.907400,2.165565
3,cka,0.8,0.937953,0.944006,0.843492,0.856825
3,unbiased_cka,0.8,0.937672,0.943054,0.841825,0.855282
3,cknna,0.8,0.721692,0.658160,0.238244,0.305745
