seed,partition,model,acc
0,partition1,shape,0.996012
0,partition1,digit,0.998775
0,partition2,shape_digit,0.996788
0,partition2,shape_color,0.997012
0,partition2,digit_color,0.998263
0,partition3,all0,0.995325
0,partition3,all1,0.995750
1,partition1,shape,0.997162
1,partition1,digit,0.998812
1,partition2,shape_digit,0.996888
1,partition2,shape_color,0.996663
1,partition2,digit_color,0.998525
1,partition3,all0,0.995125
1,partition3,all1,0.995300
2,partition1,shape,0.996838
2,partition1,digit,0.998575
2,partition2,shape_digit,0.996525
2,partition2,shape_color,0.996587
2,partition2,digit_color,0.998225
2,partition3,all0,0.995263
2,partition3,all1,0.995500
3,partition1,shape,0.996788
3,partition1,digit,0.999313
3,partition2,shape_digit,0.996138
3,partition2,shape_color,0.997525
3,partition2,digit_color,0.999188
3,partition3,all0,0.995975
3,partition3,all1,0.995838
