seed,partition,model,acc
0,partition1,shape,0.996162
0,partition1,digit,0.999300
0,partition2,shape_digit,0.995513
0,partition2,shape_color,0.996125
0,partition2,digit_color,0.998800
0,partition3,all0,0.994838
0,partition3,all1,0.995337
1,partition1,shape,0.995900
1,partition1,digit,0.999325
1,partition2,shape_digit,0.995000
1,partition2,shape_color,0.995912
1,partition2,digit_color,0.998825
1,partition3,all0,0.994800
1,partition3,all1,0.994637
2,partition1,shape,0.995975
2,partition1,digit,0.999150
2,partition2,shape_digit,0.995162
2,partition2,shape_color,0.996112
2,partition2,digit_color,0.998875
2,partition3,all0,0.994563
2,partition3,all1,0.994600
3,partition1,shape,0.996263
3,partition1,digit,0.998988
3,partition2,shape_digit,0.994988
3,partition2,shape_color,0.996550
3,partition2,digit_color,0.999125
3,partition3,all0,0.994575
3,partition3,all1,0.994513
