seed,partition,model,acc
0,partition1,shape,0.996088
0,partition1,digit,0.999263
0,partition2,shape_digit,0.995475
0,partition2,shape_color,0.996188
0,partition2,digit_color,0.998900
0,partition3,all0,0.994437
0,partition3,all1,0.994762
1,partition1,shape,0.995900
1,partition1,digit,0.999088
1,partition2,shape_digit,0.995250
1,partition2,shape_color,0.996050
1,partition2,digit_color,0.998838
1,partition3,all0,0.994850
1,partition3,all1,0.994287
2,partition1,shape,0.996188
2,partition1,digit,0.999575
2,partition2,shape_digit,0.995363
2,partition2,shape_color,0.996025
2,partition2,digit_color,0.999238
2,partition3,all0,0.995200
2,partition3,all1,0.994988
3,partition1,shape,0.996212
3,partition1,digit,0.999038
3,partition2,shape_digit,0.995100
3,partition2,shape_color,0.996125
3,partition2,digit_color,0.998912
3,partition3,all0,0.994413
3,partition3,all1,0.994150
