seed,partition,model,acc
0,partition1,shape,0.995950
0,partition1,digit,0.999088
0,partition2,shape_digit,0.994475
0,partition2,shape_color,0.995800
0,partition2,digit_color,0.998788
0,partition3,all0,0.993687
0,partition3,all1,0.993525
1,partition1,shape,0.996038
1,partition1,digit,0.998962
1,partition2,shape_digit,0.994613
1,partition2,shape_color,0.995675
1,partition2,digit_color,0.998737
1,partition3,all0,0.993575
1,partition3,all1,0.994038
2,partition1,shape,0.996138
2,partition1,digit,0.999025
2,partition2,shape_digit,0.994225
2,partition2,shape_color,0.995175
2,partition2,digit_color,0.998463
2,partition3,all0,0.993888
2,partition3,all1,0.993363
3,partition1,shape,0.996275
3,partition1,digit,0.998938
3,partition2,shape_digit,0.994150
3,partition2,shape_color,0.995313
3,partition2,digit_color,0.998737
3,partition3,all0,0.993525
3,partition3,all1,0.993463
