seed,partition,model,acc
0,partition1,shape,0.996200
0,partition1,digit,0.998862
0,partition2,shape_digit,0.994475
0,partition2,shape_color,0.996587
0,partition2,digit_color,0.998363
0,partition3,all0,0.993637
0,partition3,all1,0.993775
1,partition1,shape,0.996425
1,partition1,digit,0.999088
1,partition2,shape_digit,0.994387
1,partition2,shape_color,0.996212
1,partition2,digit_color,0.998487
1,partition3,all0,0.993525
1,partition3,all1,0.993650
2,partition1,shape,0.996025
2,partition1,digit,0.999062
2,partition2,shape_digit,0.994250
2,partition2,shape_color,0.995925
2,partition2,digit_color,0.998537
2,partition3,all0,0.993750
2,partition3,all1,0.993700
3,partition1,shape,0.996175
3,partition1,digit,0.999162
3,partition2,shape_digit,0.994513
3,partition2,shape_color,0.995900
3,partition2,digit_color,0.998675
3,partition3,all0,0.993875
3,partition3,all1,0.993788
