seed,metric,partition,model0,model1,partition_metric
0,cycle_knn,partition1,shape,digit,0.032552
0,mutual_knn,partition1,shape,digit,0.003404
0,lcs_knn,partition1,shape,digit,0.008696
0,cka,partition1,shape,digit,0.000406
0,unbiased_cka,partition1,shape,digit,0.000029
0,cknna,partition1,shape,digit,0.003688
0,svcca,partition1,shape,digit,0.028997
0,edit_distance_knn,partition1,shape,digit,0.750251
0,cycle_knn,partition2,shape_digit,shape_color,0.180013
0,mutual_knn,partition2,shape_digit,shape_color,0.022363
0,lcs_knn,partition2,shape_digit,shape_color,0.051200
0,cka,partition2,shape_digit,shape_color,0.287676
0,unbiased_cka,partition2,shape_digit,shape_color,0.285522
0,cknna,partition2,shape_digit,shape_color,0.019643
0,svcca,partition2,shape_digit,shape_color,0.403609
0,edit_distance_knn,partition2,shape_digit,shape_color,0.750837
0,cycle_knn,partition2,shape_digit,digit_color,0.158296
0,mutual_knn,partition2,shape_digit,digit_color,0.019601
0,lcs_knn,partition2,shape_digit,digit_color,0.048317
0,cka,partition2,shape_digit,digit_color,0.231237
0,unbiased_cka,partition2,shape_digit,digit_color,0.228525
0,cknna,partition2,shape_digit,digit_color,0.017681
0,svcca,partition2,shape_digit,digit_color,0.335691
0,edit_distance_knn,partition2,shape_digit,digit_color,0.750618
0,cycle_knn,partition2,shape_color,digit_color,0.139090
0,mutual_knn,partition2,shape_color,digit_color,0.016188
0,lcs_knn,partition2,shape_color,digit_color,0.038504
0,cka,partition2,shape_color,digit_color,0.096456
0,unbiased_cka,partition2,shape_color,digit_color,0.093534
0,cknna,partition2,shape_color,digit_color,0.012718
0,svcca,partition2,shape_color,digit_color,0.117141
0,edit_distance_knn,partition2,shape_color,digit_color,0.750502
0,cycle_knn,partition3,all0,all1,0.896903
0,mutual_knn,partition3,all0,all1,0.612054
0,lcs_knn,partition3,all0,all1,0.871745
0,cka,partition3,all0,all1,0.853728
0,unbiased_cka,partition3,all0,all1,0.852523
0,cknna,partition3,all0,all1,0.514213
0,svcca,partition3,all0,all1,0.560844
0,edit_distance_knn,partition3,all0,all1,0.781738
1,cycle_knn,partition1,shape,digit,0.035807
1,mutual_knn,partition1,shape,digit,0.003702
1,lcs_knn,partition1,shape,digit,0.009115
1,cka,partition1,shape,digit,0.000351
1,unbiased_cka,partition1,shape,digit,0.000000
1,cknna,partition1,shape,digit,0.003848
1,svcca,partition1,shape,digit,0.031732
1,edit_distance_knn,partition1,shape,digit,0.750312
1,cycle_knn,partition2,shape_digit,shape_color,0.172573
1,mutual_knn,partition2,shape_digit,shape_color,0.021401
1,lcs_knn,partition2,shape_digit,shape_color,0.050130
1,cka,partition2,shape_digit,shape_color,0.302722
1,unbiased_cka,partition2,shape_digit,shape_color,0.300649
1,cknna,partition2,shape_digit,shape_color,0.018745
1,svcca,partition2,shape_digit,shape_color,0.431890
1,edit_distance_knn,partition2,shape_digit,shape_color,0.750749
1,cycle_knn,partition2,shape_digit,digit_color,0.165365
1,mutual_knn,partition2,shape_digit,digit_color,0.020889
1,lcs_knn,partition2,shape_digit,digit_color,0.048084
1,cka,partition2,shape_digit,digit_color,0.236348
1,unbiased_cka,partition2,shape_digit,digit_color,0.233697
1,cknna,partition2,shape_digit,digit_color,0.018858
1,svcca,partition2,shape_digit,digit_color,0.316135
1,edit_distance_knn,partition2,shape_digit,digit_color,0.750870
1,cycle_knn,partition2,shape_color,digit_color,0.132254
1,mutual_knn,partition2,shape_color,digit_color,0.015299
1,lcs_knn,partition2,shape_color,digit_color,0.035435
1,cka,partition2,shape_color,digit_color,0.099227
1,unbiased_cka,partition2,shape_color,digit_color,0.096377
1,cknna,partition2,shape_color,digit_color,0.012123
1,svcca,partition2,shape_color,digit_color,0.130047
1,edit_distance_knn,partition2,shape_color,digit_color,0.750442
1,cycle_knn,partition3,all0,all1,0.889276
1,mutual_knn,partition3,all0,all1,0.640848
1,lcs_knn,partition3,all0,all1,0.913876
1,cka,partition3,all0,all1,0.856279
1,unbiased_cka,partition3,all0,all1,0.855089
1,cknna,partition3,all0,all1,0.545196
1,svcca,partition3,all0,all1,0.590225
1,edit_distance_knn,partition3,all0,all1,0.785514
2,cycle_knn,partition1,shape,digit,0.033994
2,mutual_knn,partition1,shape,digit,0.003623
2,lcs_knn,partition1,shape,digit,0.009673
2,cka,partition1,shape,digit,0.000407
2,unbiased_cka,partition1,shape,digit,0.000030
2,cknna,partition1,shape,digit,0.003707
2,svcca,partition1,shape,digit,0.043408
2,edit_distance_knn,partition1,shape,digit,0.750270
