seed,metric,partition,model0,model1,partition_metric
0,cycle_knn,partition1,shape,digit,0.091983
0,mutual_knn,partition1,shape,digit,0.010342
0,lcs_knn,partition1,shape,digit,0.024833
0,cka,partition1,shape,digit,0.000751
0,unbiased_cka,partition1,shape,digit,0.000351
0,cknna,partition1,shape,digit,0.009746
0,svcca,partition1,shape,digit,0.022074
0,edit_distance_knn,partition1,shape,digit,0.750549
0,cycle_knn,partition2,shape_digit,shape_color,0.343471
0,mutual_knn,partition2,shape_digit,shape_color,0.054567
0,lcs_knn,partition2,shape_digit,shape_color,0.125140
0,cka,partition2,shape_digit,shape_color,0.132830
0,unbiased_cka,partition2,shape_digit,shape_color,0.129879
0,cknna,partition2,shape_digit,shape_color,0.051960
0,svcca,partition2,shape_digit,shape_color,0.144198
0,edit_distance_knn,partition2,shape_digit,shape_color,0.752400
0,cycle_knn,partition2,shape_digit,digit_color,0.325428
0,mutual_knn,partition2,shape_digit,digit_color,0.050730
0,lcs_knn,partition2,shape_digit,digit_color,0.115095
0,cka,partition2,shape_digit,digit_color,0.175567
0,unbiased_cka,partition2,shape_digit,digit_color,0.172507
0,cknna,partition2,shape_digit,digit_color,0.052715
0,svcca,partition2,shape_digit,digit_color,0.207284
0,edit_distance_knn,partition2,shape_digit,digit_color,0.752200
0,cycle_knn,partition2,shape_color,digit_color,0.231352
0,mutual_knn,partition2,shape_color,digit_color,0.030408
0,lcs_knn,partition2,shape_color,digit_color,0.070080
0,cka,partition2,shape_color,digit_color,0.086778
0,unbiased_cka,partition2,shape_color,digit_color,0.083482
0,cknna,partition2,shape_color,digit_color,0.028132
0,svcca,partition2,shape_color,digit_color,0.070269
0,edit_distance_knn,partition2,shape_color,digit_color,0.751023
0,cycle_knn,partition3,all0,all1,0.912063
0,mutual_knn,partition3,all0,all1,0.720317
0,lcs_knn,partition3,all0,all1,1.072219
0,cka,partition3,all0,all1,0.703801
0,unbiased_cka,partition3,all0,all1,0.699610
0,cknna,partition3,all0,all1,0.670188
0,svcca,partition3,all0,all1,0.221627
0,edit_distance_knn,partition3,all0,all1,0.801767
1,cycle_knn,partition1,shape,digit,0.093750
1,mutual_knn,partition1,shape,digit,0.010584
1,lcs_knn,partition1,shape,digit,0.027018
1,cka,partition1,shape,digit,0.000712
1,unbiased_cka,partition1,shape,digit,0.000310
1,cknna,partition1,shape,digit,0.009828
1,svcca,partition1,shape,digit,0.027356
1,edit_distance_knn,partition1,shape,digit,0.750488
1,cycle_knn,partition2,shape_digit,shape_color,0.348540
1,mutual_knn,partition2,shape_digit,shape_color,0.055390
1,lcs_knn,partition2,shape_digit,shape_color,0.126349
1,cka,partition2,shape_digit,shape_color,0.130901
1,unbiased_cka,partition2,shape_digit,shape_color,0.127938
1,cknna,partition2,shape_digit,shape_color,0.052691
1,svcca,partition2,shape_digit,shape_color,0.143224
1,edit_distance_knn,partition2,shape_digit,shape_color,0.752195
1,cycle_knn,partition2,shape_digit,digit_color,0.329799
1,mutual_knn,partition2,shape_digit,digit_color,0.050939
1,lcs_knn,partition2,shape_digit,digit_color,0.115374
1,cka,partition2,shape_digit,digit_color,0.156878
1,unbiased_cka,partition2,shape_digit,digit_color,0.153719
1,cknna,partition2,shape_digit,digit_color,0.052578
1,svcca,partition2,shape_digit,digit_color,0.193637
1,edit_distance_knn,partition2,shape_digit,digit_color,0.752172
1,cycle_knn,partition2,shape_color,digit_color,0.243676
1,mutual_knn,partition2,shape_color,digit_color,0.031906
1,lcs_knn,partition2,shape_color,digit_color,0.076032
1,cka,partition2,shape_color,digit_color,0.090334
1,unbiased_cka,partition2,shape_color,digit_color,0.086990
1,cknna,partition2,shape_color,digit_color,0.029892
1,svcca,partition2,shape_color,digit_color,0.087058
1,edit_distance_knn,partition2,shape_color,digit_color,0.751209
1,cycle_knn,partition3,all0,all1,0.911830
1,mutual_knn,partition3,all0,all1,0.720038
1,lcs_knn,partition3,all0,all1,1.065523
1,cka,partition3,all0,all1,0.701308
1,unbiased_cka,partition3,all0,all1,0.697029
1,cknna,partition3,all0,all1,0.669713
1,svcca,partition3,all0,all1,0.245084
1,edit_distance_knn,partition3,all0,all1,0.800916
2,cycle_knn,partition1,shape,digit,0.097145
2,mutual_knn,partition1,shape,digit,0.010844
2,lcs_knn,partition1,shape,digit,0.026414
2,cka,partition1,shape,digit,0.000766
2,unbiased_cka,partition1,shape,digit,0.000363
2,cknna,partition1,shape,digit,0.010419
2,svcca,partition1,shape,digit,0.028942
2,edit_distance_knn,partition1,shape,digit,0.750628
2,cycle_knn,partition2,shape_digit,shape_color,0.329892
2,mutual_knn,partition2,shape_digit,shape_color,0.051242
2,lcs_knn,partition2,shape_digit,shape_color,0.118583
2,cka,partition2,shape_digit,shape_color,0.139777
2,unbiased_cka,partition2,shape_digit,shape_color,0.136870
2,cknna,partition2,shape_digit,shape_color,0.049448
2,svcca,partition2,shape_digit,shape_color,0.153865
2,edit_distance_knn,partition2,shape_digit,shape_color,0.752111
2,cycle_knn,partition2,shape_digit,digit_color,0.328869
2,mutual_knn,partition2,shape_digit,digit_color,0.050781
2,lcs_knn,partition2,shape_digit,digit_color,0.116211
2,cka,partition2,shape_digit,digit_color,0.155942
2,unbiased_cka,partition2,shape_digit,digit_color,0.152769
2,cknna,partition2,shape_digit,digit_color,0.053306
2,svcca,partition2,shape_digit,digit_color,0.171640
2,edit_distance_knn,partition2,shape_digit,digit_color,0.752437
2,cycle_knn,partition2,shape_color,digit_color,0.244513
2,mutual_knn,partition2,shape_color,digit_color,0.031371
2,lcs_knn,partition2,shape_color,digit_color,0.071336
2,cka,partition2,shape_color,digit_color,0.090863
2,unbiased_cka,partition2,shape_color,digit_color,0.087575
2,cknna,partition2,shape_color,digit_color,0.029120
2,svcca,partition2,shape_color,digit_color,0.077503
