seed,metric,partition,model0,model1,partition_metric
0,cycle_knn,partition1,shape,digit,0.103888
0,mutual_knn,partition1,shape,digit,0.012091
0,lcs_knn,partition1,shape,digit,0.030413
0,cka,partition1,shape,digit,0.000300
0,unbiased_cka,partition1,shape,digit,0.000000
0,cknna,partition1,shape,digit,0.011135
0,svcca,partition1,shape,digit,0.023465
0,edit_distance_knn,partition1,shape,digit,0.750711
0,cycle_knn,partition2,shape_digit,shape_color,0.373419
0,mutual_knn,partition2,shape_digit,shape_color,0.061170
0,lcs_knn,partition2,shape_digit,shape_color,0.136812
0,cka,partition2,shape_digit,shape_color,0.040370
0,unbiased_cka,partition2,shape_digit,shape_color,0.037164
0,cknna,partition2,shape_digit,shape_color,0.058923
0,svcca,partition2,shape_digit,shape_color,0.025976
0,edit_distance_knn,partition2,shape_digit,shape_color,0.752525
0,cycle_knn,partition2,shape_digit,digit_color,0.389509
0,mutual_knn,partition2,shape_digit,digit_color,0.065602
0,lcs_knn,partition2,shape_digit,digit_color,0.147647
0,cka,partition2,shape_digit,digit_color,0.045539
0,unbiased_cka,partition2,shape_digit,digit_color,0.041967
0,cknna,partition2,shape_digit,digit_color,0.069901
0,svcca,partition2,shape_digit,digit_color,0.027163
0,edit_distance_knn,partition2,shape_digit,digit_color,0.753218
0,cycle_knn,partition2,shape_color,digit_color,0.285249
0,mutual_knn,partition2,shape_color,digit_color,0.039002
0,lcs_knn,partition2,shape_color,digit_color,0.087798
0,cka,partition2,shape_color,digit_color,0.025660
0,unbiased_cka,partition2,shape_color,digit_color,0.022030
0,cknna,partition2,shape_color,digit_color,0.037086
0,svcca,partition2,shape_color,digit_color,0.019378
0,edit_distance_knn,partition2,shape_color,digit_color,0.751646
0,cycle_knn,partition3,all0,all1,0.924712
0,mutual_knn,partition3,all0,all1,0.756576
0,lcs_knn,partition3,all0,all1,1.157831
0,cka,partition3,all0,all1,0.687956
0,unbiased_cka,partition3,all0,all1,0.681780
0,cknna,partition3,all0,all1,0.717713
0,svcca,partition3,all0,all1,0.230021
0,edit_distance_knn,partition3,all0,all1,0.810565
1,cycle_knn,partition1,shape,digit,0.114955
1,mutual_knn,partition1,shape,digit,0.013211
1,lcs_knn,partition1,shape,digit,0.032180
1,cka,partition1,shape,digit,0.000349
1,unbiased_cka,partition1,shape,digit,0.000000
1,cknna,partition1,shape,digit,0.012416
1,svcca,partition1,shape,digit,0.026240
1,edit_distance_knn,partition1,shape,digit,0.750693
1,cycle_knn,partition2,shape_digit,shape_color,0.374023
1,mutual_knn,partition2,shape_digit,shape_color,0.059780
1,lcs_knn,partition2,shape_digit,shape_color,0.133789
1,cka,partition2,shape_digit,shape_color,0.042423
1,unbiased_cka,partition2,shape_digit,shape_color,0.039207
1,cknna,partition2,shape_digit,shape_color,0.057128
1,svcca,partition2,shape_digit,shape_color,0.030296
1,edit_distance_knn,partition2,shape_digit,shape_color,0.752414
1,cycle_knn,partition2,shape_digit,digit_color,0.381929
1,mutual_knn,partition2,shape_digit,digit_color,0.063044
1,lcs_knn,partition2,shape_digit,digit_color,0.142671
1,cka,partition2,shape_digit,digit_color,0.047509
1,unbiased_cka,partition2,shape_digit,digit_color,0.043917
1,cknna,partition2,shape_digit,digit_color,0.066193
1,svcca,partition2,shape_digit,digit_color,0.026938
1,edit_distance_knn,partition2,shape_digit,digit_color,0.753097
1,cycle_knn,partition2,shape_color,digit_color,0.271903
1,mutual_knn,partition2,shape_color,digit_color,0.036747
1,lcs_knn,partition2,shape_color,digit_color,0.083752
1,cka,partition2,shape_color,digit_color,0.023980
1,unbiased_cka,partition2,shape_color,digit_color,0.020347
1,cknna,partition2,shape_color,digit_color,0.035222
1,svcca,partition2,shape_color,digit_color,0.019064
1,edit_distance_knn,partition2,shape_color,digit_color,0.751446
1,cycle_knn,partition3,all0,all1,0.923782
1,mutual_knn,partition3,all0,all1,0.758571
1,lcs_knn,partition3,all0,all1,1.157645
1,cka,partition3,all0,all1,0.686334
1,unbiased_cka,partition3,all0,all1,0.680110
1,cknna,partition3,all0,all1,0.718644
1,svcca,partition3,all0,all1,0.230741
1,edit_distance_knn,partition3,all0,all1,0.810942
2,cycle_knn,partition1,shape,digit,0.101702
2,mutual_knn,partition1,shape,digit,0.011709
2,lcs_knn,partition1,shape,digit,0.028460
2,cka,partition1,shape,digit,0.000327
2,unbiased_cka,partition1,shape,digit,0.000000
2,cknna,partition1,shape,digit,0.010744
2,svcca,partition1,shape,digit,0.023816
2,edit_distance_knn,partition1,shape,digit,0.750525
2,cycle_knn,partition2,shape_digit,shape_color,0.367560
2,mutual_knn,partition2,shape_digit,shape_color,0.058775
2,lcs_knn,partition2,shape_digit,shape_color,0.131743
2,cka,partition2,shape_digit,shape_color,0.041567
2,unbiased_cka,partition2,shape_digit,shape_color,0.038351
2,cknna,partition2,shape_digit,shape_color,0.056507
2,svcca,partition2,shape_digit,shape_color,0.029517
2,edit_distance_knn,partition2,shape_digit,shape_color,0.752483
2,cycle_knn,partition2,shape_digit,digit_color,0.400019
2,mutual_knn,partition2,shape_digit,digit_color,0.068662
2,lcs_knn,partition2,shape_digit,digit_color,0.148158
2,cka,partition2,shape_digit,digit_color,0.048634
2,unbiased_cka,partition2,shape_digit,digit_color,0.045059
2,cknna,partition2,shape_digit,digit_color,0.073173
2,svcca,partition2,shape_digit,digit_color,0.027090
2,edit_distance_knn,partition2,shape_digit,digit_color,0.753306
2,cycle_knn,partition2,shape_color,digit_color,0.274926
2,mutual_knn,partition2,shape_color,digit_color,0.037426
2,lcs_knn,partition2,shape_color,digit_color,0.082822
2,cka,partition2,shape_color,digit_color,0.022830
2,unbiased_cka,partition2,shape_color,digit_color,0.019206
2,cknna,partition2,shape_color,digit_color,0.035262
2,svcca,partition2,shape_color,digit_color,0.018707
2,edit_distance_knn,partition2,shape_color,digit_color,0.751321
2,cycle_knn,partition3,all0,all1,0.925084
2,mutual_knn,partition3,all0,all1,0.755911
2,lcs_knn,partition3,all0,all1,1.150763
2,cka,partition3,all0,all1,0.684692
2,unbiased_cka,partition3,all0,all1,0.678553
2,cknna,partition3,all0,all1,0.712896
2,svcca,partition3,all0,all1,0.217554
2,edit_distance_knn,partition3,all0,all1,0.810733
3,cycle_knn,partition1,shape,digit,0.110212
3,mutual_knn,partition1,shape,digit,0.012886
3,lcs_knn,partition1,shape,digit,0.030878
3,cka,partition1,shape,digit,0.000335
3,unbiased_cka,partition1,shape,digit,0.000000
3,cknna,partition1,shape,digit,0.012150
3,svcca,partition1,shape,digit,0.025956
