seed,metric,partition,model0,model1,partition_metric
0,cycle_knn,partition1,shape,digit,0.081427
0,mutual_knn,partition1,shape,digit,0.009026
0,lcs_knn,partition1,shape,digit,0.024321
0,cka,partition1,shape,digit,0.000515
0,unbiased_cka,partition1,shape,digit,0.000133
0,cknna,partition1,shape,digit,0.008547
0,svcca,partition1,shape,digit,0.022292
0,edit_distance_knn,partition1,shape,digit,0.750581
0,cycle_knn,partition2,shape_digit,shape_color,0.286877
0,mutual_knn,partition2,shape_digit,shape_color,0.042541
0,lcs_knn,partition2,shape_digit,shape_color,0.099609
0,cka,partition2,shape_digit,shape_color,0.166977
0,unbiased_cka,partition2,shape_digit,shape_color,0.164244
0,cknna,partition2,shape_digit,shape_color,0.039026
0,svcca,partition2,shape_digit,shape_color,0.207134
0,edit_distance_knn,partition2,shape_digit,shape_color,0.751855
0,cycle_knn,partition2,shape_digit,digit_color,0.275995
0,mutual_knn,partition2,shape_digit,digit_color,0.040718
0,lcs_knn,partition2,shape_digit,digit_color,0.092913
0,cka,partition2,shape_digit,digit_color,0.208612
0,unbiased_cka,partition2,shape_digit,digit_color,0.205771
0,cknna,partition2,shape_digit,digit_color,0.041209
0,svcca,partition2,shape_digit,digit_color,0.300311
0,edit_distance_knn,partition2,shape_digit,digit_color,0.751790
0,cycle_knn,partition2,shape_color,digit_color,0.198986
0,mutual_knn,partition2,shape_color,digit_color,0.024935
0,lcs_knn,partition2,shape_color,digit_color,0.058733
0,cka,partition2,shape_color,digit_color,0.116243
0,unbiased_cka,partition2,shape_color,digit_color,0.113165
0,cknna,partition2,shape_color,digit_color,0.022583
0,svcca,partition2,shape_color,digit_color,0.151004
0,edit_distance_knn,partition2,shape_color,digit_color,0.750949
0,cycle_knn,partition3,all0,all1,0.918899
0,mutual_knn,partition3,all0,all1,0.710640
0,lcs_knn,partition3,all0,all1,1.047061
0,cka,partition3,all0,all1,0.550939
0,unbiased_cka,partition3,all0,all1,0.546285
0,cknna,partition3,all0,all1,0.654987
0,svcca,partition3,all0,all1,0.194246
0,edit_distance_knn,partition3,all0,all1,0.799005
1,cycle_knn,partition1,shape,digit,0.081520
1,mutual_knn,partition1,shape,digit,0.009124
1,lcs_knn,partition1,shape,digit,0.021763
1,cka,partition1,shape,digit,0.000559
1,unbiased_cka,partition1,shape,digit,0.000172
1,cknna,partition1,shape,digit,0.008473
1,svcca,partition1,shape,digit,0.026234
1,edit_distance_knn,partition1,shape,digit,0.750572
1,cycle_knn,partition2,shape_digit,shape_color,0.275298
1,mutual_knn,partition2,shape_digit,shape_color,0.040341
1,lcs_knn,partition2,shape_digit,shape_color,0.092913
1,cka,partition2,shape_digit,shape_color,0.160136
1,unbiased_cka,partition2,shape_digit,shape_color,0.157368
1,cknna,partition2,shape_digit,shape_color,0.037213
1,svcca,partition2,shape_digit,shape_color,0.222377
1,edit_distance_knn,partition2,shape_digit,shape_color,0.751451
1,cycle_knn,partition2,shape_digit,digit_color,0.301107
1,mutual_knn,partition2,shape_digit,digit_color,0.045884
1,lcs_knn,partition2,shape_digit,digit_color,0.103934
