seed,metric,partition,model0,model1,partition_metric
0,cycle_knn,partition1,shape,digit,0.068778
0,mutual_knn,partition1,shape,digit,0.007761
0,lcs_knn,partition1,shape,digit,0.018741
0,cka,partition1,shape,digit,0.000511
0,unbiased_cka,partition1,shape,digit,0.000120
0,cknna,partition1,shape,digit,0.007097
0,svcca,partition1,shape,digit,0.020970
0,edit_distance_knn,partition1,shape,digit,0.750363
0,cycle_knn,partition2,shape_digit,shape_color,0.280924
0,mutual_knn,partition2,shape_digit,shape_color,0.042718
0,lcs_knn,partition2,shape_digit,shape_color,0.100772
0,cka,partition2,shape_digit,shape_color,0.249452
0,unbiased_cka,partition2,shape_digit,shape_color,0.247357
0,cknna,partition2,shape_digit,shape_color,0.038952
0,svcca,partition2,shape_digit,shape_color,0.323782
0,edit_distance_knn,partition2,shape_digit,shape_color,0.751688
0,cycle_knn,partition2,shape_digit,digit_color,0.252000
0,mutual_knn,partition2,shape_digit,digit_color,0.035956
0,lcs_knn,partition2,shape_digit,digit_color,0.083054
0,cka,partition2,shape_digit,digit_color,0.274839
0,unbiased_cka,partition2,shape_digit,digit_color,0.272602
0,cknna,partition2,shape_digit,digit_color,0.035265
0,svcca,partition2,shape_digit,digit_color,0.367343
0,edit_distance_knn,partition2,shape_digit,digit_color,0.751418
0,cycle_knn,partition2,shape_color,digit_color,0.180897
0,mutual_knn,partition2,shape_color,digit_color,0.022349
0,lcs_knn,partition2,shape_color,digit_color,0.052548
0,cka,partition2,shape_color,digit_color,0.139070
0,unbiased_cka,partition2,shape_color,digit_color,0.136563
0,cknna,partition2,shape_color,digit_color,0.019339
0,svcca,partition2,shape_color,digit_color,0.180791
0,edit_distance_knn,partition2,shape_color,digit_color,0.750744
0,cycle_knn,partition3,all0,all1,0.911179
0,mutual_knn,partition3,all0,all1,0.701070
0,lcs_knn,partition3,all0,all1,1.023391
0,cka,partition3,all0,all1,0.380309
0,unbiased_cka,partition3,all0,all1,0.376084
0,cknna,partition3,all0,all1,0.647283
0,svcca,partition3,all0,all1,0.197187
0,edit_distance_knn,partition3,all0,all1,0.796066
1,cycle_knn,partition1,shape,digit,0.076311
1,mutual_knn,partition1,shape,digit,0.008557
1,lcs_knn,partition1,shape,digit,0.022089
1,cka,partition1,shape,digit,0.000517
1,unbiased_cka,partition1,shape,digit,0.000138
1,cknna,partition1,shape,digit,0.007774
1,svcca,partition1,shape,digit,0.026461
1,edit_distance_knn,partition1,shape,digit,0.750484
1,cycle_knn,partition2,shape_digit,shape_color,0.294364
1,mutual_knn,partition2,shape_digit,shape_color,0.044355
1,lcs_knn,partition2,shape_digit,shape_color,0.103795
1,cka,partition2,shape_digit,shape_color,0.247239
1,unbiased_cka,partition2,shape_digit,shape_color,0.245142
1,cknna,partition2,shape_digit,shape_color,0.041683
1,svcca,partition2,shape_digit,shape_color,0.318049
1,edit_distance_knn,partition2,shape_digit,shape_color,0.751735
1,cycle_knn,partition2,shape_digit,digit_color,0.254092
1,mutual_knn,partition2,shape_digit,digit_color,0.035868
1,lcs_knn,partition2,shape_digit,digit_color,0.086356
1,cka,partition2,shape_digit,digit_color,0.263683
1,unbiased_cka,partition2,shape_digit,digit_color,0.261388
1,cknna,partition2,shape_digit,digit_color,0.035134
1,svcca,partition2,shape_digit,digit_color,0.359044
1,edit_distance_knn,partition2,shape_digit,digit_color,0.751511
1,cycle_knn,partition2,shape_color,digit_color,0.187453
1,mutual_knn,partition2,shape_color,digit_color,0.023419
1,lcs_knn,partition2,shape_color,digit_color,0.054222
1,cka,partition2,shape_color,digit_color,0.136857
1,unbiased_cka,partition2,shape_color,digit_color,0.134278
1,cknna,partition2,shape_color,digit_color,0.021034
1,svcca,partition2,shape_color,digit_color,0.167388
1,edit_distance_knn,partition2,shape_color,digit_color,0.750749
1,cycle_knn,partition3,all0,all1,0.909552
1,mutual_knn,partition3,all0,all1,0.698898
1,lcs_knn,partition3,all0,all1,1.015579
1,cka,partition3,all0,all1,0.375466
1,unbiased_cka,partition3,all0,all1,0.371203
1,cknna,partition3,all0,all1,0.638427
1,svcca,partition3,all0,all1,0.179289
1,edit_distance_knn,partition3,all0,all1,0.795494
2,cycle_knn,partition1,shape,digit,0.074172
2,mutual_knn,partition1,shape,digit,0.008343
2,lcs_knn,partition1,shape,digit,0.019066
2,cka,partition1,shape,digit,0.000429
2,unbiased_cka,partition1,shape,digit,0.000051
2,cknna,partition1,shape,digit,0.008187
2,svcca,partition1,shape,digit,0.025536
2,edit_distance_knn,partition1,shape,digit,0.750474
2,cycle_knn,partition2,shape_digit,shape_color,0.282459
2,mutual_knn,partition2,shape_digit,shape_color,0.042680
2,lcs_knn,partition2,shape_digit,shape_color,0.098586
2,cka,partition2,shape_digit,shape_color,0.247573
2,unbiased_cka,partition2,shape_digit,shape_color,0.245478
2,cknna,partition2,shape_digit,shape_color,0.038220
2,svcca,partition2,shape_digit,shape_color,0.315111
2,edit_distance_knn,partition2,shape_digit,shape_color,0.751576
2,cycle_knn,partition2,shape_digit,digit_color,0.267904
2,mutual_knn,partition2,shape_digit,digit_color,0.039002
2,lcs_knn,partition2,shape_digit,digit_color,0.089007
2,cka,partition2,shape_digit,digit_color,0.297541
2,unbiased_cka,partition2,shape_digit,digit_color,0.295411
2,cknna,partition2,shape_digit,digit_color,0.038855
2,svcca,partition2,shape_digit,digit_color,0.407091
2,edit_distance_knn,partition2,shape_digit,digit_color,0.751674
2,cycle_knn,partition2,shape_color,digit_color,0.187547
2,mutual_knn,partition2,shape_color,digit_color,0.022949
2,lcs_knn,partition2,shape_color,digit_color,0.054083
2,cka,partition2,shape_color,digit_color,0.137667
2,unbiased_cka,partition2,shape_color,digit_color,0.135116
2,cknna,partition2,shape_color,digit_color,0.019142
2,svcca,partition2,shape_color,digit_color,0.177404
2,edit_distance_knn,partition2,shape_color,digit_color,0.750818
2,cycle_knn,partition3,all0,all1,0.910482
2,mutual_knn,partition3,all0,all1,0.696052
2,lcs_knn,partition3,all0,all1,1.014416
2,cka,partition3,all0,all1,0.374457
2,unbiased_cka,partition3,all0,all1,0.370189
2,cknna,partition3,all0,all1,0.638352
2,svcca,partition3,all0,all1,0.183579
2,edit_distance_knn,partition3,all0,all1,0.795759
3,cycle_knn,partition1,shape,digit,0.075567
3,mutual_knn,partition1,shape,digit,0.008533
3,lcs_knn,partition1,shape,digit,0.020089
3,cka,partition1,shape,digit,0.000491
3,unbiased_cka,partition1,shape,digit,0.000106
3,cknna,partition1,shape,digit,0.007770
3,svcca,partition1,shape,digit,0.025480
3,edit_distance_knn,partition1,shape,digit,0.750414
3,cycle_knn,partition2,shape_digit,shape_color,0.254697
3,mutual_knn,partition2,shape_digit,shape_color,0.036816
3,lcs_knn,partition2,shape_digit,shape_color,0.086961
3,cka,partition2,shape_digit,shape_color,0.270642
3,unbiased_cka,partition2,shape_digit,shape_color,0.268622
3,cknna,partition2,shape_digit,shape_color,0.033049
3,svcca,partition2,shape_digit,shape_color,0.345657
3,edit_distance_knn,partition2,shape_digit,shape_color,0.751460
3,cycle_knn,partition2,shape_digit,digit_color,0.268601
3,mutual_knn,partition2,shape_digit,digit_color,0.040193
3,lcs_knn,partition2,shape_digit,digit_color,0.090402
3,cka,partition2,shape_digit,digit_color,0.296866
3,unbiased_cka,partition2,shape_digit,digit_color,0.294750
3,cknna,partition2,shape_digit,digit_color,0.040550
3,svcca,partition2,shape_digit,digit_color,0.396197
3,edit_distance_knn,partition2,shape_digit,digit_color,0.751502
3,cycle_knn,partition2,shape_color,digit_color,0.179874
3,mutual_knn,partition2,shape_color,digit_color,0.022270
3,lcs_knn,partition2,shape_color,digit_color,0.050874
3,cka,partition2,shape_color,digit_color,0.136531
3,unbiased_cka,partition2,shape_color,digit_color,0.133998
3,cknna,partition2,shape_color,digit_color,0.019274
3,svcca,partition2,shape_color,digit_color,0.191342
3,edit_distance_knn,partition2,shape_color,digit_color,0.750800
3,cycle_knn,partition3,all0,all1,0.911179
3,mutual_knn,partition3,all0,all1,0.693531
3,lcs_knn,partition3,all0,all1,1.003813
3,cka,partition3,all0,all1,0.374498
3,unbiased_cka,partition3,all0,all1,0.370221
3,cknna,partition3,all0,all1,0.638206
3,svcca,partition3,all0,all1,0.193379
3,edit_distance_knn,partition3,all0,all1,0.794982
