seed,frac_overlap,model_idx,acc
0,0.4,1,0.8533
0,0.4,2,0.8556
0,1.0,1,0.8487
0,1.0,2,0.8542
0,0.2,1,0.8524
0,0.2,2,0.851
0,0.8,1,0.8533
0,0.8,2,0.8526
0,0.6,1,0.8563
0,0.6,2,0.8565
0,0.0,1,0.8527
0,0.0,2,0.8491
1,0.8,1,0.853
1,0.8,2,0.8551
1,0.6,1,0.8512
1,0.6,2,0.8588
1,0.4,1,0.848
1,0.4,2,0.8544
1,1.0,1,0.855
1,1.0,2,0.8571
1,0.2,1,0.8538
1,0.2,2,0.8549
1,0.0,1,0.8574
1,0.0,2,0.8533
2,0.0,1,0.8596
2,0.0,2,0.8523
2,1.0,1,0.8568
2,1.0,2,0.8555
2,0.8,1,0.8612
2,0.8,2,0.8528
2,0.4,1,0.8577
2,0.4,2,0.8524
2,0.2,1,0.8536
2,0.2,2,0.8525
2,0.6,1,0.8579
2,0.6,2,0.8534
3,1.0,1,0.8518
3,1.0,2,0.8522
3,0.0,1,0.8537
3,0.0,2,0.8524
3,0.6,1,0.8539
3,0.6,2,0.8555
3,0.2,1,0.8569
3,0.2,2,0.8535
3,0.8,1,0.8579
3,0.8,2,0.8562
3,0.4,1,0.8513
3,0.4,2,0.8529
