seed,frac_overlap,model_idx,acc
0,0.0,1,0.8288
0,0.0,2,0.8281
0,0.2,1,0.8275
0,0.2,2,0.8273
0,0.6,1,0.8274
0,0.6,2,0.8238
0,0.4,1,0.8222
0,0.4,2,0.826
0,1.0,1,0.8268
0,1.0,2,0.8291
0,0.8,1,0.8238
0,0.8,2,0.8275
1,0.0,1,0.8294
1,0.0,2,0.8301
1,0.2,1,0.8315
1,0.2,2,0.8282
1,0.6,1,0.8289
1,0.6,2,0.8286
1,0.4,1,0.8288
1,0.4,2,0.8273
1,1.0,1,0.8238
1,1.0,2,0.8296
1,0.8,1,0.8282
1,0.8,2,0.8285
2,1.0,1,0.829
2,1.0,2,0.8265
2,0.0,1,0.8281
2,0.0,2,0.8269
2,0.6,1,0.8265
2,0.6,2,0.8322
2,0.8,1,0.8288
2,0.8,2,0.8278
2,0.4,1,0.8241
2,0.4,2,0.8247
2,0.2,1,0.8283
2,0.2,2,0.8292
3,0.2,1,0.8255
3,0.2,2,0.8292
3,0.0,1,0.8286
3,0.0,2,0.8283
3,0.4,1,0.8279
3,0.4,2,0.8289
3,1.0,1,0.8293
3,1.0,2,0.8267
3,0.6,1,0.8265
3,0.6,2,0.8298
3,0.8,1,0.8295
3,0.8,2,0.8282
