seed,frac_overlap,model_idx,acc
0,0.4,1,0.9028
0,0.4,2,0.9036
0,0.0,1,0.9026
0,0.0,2,0.9005
0,0.2,1,0.8994
0,0.2,2,0.9036
0,1.0,1,0.9017
0,1.0,2,0.903
0,0.6,1,0.9001
0,0.6,2,0.9037
0,0.8,1,0.9022
0,0.8,2,0.9011
1,0.4,1,0.9018
1,0.4,2,0.8992
1,0.2,1,0.8981
1,0.2,2,0.9028
1,0.0,1,0.8983
1,0.0,2,0.9029
1,1.0,1,0.8947
1,1.0,2,0.899
1,0.6,1,0.8998
1,0.6,2,0.8956
1,0.8,1,0.8976
1,0.8,2,0.899
2,0.4,1,0.9012
2,0.4,2,0.9048
2,0.0,1,0.902
2,0.0,2,0.9023
2,0.8,1,0.8985
2,0.8,2,0.9006
2,0.2,1,0.8993
2,0.2,2,0.9027
2,1.0,1,0.8992
2,1.0,2,0.9022
2,0.6,1,0.9022
2,0.6,2,0.9045
3,0.4,1,0.9001
3,0.4,2,0.8977
3,0.0,1,0.9026
3,0.0,2,0.901
3,1.0,1,0.9001
3,1.0,2,0.9024
3,0.2,1,0.9026
3,0.2,2,0.9014
3,0.6,1,0.9018
3,0.6,2,0.9032
3,0.8,1,0.9001
3,0.8,2,0.8989
