seed,frac_overlap,model_idx,acc
0,0.2,1,0.8484
0,0.2,2,0.846
0,1.0,1,0.8512
0,1.0,2,0.8457
0,0.0,1,0.8484
0,0.0,2,0.8486
0,0.4,1,0.8448
0,0.4,2,0.8464
0,0.8,1,0.8475
0,0.8,2,0.8471
0,0.6,1,0.8474
0,0.6,2,0.8412
1,0.4,1,0.8463
1,0.4,2,0.8478
1,0.8,1,0.8514
1,0.8,2,0.8468
1,0.6,1,0.851
1,0.6,2,0.8486
1,1.0,1,0.8513
1,1.0,2,0.846
1,0.0,1,0.8485
1,0.0,2,0.8464
1,0.2,1,0.8485
1,0.2,2,0.847
2,0.4,1,0.8461
2,0.4,2,0.8475
2,0.0,1,0.8485
2,0.0,2,0.8454
2,0.8,1,0.8489
2,0.8,2,0.8479
2,0.6,1,0.8436
2,0.6,2,0.8449
2,1.0,1,0.846
2,1.0,2,0.8444
2,0.2,1,0.8486
2,0.2,2,0.8484
3,0.4,1,0.8482
3,0.4,2,0.8501
3,0.0,1,0.8493
3,0.0,2,0.8473
3,1.0,1,0.8496
3,1.0,2,0.8456
3,0.6,1,0.8459
3,0.6,2,0.8473
3,0.2,1,0.8447
3,0.2,2,0.8428
3,0.8,1,0.8467
3,0.8,2,0.8466
