seed,frac_overlap,model_idx,acc
0,1.0,1,0.9034
0,1.0,2,0.9047
0,0.0,1,0.9053
0,0.0,2,0.9059
0,0.6,1,0.901
0,0.6,2,0.9039
0,0.2,1,0.9017
0,0.2,2,0.903
0,0.8,1,0.9043
0,0.8,2,0.9056
0,0.4,1,0.9054
0,0.4,2,0.9055
1,1.0,1,0.9004
1,1.0,2,0.9038
1,0.8,1,0.8994
1,0.8,2,0.9015
1,0.0,1,0.9004
1,0.0,2,0.9051
1,0.4,1,0.8963
1,0.4,2,0.9006
1,0.2,1,0.9047
1,0.2,2,0.9051
1,0.6,1,0.9003
1,0.6,2,0.9019
2,0.8,1,0.9006
2,0.8,2,0.9042
2,1.0,1,0.9025
2,1.0,2,0.9027
2,0.0,1,0.9043
2,0.0,2,0.9052
2,0.2,1,0.897
2,0.2,2,0.9018
2,0.6,1,0.9053
2,0.6,2,0.9036
2,0.4,1,0.9035
2,0.4,2,0.9055
3,1.0,1,0.9033
3,1.0,2,0.9017
3,0.0,1,0.8999
3,0.0,2,0.8987
3,0.6,1,0.9027
3,0.6,2,0.9024
3,0.2,1,0.9026
3,0.2,2,0.9
3,0.4,1,0.8986
3,0.4,2,0.9005
3,0.8,1,0.9007
3,0.8,2,0.901
