seed,frac_overlap,model_idx,acc
0,0.2,1,0.8651
0,0.2,2,0.8677
0,0.8,1,0.8652
0,0.8,2,0.8725
0,1.0,1,0.8655
0,1.0,2,0.8697
0,0.4,1,0.8687
0,0.4,2,0.865
0,0.6,1,0.859
0,0.6,2,0.8666
0,0.0,1,0.8697
0,0.0,2,0.8677
1,0.4,1,0.868
1,0.4,2,0.8683
1,0.8,1,0.8665
1,0.8,2,0.8691
1,1.0,1,0.8669
1,1.0,2,0.8709
1,0.2,1,0.8706
1,0.2,2,0.8712
1,0.6,1,0.8695
1,0.6,2,0.8679
1,0.0,1,0.8673
1,0.0,2,0.8727
2,0.4,1,0.8722
2,0.4,2,0.8711
2,1.0,1,0.8663
2,1.0,2,0.8697
2,0.0,1,0.8668
2,0.0,2,0.8682
2,0.6,1,0.8683
2,0.6,2,0.869
2,0.2,1,0.8704
2,0.2,2,0.87
2,0.8,1,0.8695
2,0.8,2,0.8684
3,0.0,1,0.867
3,0.0,2,0.8719
3,1.0,1,0.8687
3,1.0,2,0.8675
3,0.8,1,0.8676
3,0.8,2,0.8742
3,0.4,1,0.8675
3,0.4,2,0.8679
3,0.2,1,0.8696
3,0.2,2,0.8708
3,0.6,1,0.8773
3,0.6,2,0.8745
