seed,frac_overlap,model_idx,acc
0,0.8,1,0.8654
0,0.8,2,0.8668
0,0.0,1,0.8679
0,0.0,2,0.8696
0,0.2,1,0.8681
0,0.2,2,0.8754
0,1.0,1,0.8713
0,1.0,2,0.8694
0,0.4,1,0.8685
0,0.4,2,0.87
0,0.6,1,0.8701
0,0.6,2,0.8711
1,0.2,1,0.8668
1,0.2,2,0.8701
1,1.0,1,0.8664
1,1.0,2,0.8698
1,0.8,1,0.8665
1,0.8,2,0.8719
1,0.4,1,0.8685
1,0.4,2,0.8734
1,0.0,1,0.8678
1,0.0,2,0.8699
1,0.6,1,0.866
1,0.6,2,0.8713
2,0.6,1,0.8719
2,0.6,2,0.8697
2,1.0,1,0.8703
2,1.0,2,0.8702
2,0.2,1,0.868
2,0.2,2,0.8675
2,0.4,1,0.8695
2,0.4,2,0.8662
2,0.0,1,0.8716
2,0.0,2,0.869
2,0.8,1,0.872
2,0.8,2,0.8674
3,0.2,1,0.8695
3,0.2,2,0.8691
3,0.4,1,0.8673
3,0.4,2,0.8653
3,0.8,1,0.8684
3,0.8,2,0.8684
3,1.0,1,0.8669
3,1.0,2,0.87
3,0.0,1,0.8689
3,0.0,2,0.8663
3,0.6,1,0.8684
3,0.6,2,0.8674
