seed,frac_overlap,model_idx,acc
0,0.2,1,0.7976
0,0.2,2,0.8008
0,1.0,1,0.7998
0,1.0,2,0.7957
0,0.0,1,0.7955
0,0.0,2,0.7994
0,0.8,1,0.7951
0,0.8,2,0.7973
0,0.6,1,0.7967
0,0.6,2,0.8004
0,0.4,1,0.798
0,0.4,2,0.7961
1,0.6,1,0.7969
1,0.6,2,0.795
1,0.4,1,0.8041
1,0.4,2,0.7972
1,1.0,1,0.802
1,1.0,2,0.7973
1,0.8,1,0.7999
1,0.8,2,0.797
1,0.2,1,0.8015
1,0.2,2,0.7982
1,0.0,1,0.8027
1,0.0,2,0.7953
2,0.8,1,0.7994
2,0.8,2,0.7948
2,0.2,1,0.7986
2,0.2,2,0.7956
2,0.4,1,0.7971
2,0.4,2,0.7967
2,1.0,1,0.7963
2,1.0,2,0.8004
2,0.6,1,0.7989
2,0.6,2,0.7955
2,0.0,1,0.7978
2,0.0,2,0.7977
3,1.0,1,0.8017
3,1.0,2,0.8003
3,0.8,1,0.7948
3,0.8,2,0.8009
3,0.2,1,0.7967
3,0.2,2,0.7964
3,0.4,1,0.7995
3,0.4,2,0.7972
3,0.0,1,0.7991
3,0.0,2,0.794
3,0.6,1,0.7983
3,0.6,2,0.7976
