seed,frac_overlap,model_idx,acc
0,0.2,1,0.8433
0,0.2,2,0.8372
0,0.8,1,0.8421
0,0.8,2,0.838
0,1.0,1,0.842
0,1.0,2,0.8416
0,0.4,1,0.8403
0,0.4,2,0.8389
0,0.0,1,0.8402
0,0.0,2,0.8421
0,0.6,1,0.8403
0,0.6,2,0.8412
1,1.0,1,0.8387
1,1.0,2,0.8455
1,0.0,1,0.8409
1,0.0,2,0.8517
1,0.2,1,0.8382
1,0.2,2,0.8515
1,0.4,1,0.8388
1,0.4,2,0.8474
1,0.8,1,0.84
1,0.8,2,0.846
1,0.6,1,0.8366
1,0.6,2,0.8467
2,0.4,1,0.8415
2,0.4,2,0.8389
2,0.6,1,0.8408
2,0.6,2,0.8435
2,0.8,1,0.8429
2,0.8,2,0.8396
2,0.2,1,0.8379
2,0.2,2,0.8409
2,1.0,1,0.8386
2,1.0,2,0.845
2,0.0,1,0.8439
2,0.0,2,0.8396
3,0.6,1,0.8451
3,0.6,2,0.8403
3,0.4,1,0.8438
3,0.4,2,0.8413
3,1.0,1,0.8457
3,1.0,2,0.8401
3,0.8,1,0.8431
3,0.8,2,0.8425
3,0.2,1,0.8456
3,0.2,2,0.845
3,0.0,1,0.8455
3,0.0,2,0.8424
