seed,frac_overlap,model_idx,acc
0,0.8,1,0.7654
0,0.8,2,0.77
0,0.4,1,0.7676
0,0.4,2,0.7714
0,0.2,1,0.7667
0,0.2,2,0.7694
0,0.0,1,0.7625
0,0.0,2,0.7702
0,1.0,1,0.7672
0,1.0,2,0.7713
0,0.6,1,0.7688
0,0.6,2,0.7688
1,0.4,1,0.7715
1,0.4,2,0.7707
1,0.2,1,0.7738
1,0.2,2,0.7671
1,0.0,1,0.7747
1,0.0,2,0.7685
1,1.0,1,0.7705
1,1.0,2,0.7732
1,0.6,1,0.7727
1,0.6,2,0.7747
1,0.8,1,0.7733
1,0.8,2,0.7696
2,0.2,1,0.7713
2,0.2,2,0.772
2,1.0,1,0.7663
2,1.0,2,0.7699
2,0.0,1,0.7699
2,0.0,2,0.7688
2,0.6,1,0.7712
2,0.6,2,0.7709
2,0.8,1,0.7719
2,0.8,2,0.7697
2,0.4,1,0.7745
2,0.4,2,0.7737
3,0.0,1,0.7705
3,0.0,2,0.7698
3,0.8,1,0.7705
3,0.8,2,0.7679
3,0.2,1,0.7703
3,0.2,2,0.7683
3,0.6,1,0.7708
3,0.6,2,0.7733
3,1.0,1,0.7717
3,1.0,2,0.7708
3,0.4,1,0.7705
3,0.4,2,0.7735
