seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.4,0.783900,0.711600,0.716200
0,mutual_knn,0.4,0.445100,0.261230,0.263470
0,lcs_knn,0.4,0.694100,0.431800,0.452500
0,cka,0.4,0.918311,0.795978,0.934117
0,unbiased_cka,0.4,0.917163,0.794003,0.933784
0,cknna,0.4,0.405442,0.269634,0.245128
0,svcca,0.4,0.681109,0.737902,0.827335
0,edit_distance_knn,0.4,0.773890,0.762720,0.762180
0,cycle_knn,1.0,0.814300,0.728800,0.746200
0,mutual_knn,1.0,0.484070,0.277520,0.292140
0,lcs_knn,1.0,0.732300,0.461000,0.493200
0,cka,1.0,0.929897,0.813906,0.941101
0,unbiased_cka,1.0,0.928870,0.812061,0.940782
0,cknna,1.0,0.445743,0.283511,0.271403
0,svcca,1.0,0.675439,0.755325,0.838713
0,edit_distance_knn,1.0,0.776500,0.763660,0.763620
0,cycle_knn,0.2,0.785900,0.689500,0.705800
0,mutual_knn,0.2,0.435240,0.246380,0.252220
0,lcs_knn,0.2,0.682700,0.411100,0.431400
0,cka,0.2,0.914870,0.781880,0.929653
0,unbiased_cka,0.2,0.913696,0.779792,0.929303
0,cknna,0.2,0.397846,0.255307,0.232449
0,svcca,0.2,0.691006,0.773785,0.839402
0,edit_distance_knn,0.2,0.773550,0.761640,0.760510
0,cycle_knn,0.8,0.796900,0.737900,0.735800
0,mutual_knn,0.8,0.464900,0.286030,0.281200
0,lcs_knn,0.8,0.716800,0.476700,0.478000
0,cka,0.8,0.924990,0.829559,0.940187
0,unbiased_cka,0.8,0.923918,0.827903,0.939872
0,cknna,0.8,0.427481,0.290415,0.263733
0,svcca,0.8,0.727943,0.748720,0.849507
0,edit_distance_knn,0.8,0.775220,0.763530,0.762910
0,cycle_knn,0.6,0.798600,0.718000,0.722000
0,mutual_knn,0.6,0.456570,0.268390,0.266920
0,lcs_knn,0.6,0.704800,0.439700,0.451900
0,cka,0.6,0.923044,0.804979,0.936347
0,unbiased_cka,0.6,0.921939,0.803053,0.936015
0,cknna,0.6,0.415830,0.275508,0.248708
0,svcca,0.6,0.683374,0.754485,0.847162
0,edit_distance_knn,0.6,0.774610,0.762140,0.761400
0,cycle_knn,0.0,0.774400,0.688200,0.699600
0,mutual_knn,0.0,0.423510,0.252580,0.247720
0,lcs_knn,0.0,0.661900,0.423900,0.424700
0,cka,0.0,0.907276,0.790969,0.925494
0,unbiased_cka,0.0,0.906006,0.789055,0.925124
0,cknna,0.0,0.388449,0.257830,0.231345
0,svcca,0.0,0.669754,0.735190,0.843346
0,edit_distance_knn,0.0,0.772210,0.762250,0.760620
1,cycle_knn,0.8,0.809400,0.684800,0.746600
1,mutual_knn,0.8,0.471970,0.257690,0.282900
1,lcs_knn,0.8,0.726000,0.430300,0.474600
1,cka,0.8,0.926167,0.756022,0.940269
1,unbiased_cka,0.8,0.925107,0.754000,0.939947
1,cknna,0.8,0.437760,0.271005,0.261544
1,svcca,0.8,0.698018,0.738097,0.821184
1,edit_distance_knn,0.8,0.776030,0.762460,0.763120
1,cycle_knn,0.6,0.786100,0.740400,0.718800
1,mutual_knn,0.6,0.453800,0.281100,0.270310
1,lcs_knn,0.6,0.702000,0.465700,0.460500
1,cka,0.6,0.919873,0.809280,0.935011
1,unbiased_cka,0.6,0.918740,0.807332,0.934666
1,cknna,0.6,0.417282,0.286860,0.250847
1,svcca,0.6,0.662295,0.742256,0.858371
1,edit_distance_knn,0.6,0.774460,0.763040,0.762440
1,cycle_knn,0.4,0.795900,0.713000,0.731600
1,mutual_knn,0.4,0.442200,0.263920,0.264310
1,lcs_knn,0.4,0.691200,0.451800,0.450000
1,cka,0.4,0.915273,0.778643,0.932303
1,unbiased_cka,0.4,0.914097,0.776645,0.931949
1,cknna,0.4,0.405770,0.272330,0.246911
1,svcca,0.4,0.711292,0.747124,0.812491
1,edit_distance_knn,0.4,0.773740,0.763330,0.761880
1,cycle_knn,1.0,0.817200,0.774400,0.754700
1,mutual_knn,1.0,0.483060,0.316010,0.298100
1,lcs_knn,1.0,0.730900,0.513300,0.499100
1,cka,1.0,0.930924,0.836955,0.941240
1,unbiased_cka,1.0,0.929916,0.835256,0.940912
1,cknna,1.0,0.446236,0.322004,0.280984
1,svcca,1.0,0.674013,0.734216,0.851277
1,edit_distance_knn,1.0,0.776590,0.765400,0.763930
1,cycle_knn,0.2,0.787100,0.696800,0.711200
1,mutual_knn,0.2,0.433820,0.250760,0.244730
1,lcs_knn,0.2,0.663600,0.417300,0.427100
1,cka,0.2,0.910721,0.785994,0.927030
1,unbiased_cka,0.2,0.909505,0.783977,0.926667
1,cknna,0.2,0.398438,0.255143,0.229058
1,svcca,0.2,0.682869,0.721229,0.839241
1,edit_distance_knn,0.2,0.772280,0.761540,0.760650
1,cycle_knn,0.0,0.784500,0.688800,0.703300
1,mutual_knn,0.0,0.429690,0.246970,0.250610
1,lcs_knn,0.0,0.672700,0.413200,0.430500
1,cka,0.0,0.909704,0.779172,0.927574
1,unbiased_cka,0.0,0.908482,0.777212,0.927223
1,cknna,0.0,0.392410,0.253777,0.234107
1,svcca,0.0,0.678148,0.711841,0.844718
1,edit_distance_knn,0.0,0.772830,0.761420,0.760800
