seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.8,0.723400,0.815700,0.617000
0,mutual_knn,0.8,0.251920,0.526790,0.176440
0,lcs_knn,0.8,0.424400,0.795900,0.322500
0,cka,0.8,0.812979,0.909987,0.867245
0,unbiased_cka,0.8,0.811452,0.908065,0.866647
0,cknna,0.8,0.244462,0.489726,0.163180
0,svcca,0.8,0.732915,0.615523,0.753714
0,edit_distance_knn,0.8,0.760560,0.781190,0.757500
0,cycle_knn,1.0,0.702400,0.815800,0.608100
0,mutual_knn,1.0,0.246310,0.536120,0.173990
0,lcs_knn,1.0,0.420200,0.814600,0.313500
0,cka,1.0,0.801928,0.915000,0.842636
0,unbiased_cka,1.0,0.800306,0.913129,0.841870
0,cknna,1.0,0.240820,0.498717,0.167022
0,svcca,1.0,0.684898,0.633439,0.766357
0,edit_distance_knn,1.0,0.760930,0.782370,0.757050
0,cycle_knn,0.4,0.691400,0.805600,0.595400
0,mutual_knn,0.4,0.229170,0.502360,0.155640
0,lcs_knn,0.4,0.394400,0.759000,0.285300
0,cka,0.4,0.786918,0.897093,0.838538
0,unbiased_cka,0.4,0.785168,0.894935,0.837823
0,cknna,0.4,0.224128,0.465009,0.142263
0,svcca,0.4,0.700499,0.631040,0.755012
0,edit_distance_knn,0.4,0.759980,0.779350,0.756380
0,cycle_knn,0.0,0.668500,0.789000,0.579600
0,mutual_knn,0.0,0.210420,0.485650,0.150990
0,lcs_knn,0.0,0.369300,0.729600,0.292700
0,cka,0.0,0.765497,0.888155,0.829459
0,unbiased_cka,0.0,0.763618,0.885858,0.828681
0,cknna,0.0,0.208446,0.450623,0.142689
0,svcca,0.0,0.653773,0.631739,0.726429
0,edit_distance_knn,0.0,0.759160,0.777310,0.756860
0,cycle_knn,0.6,0.697700,0.809800,0.608100
0,mutual_knn,0.6,0.236480,0.514290,0.167100
0,lcs_knn,0.6,0.415400,0.776600,0.304200
0,cka,0.6,0.794778,0.903940,0.842312
0,unbiased_cka,0.6,0.793108,0.901917,0.841567
0,cknna,0.6,0.231287,0.474870,0.155915
0,svcca,0.6,0.669221,0.602884,0.771107
0,edit_distance_knn,0.6,0.761150,0.780190,0.756820
0,cycle_knn,0.2,0.660800,0.804900,0.556300
0,mutual_knn,0.2,0.207140,0.499420,0.142640
0,lcs_knn,0.2,0.369000,0.763600,0.263500
0,cka,0.2,0.753057,0.893300,0.793525
0,unbiased_cka,0.2,0.751214,0.891082,0.792606
0,cknna,0.2,0.203421,0.466893,0.137351
0,svcca,0.2,0.663280,0.661449,0.721112
0,edit_distance_knn,0.2,0.759330,0.779000,0.755820
1,cycle_knn,0.8,0.721000,0.808100,0.621300
1,mutual_knn,0.8,0.250600,0.526460,0.174780
1,lcs_knn,0.8,0.436100,0.797400,0.326500
1,cka,0.8,0.818250,0.907745,0.853477
1,unbiased_cka,0.8,0.816765,0.905766,0.852813
1,cknna,0.8,0.240681,0.487509,0.163157
1,svcca,0.8,0.726704,0.612474,0.777673
1,edit_distance_knn,0.8,0.761970,0.781320,0.757180
1,cycle_knn,0.2,0.682700,0.800500,0.597400
1,mutual_knn,0.2,0.226810,0.495930,0.155650
1,lcs_knn,0.2,0.395500,0.744500,0.296600
1,cka,0.2,0.791894,0.893057,0.829750
1,unbiased_cka,0.2,0.790289,0.890841,0.828936
1,cknna,0.2,0.222541,0.458923,0.146833
1,svcca,0.2,0.686412,0.616262,0.743816
1,edit_distance_knn,0.2,0.760550,0.777100,0.755860
1,cycle_knn,0.4,0.695300,0.804800,0.592600
1,mutual_knn,0.4,0.229760,0.506810,0.158220
1,lcs_knn,0.4,0.395400,0.782300,0.288500
1,cka,0.4,0.805094,0.898054,0.844284
1,unbiased_cka,0.4,0.803551,0.895920,0.843550
1,cknna,0.4,0.225924,0.469004,0.144621
1,svcca,0.4,0.728756,0.615212,0.741047
1,edit_distance_knn,0.4,0.760180,0.780180,0.756510
1,cycle_knn,0.6,0.715700,0.817300,0.607000
1,mutual_knn,0.6,0.245980,0.515580,0.168660
1,lcs_knn,0.6,0.418100,0.787400,0.307300
1,cka,0.6,0.801985,0.904203,0.851238
1,unbiased_cka,0.6,0.800369,0.902178,0.850535
1,cknna,0.6,0.239555,0.477243,0.156354
1,svcca,0.6,0.685640,0.618486,0.752325
1,edit_distance_knn,0.6,0.760890,0.780320,0.756610
1,cycle_knn,0.0,0.677000,0.794200,0.574500
1,mutual_knn,0.0,0.220980,0.489260,0.154530
1,lcs_knn,0.0,0.384100,0.739100,0.288400
1,cka,0.0,0.785989,0.888020,0.845241
1,unbiased_cka,0.0,0.784191,0.885694,0.844544
1,cknna,0.0,0.216947,0.451474,0.142825
1,svcca,0.0,0.697567,0.615677,0.765885
1,edit_distance_knn,0.0,0.759980,0.777190,0.756060
1,cycle_knn,1.0,0.735700,0.824100,0.643400
1,mutual_knn,1.0,0.271170,0.542660,0.194520
1,lcs_knn,1.0,0.451300,0.839600,0.345300
1,cka,1.0,0.837201,0.917294,0.879560
1,unbiased_cka,1.0,0.835835,0.915464,0.878961
1,cknna,1.0,0.263750,0.506827,0.181225
1,svcca,1.0,0.736724,0.664862,0.791795
1,edit_distance_knn,1.0,0.762690,0.784450,0.757880
2,cycle_knn,0.6,0.699000,0.808500,0.603600
2,mutual_knn,0.6,0.236790,0.517810,0.167830
2,lcs_knn,0.6,0.406000,0.783400,0.302200
2,cka,0.6,0.805543,0.903475,0.852893
2,unbiased_cka,0.6,0.803989,0.901430,0.852156
2,cknna,0.6,0.232254,0.480139,0.157096
2,svcca,0.6,0.716449,0.585337,0.732129
2,edit_distance_knn,0.6,0.760410,0.780440,0.756280
2,cycle_knn,0.4,0.695000,0.798500,0.584400
2,mutual_knn,0.4,0.233180,0.507250,0.158460
2,lcs_knn,0.4,0.396600,0.765500,0.288800
2,cka,0.4,0.798913,0.899159,0.849110
2,unbiased_cka,0.4,0.797270,0.897039,0.848416
2,cknna,0.4,0.227301,0.465869,0.148798
2,svcca,0.4,0.695480,0.603235,0.759367
2,edit_distance_knn,0.4,0.760590,0.779450,0.756110
2,cycle_knn,0.0,0.683000,0.797400,0.573400
2,mutual_knn,0.0,0.222040,0.488490,0.152480
2,lcs_knn,0.0,0.378000,0.738400,0.289400
2,cka,0.0,0.784620,0.888476,0.831054
2,unbiased_cka,0.0,0.782900,0.886181,0.830238
2,cknna,0.0,0.216199,0.451016,0.143112
2,svcca,0.0,0.688727,0.613201,0.752803
2,edit_distance_knn,0.0,0.759280,0.777240,0.755680
2,cycle_knn,0.2,0.689000,0.797400,0.581200
2,mutual_knn,0.2,0.225170,0.497220,0.152830
2,lcs_knn,0.2,0.389100,0.754600,0.279700
2,cka,0.2,0.783511,0.893979,0.836613
2,unbiased_cka,0.2,0.781738,0.891761,0.835860
2,cknna,0.2,0.224569,0.462173,0.140434
2,svcca,0.2,0.702645,0.623279,0.770416
2,edit_distance_knn,0.2,0.759850,0.778260,0.755890
2,cycle_knn,0.8,0.719700,0.806100,0.622700
2,mutual_knn,0.8,0.248770,0.531200,0.176110
2,lcs_knn,0.8,0.426300,0.799200,0.316400
2,cka,0.8,0.813128,0.909911,0.866911
