seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.4,0.676300,0.743100,0.698100
0,mutual_knn,0.4,0.504980,0.438790,0.342940
0,lcs_knn,0.4,0.776100,0.698600,0.570500
0,cka,0.4,0.832879,0.728073,0.869911
0,unbiased_cka,0.4,0.830647,0.723092,0.868960
0,cknna,0.4,0.486212,0.487457,0.338140
0,svcca,0.4,0.577212,0.639946,0.769918
0,edit_distance_knn,0.4,0.780280,0.776790,0.768010
0,cycle_knn,0.0,0.683500,0.731800,0.687400
0,mutual_knn,0.0,0.486010,0.413120,0.324520
0,lcs_knn,0.0,0.755600,0.659600,0.539900
0,cka,0.0,0.824325,0.707782,0.868294
0,unbiased_cka,0.0,0.821996,0.702648,0.867376
0,cknna,0.0,0.470576,0.467393,0.324687
0,svcca,0.0,0.528818,0.658234,0.773064
0,edit_distance_knn,0.0,0.779090,0.774650,0.766220
0,cycle_knn,0.2,0.687000,0.743300,0.692900
0,mutual_knn,0.2,0.499330,0.428950,0.334380
0,lcs_knn,0.2,0.782800,0.669200,0.549300
0,cka,0.2,0.827801,0.715572,0.866512
0,unbiased_cka,0.2,0.825511,0.710479,0.865575
0,cknna,0.2,0.479533,0.484785,0.335245
0,svcca,0.2,0.531049,0.619902,0.791137
0,edit_distance_knn,0.2,0.780180,0.775000,0.766800
0,cycle_knn,1.0,0.687500,0.749400,0.710500
0,mutual_knn,1.0,0.538530,0.460100,0.360320
0,lcs_knn,1.0,0.826100,0.727500,0.581700
0,cka,1.0,0.845305,0.741282,0.886185
0,unbiased_cka,1.0,0.843206,0.736563,0.885389
0,cknna,1.0,0.520831,0.517997,0.358785
0,svcca,1.0,0.556393,0.636905,0.755087
0,edit_distance_knn,1.0,0.783320,0.778680,0.768890
0,cycle_knn,0.6,0.692500,0.742800,0.703900
0,mutual_knn,0.6,0.514120,0.446760,0.341560
0,lcs_knn,0.6,0.795800,0.706200,0.560200
0,cka,0.6,0.835449,0.734702,0.875454
0,unbiased_cka,0.6,0.833250,0.729979,0.874565
0,cknna,0.6,0.495934,0.500734,0.338006
0,svcca,0.6,0.555535,0.645239,0.733070
0,edit_distance_knn,0.6,0.782130,0.777150,0.767730
0,cycle_knn,0.8,0.692400,0.742900,0.712300
0,mutual_knn,0.8,0.526340,0.447590,0.351090
0,lcs_knn,0.8,0.815800,0.694300,0.584100
0,cka,0.8,0.839440,0.736353,0.879270
0,unbiased_cka,0.8,0.837287,0.731676,0.878405
0,cknna,0.8,0.508258,0.501294,0.351863
0,svcca,0.8,0.548644,0.660083,0.761989
0,edit_distance_knn,0.8,0.782750,0.776290,0.768750
1,cycle_knn,0.4,0.688700,0.753200,0.699600
1,mutual_knn,0.4,0.503320,0.436510,0.331820
1,lcs_knn,0.4,0.774700,0.703200,0.557400
1,cka,0.4,0.837364,0.730671,0.863230
1,unbiased_cka,0.4,0.835146,0.725767,0.862231
1,cknna,0.4,0.477289,0.491494,0.328651
1,svcca,0.4,0.534575,0.642312,0.725744
1,edit_distance_knn,0.4,0.779770,0.777330,0.767380
1,cycle_knn,0.2,0.680700,0.749900,0.686900
1,mutual_knn,0.2,0.495360,0.434970,0.326970
1,lcs_knn,0.2,0.764300,0.676300,0.540900
1,cka,0.2,0.832667,0.721873,0.863870
1,unbiased_cka,0.2,0.830389,0.716612,0.862878
