seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.2,0.725500,0.654800,0.662600
0,mutual_knn,0.2,0.366630,0.543140,0.276120
0,lcs_knn,0.2,0.604000,0.814200,0.473700
0,cka,0.2,0.710447,0.720888,0.799008
0,unbiased_cka,0.2,0.705915,0.714884,0.797240
0,cknna,0.2,0.406690,0.541086,0.280293
0,svcca,0.2,0.632644,0.480273,0.745965
0,edit_distance_knn,0.2,0.770530,0.782940,0.763680
0,cycle_knn,1.0,0.755000,0.666300,0.671100
0,mutual_knn,1.0,0.405810,0.580900,0.318770
0,lcs_knn,1.0,0.651200,0.871800,0.533400
0,cka,1.0,0.735660,0.751089,0.832464
0,unbiased_cka,1.0,0.731488,0.745712,0.831025
0,cknna,1.0,0.443268,0.580572,0.320175
0,svcca,1.0,0.639024,0.493861,0.792249
0,edit_distance_knn,1.0,0.773100,0.786930,0.765620
0,cycle_knn,0.0,0.732300,0.661700,0.657500
0,mutual_knn,0.0,0.363310,0.537050,0.267390
0,lcs_knn,0.0,0.589500,0.807900,0.460700
0,cka,0.0,0.705142,0.717707,0.792874
0,unbiased_cka,0.0,0.700556,0.711625,0.791090
0,cknna,0.0,0.396570,0.535853,0.270311
0,svcca,0.0,0.626214,0.469710,0.752702
0,edit_distance_knn,0.0,0.769970,0.782180,0.762860
0,cycle_knn,0.4,0.736100,0.662400,0.664900
0,mutual_knn,0.4,0.376390,0.552620,0.289300
0,lcs_knn,0.4,0.613900,0.841600,0.485300
0,cka,0.4,0.718139,0.726897,0.806072
0,unbiased_cka,0.4,0.713804,0.721005,0.804379
0,cknna,0.4,0.413601,0.553487,0.291806
0,svcca,0.4,0.637138,0.487864,0.773627
0,edit_distance_knn,0.4,0.771480,0.784930,0.764000
0,cycle_knn,0.8,0.747600,0.664500,0.673700
0,mutual_knn,0.8,0.395220,0.574790,0.297950
0,lcs_knn,0.8,0.643300,0.864100,0.516200
0,cka,0.8,0.732184,0.742902,0.814313
0,unbiased_cka,0.8,0.727922,0.737297,0.812631
0,cknna,0.8,0.433809,0.577547,0.302407
0,svcca,0.8,0.624923,0.471074,0.739728
0,edit_distance_knn,0.8,0.773870,0.786500,0.765490
0,cycle_knn,0.6,0.735800,0.665800,0.665700
0,mutual_knn,0.6,0.387590,0.555900,0.296290
0,lcs_knn,0.6,0.618400,0.842100,0.507800
0,cka,0.6,0.724663,0.734398,0.810011
0,unbiased_cka,0.6,0.720337,0.728645,0.808376
0,cknna,0.6,0.424497,0.552279,0.300093
0,svcca,0.6,0.608138,0.440837,0.768980
0,edit_distance_knn,0.6,0.771790,0.784400,0.765010
1,cycle_knn,0.4,0.730600,0.664200,0.658700
1,mutual_knn,0.4,0.377630,0.552080,0.283420
1,lcs_knn,0.4,0.618300,0.823800,0.487800
1,cka,0.4,0.721385,0.725158,0.806782
1,unbiased_cka,0.4,0.717351,0.719221,0.805147
1,cknna,0.4,0.411800,0.550369,0.279999
1,svcca,0.4,0.659336,0.447378,0.791184
1,edit_distance_knn,0.4,0.771250,0.783960,0.763980
1,cycle_knn,0.8,0.738000,0.666800,0.666800
1,mutual_knn,0.8,0.389310,0.568820,0.299950
1,lcs_knn,0.8,0.628200,0.864100,0.505700
1,cka,0.8,0.726019,0.741076,0.805225
1,unbiased_cka,0.8,0.721983,0.735505,0.803524
1,cknna,0.8,0.427293,0.567758,0.303577
1,svcca,0.8,0.603374,0.508235,0.762424
1,edit_distance_knn,0.8,0.772530,0.786590,0.764990
