seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,1.0,0.653500,0.554400,0.581600
0,mutual_knn,1.0,0.457380,0.333170,0.231980
0,lcs_knn,1.0,0.703800,0.526500,0.399100
0,cka,1.0,0.844442,0.697347,0.836639
0,unbiased_cka,1.0,0.842837,0.693957,0.835947
0,cknna,1.0,0.434412,0.389373,0.228230
0,svcca,1.0,0.416284,0.621570,0.736137
0,edit_distance_knn,1.0,0.775760,0.767400,0.761040
0,cycle_knn,0.0,0.641000,0.527700,0.538400
0,mutual_knn,0.0,0.410110,0.278740,0.192730
0,lcs_knn,0.0,0.643800,0.441600,0.337100
0,cka,0.0,0.817758,0.653701,0.798354
0,unbiased_cka,0.0,0.815895,0.650011,0.797510
0,cknna,0.0,0.385756,0.321350,0.191269
0,svcca,0.0,0.401594,0.600414,0.668372
0,edit_distance_knn,0.0,0.772180,0.763070,0.758850
0,cycle_knn,0.6,0.651600,0.547500,0.564800
0,mutual_knn,0.6,0.431860,0.305420,0.214640
0,lcs_knn,0.6,0.674900,0.484300,0.380700
0,cka,0.6,0.826216,0.674147,0.801823
0,unbiased_cka,0.6,0.824434,0.670706,0.800961
0,cknna,0.6,0.410192,0.351209,0.218431
0,svcca,0.6,0.443183,0.614298,0.724782
0,edit_distance_knn,0.6,0.773720,0.765360,0.760430
0,cycle_knn,0.2,0.639500,0.539500,0.538200
0,mutual_knn,0.2,0.415840,0.298670,0.199080
0,lcs_knn,0.2,0.671200,0.479500,0.351900
0,cka,0.2,0.823163,0.672209,0.802110
0,unbiased_cka,0.2,0.821348,0.668662,0.801271
0,cknna,0.2,0.396383,0.343918,0.201030
0,svcca,0.2,0.394505,0.600604,0.695549
0,edit_distance_knn,0.2,0.773450,0.765690,0.759310
0,cycle_knn,0.8,0.655300,0.562400,0.564600
0,mutual_knn,0.8,0.447350,0.322060,0.217830
0,lcs_knn,0.8,0.694400,0.507400,0.377500
0,cka,0.8,0.839915,0.688524,0.821386
0,unbiased_cka,0.8,0.838277,0.685216,0.820635
0,cknna,0.8,0.420012,0.373460,0.218493
0,svcca,0.8,0.428316,0.603590,0.707623
0,edit_distance_knn,0.8,0.775380,0.766790,0.760470
0,cycle_knn,0.4,0.646000,0.553200,0.568500
0,mutual_knn,0.4,0.429560,0.305320,0.211250
0,lcs_knn,0.4,0.671400,0.490400,0.364500
0,cka,0.4,0.831328,0.673539,0.800569
0,unbiased_cka,0.4,0.829597,0.669978,0.799667
0,cknna,0.4,0.404531,0.355785,0.212084
0,svcca,0.4,0.418280,0.570133,0.725448
0,edit_distance_knn,0.4,0.773450,0.765720,0.760050
1,cycle_knn,1.0,0.657500,0.563000,0.584300
1,mutual_knn,1.0,0.453410,0.329400,0.223160
1,lcs_knn,1.0,0.709600,0.533100,0.382100
1,cka,1.0,0.844998,0.701993,0.812237
1,unbiased_cka,1.0,0.843407,0.698896,0.811405
1,cknna,1.0,0.430005,0.379923,0.223364
1,svcca,1.0,0.412150,0.605020,0.727518
1,edit_distance_knn,1.0,0.775800,0.767860,0.760440
1,cycle_knn,0.8,0.647400,0.547000,0.567400
1,mutual_knn,0.8,0.435770,0.316220,0.217820
1,lcs_knn,0.8,0.677700,0.499200,0.389700
1,cka,0.8,0.832797,0.679915,0.812320
1,unbiased_cka,0.8,0.831077,0.676360,0.811476
1,cknna,0.8,0.412211,0.367834,0.218621
