seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.2,0.548800,0.603400,0.463500
0,mutual_knn,0.2,0.236980,0.461340,0.157860
0,lcs_knn,0.2,0.396500,0.703000,0.281800
0,cka,0.2,0.593230,0.683776,0.763529
0,unbiased_cka,0.2,0.587859,0.678385,0.762275
0,cknna,0.2,0.258315,0.437429,0.159564
0,svcca,0.2,0.556190,0.306487,0.711242
0,edit_distance_knn,0.2,0.761110,0.774920,0.756700
0,cycle_knn,0.8,0.572200,0.607000,0.484900
0,mutual_knn,0.8,0.259940,0.484340,0.172870
0,lcs_knn,0.8,0.441900,0.722200,0.313500
0,cka,0.8,0.635041,0.706849,0.770832
0,unbiased_cka,0.8,0.630424,0.701801,0.769519
0,cknna,0.8,0.284489,0.459028,0.175882
0,svcca,0.8,0.567548,0.340099,0.731837
0,edit_distance_knn,0.8,0.763380,0.775500,0.757630
0,cycle_knn,1.0,0.564000,0.612600,0.493000
0,mutual_knn,1.0,0.271210,0.498460,0.187870
0,lcs_knn,1.0,0.444000,0.735900,0.338800
0,cka,1.0,0.637901,0.712418,0.786545
0,unbiased_cka,1.0,0.633165,0.707478,0.785358
0,cknna,1.0,0.299218,0.480051,0.192279
0,svcca,1.0,0.552792,0.330108,0.758461
0,edit_distance_knn,1.0,0.763470,0.777020,0.758690
0,cycle_knn,0.4,0.565900,0.602500,0.476700
0,mutual_knn,0.4,0.244400,0.461910,0.162860
0,lcs_knn,0.4,0.402100,0.685400,0.290600
0,cka,0.4,0.620473,0.690400,0.774557
0,unbiased_cka,0.4,0.615651,0.685112,0.773373
0,cknna,0.4,0.262289,0.430839,0.164915
0,svcca,0.4,0.574723,0.341393,0.740118
0,edit_distance_knn,0.4,0.761340,0.773290,0.757000
0,cycle_knn,0.6,0.560200,0.599300,0.466300
0,mutual_knn,0.6,0.246550,0.478210,0.157520
0,lcs_knn,0.6,0.414000,0.713200,0.278600
0,cka,0.6,0.609489,0.696058,0.765120
0,unbiased_cka,0.6,0.604424,0.690856,0.763843
0,cknna,0.6,0.265064,0.456031,0.157812
0,svcca,0.6,0.571636,0.347037,0.749972
0,edit_distance_knn,0.6,0.762170,0.775830,0.756540
0,cycle_knn,0.0,0.551100,0.599000,0.457400
0,mutual_knn,0.0,0.232920,0.457270,0.153570
0,lcs_knn,0.0,0.394300,0.674000,0.280100
0,cka,0.0,0.594964,0.677177,0.765591
0,unbiased_cka,0.0,0.589749,0.671660,0.764331
0,cknna,0.0,0.252863,0.433960,0.154391
0,svcca,0.0,0.571393,0.310420,0.740235
0,edit_distance_knn,0.0,0.761300,0.772570,0.756670
1,cycle_knn,0.4,0.559100,0.600300,0.468900
1,mutual_knn,0.4,0.244860,0.462270,0.158700
1,lcs_knn,0.4,0.398400,0.701700,0.290400
1,cka,0.4,0.609203,0.689638,0.770998
1,unbiased_cka,0.4,0.604201,0.684336,0.769764
1,cknna,0.4,0.262852,0.440648,0.158078
1,svcca,0.4,0.564081,0.329328,0.737451
1,edit_distance_knn,0.4,0.762110,0.774900,0.757570
1,cycle_knn,0.8,0.571800,0.600500,0.491400
1,mutual_knn,0.8,0.259340,0.486480,0.175510
1,lcs_knn,0.8,0.431900,0.726500,0.317300
1,cka,0.8,0.631491,0.707471,0.784920
1,unbiased_cka,0.8,0.627008,0.702478,0.783762
1,cknna,0.8,0.287158,0.462791,0.179957
1,svcca,0.8,0.562512,0.337334,0.720119
1,edit_distance_knn,0.8,0.762640,0.776170,0.758230
1,cycle_knn,1.0,0.573800,0.611600,0.497200
1,mutual_knn,1.0,0.268780,0.502680,0.185030
