seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.8,0.702100,0.720800,0.708100
0,mutual_knn,0.8,0.484160,0.351670,0.289510
0,lcs_knn,0.8,0.745000,0.578100,0.493600
0,cka,0.8,0.754508,0.670509,0.812800
0,unbiased_cka,0.8,0.752052,0.666873,0.811757
0,cknna,0.8,0.463009,0.392527,0.290988
0,svcca,0.8,0.523177,0.636474,0.712653
0,edit_distance_knn,0.8,0.777420,0.768860,0.763330
0,cycle_knn,0.0,0.684600,0.702400,0.686300
0,mutual_knn,0.0,0.445410,0.328390,0.264210
0,lcs_knn,0.0,0.699700,0.531600,0.459100
0,cka,0.0,0.735170,0.647906,0.810391
0,unbiased_cka,0.0,0.732538,0.644110,0.809373
0,cknna,0.0,0.430505,0.370613,0.265005
0,svcca,0.0,0.520521,0.613228,0.723288
0,edit_distance_knn,0.0,0.774190,0.767120,0.762550
0,cycle_knn,0.2,0.694000,0.707600,0.684900
0,mutual_knn,0.2,0.453020,0.328540,0.267180
0,lcs_knn,0.2,0.704800,0.536500,0.468300
0,cka,0.2,0.738054,0.651732,0.816307
0,unbiased_cka,0.2,0.735440,0.647953,0.815340
0,cknna,0.2,0.434194,0.369854,0.267632
0,svcca,0.2,0.520594,0.578599,0.691372
0,edit_distance_knn,0.2,0.774770,0.766570,0.763590
0,cycle_knn,1.0,0.700000,0.719900,0.714800
0,mutual_knn,1.0,0.489650,0.360240,0.299440
0,lcs_knn,1.0,0.750300,0.580200,0.498400
0,cka,1.0,0.760952,0.683907,0.822620
0,unbiased_cka,1.0,0.758544,0.680479,0.821633
0,cknna,1.0,0.469673,0.404678,0.298831
0,svcca,1.0,0.539163,0.627152,0.715367
0,edit_distance_knn,1.0,0.777660,0.769380,0.764330
0,cycle_knn,0.4,0.691400,0.715300,0.692400
0,mutual_knn,0.4,0.461470,0.340410,0.269160
0,lcs_knn,0.4,0.715900,0.557200,0.446800
0,cka,0.4,0.741996,0.657990,0.808318
0,unbiased_cka,0.4,0.739429,0.654281,0.807262
0,cknna,0.4,0.438917,0.385688,0.265919
0,svcca,0.4,0.534086,0.625206,0.681202
0,edit_distance_knn,0.4,0.775380,0.768480,0.761910
0,cycle_knn,0.6,0.693800,0.724200,0.706200
0,mutual_knn,0.6,0.468140,0.345470,0.284070
0,lcs_knn,0.6,0.730800,0.558300,0.484500
0,cka,0.6,0.749003,0.665322,0.815870
0,unbiased_cka,0.6,0.746501,0.661705,0.814842
0,cknna,0.6,0.449697,0.386594,0.284268
0,svcca,0.6,0.557398,0.612908,0.699336
0,edit_distance_knn,0.6,0.776320,0.768430,0.763090
1,cycle_knn,0.2,0.693000,0.715700,0.696300
1,mutual_knn,0.2,0.449270,0.337120,0.276310
1,lcs_knn,0.2,0.697400,0.550600,0.477000
1,cka,0.2,0.740610,0.658197,0.807878
1,unbiased_cka,0.2,0.738029,0.654437,0.806785
1,cknna,0.2,0.430354,0.381034,0.271874
1,svcca,0.2,0.512265,0.579277,0.716373
1,edit_distance_knn,0.2,0.774140,0.767840,0.763200
1,cycle_knn,1.0,0.706800,0.739100,0.722000
1,mutual_knn,1.0,0.492240,0.378950,0.305570
1,lcs_knn,1.0,0.752300,0.600900,0.513400
1,cka,1.0,0.762314,0.691392,0.824406
1,unbiased_cka,1.0,0.759927,0.687935,0.823371
1,cknna,1.0,0.474535,0.424639,0.305387
1,svcca,1.0,0.535049,0.650507,0.725960
1,edit_distance_knn,1.0,0.777940,0.770240,0.764650
1,cycle_knn,0.8,0.696600,0.732800,0.727200
1,mutual_knn,0.8,0.479560,0.363380,0.297790
1,lcs_knn,0.8,0.738100,0.582600,0.512100
1,cka,0.8,0.755700,0.680959,0.819444
1,unbiased_cka,0.8,0.753255,0.677403,0.818407
1,cknna,0.8,0.458299,0.416255,0.302433
1,svcca,0.8,0.570958,0.605121,0.702325
1,edit_distance_knn,0.8,0.777000,0.769450,0.764940
1,cycle_knn,0.4,0.692500,0.724900,0.704900
1,mutual_knn,0.4,0.461320,0.357080,0.279120
1,lcs_knn,0.4,0.723700,0.580700,0.480100
1,cka,0.4,0.744387,0.666119,0.802942
1,unbiased_cka,0.4,0.741827,0.662384,0.801792
1,cknna,0.4,0.444590,0.399283,0.278272
1,svcca,0.4,0.569102,0.615664,0.704006
1,edit_distance_knn,0.4,0.776360,0.768910,0.763250
1,cycle_knn,0.0,0.694100,0.704700,0.698300
1,mutual_knn,0.0,0.445720,0.335220,0.266090
