seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.2,0.709400,0.687500,0.637200
0,mutual_knn,0.2,0.302070,0.493480,0.214660
0,lcs_knn,0.2,0.490300,0.732800,0.381700
0,cka,0.2,0.645217,0.627043,0.716711
0,unbiased_cka,0.2,0.641795,0.621934,0.714905
0,cknna,0.2,0.327595,0.497788,0.223703
0,svcca,0.2,0.588280,0.475099,0.683036
0,edit_distance_knn,0.2,0.764670,0.777130,0.759550
0,cycle_knn,1.0,0.736200,0.708400,0.669800
0,mutual_knn,1.0,0.341730,0.536830,0.251990
0,lcs_knn,1.0,0.563100,0.798400,0.441500
0,cka,1.0,0.678301,0.662627,0.753780
0,unbiased_cka,1.0,0.675202,0.657945,0.752240
0,cknna,1.0,0.366891,0.549261,0.257743
0,svcca,1.0,0.604093,0.463352,0.687354
0,edit_distance_knn,1.0,0.768520,0.781740,0.761020
0,cycle_knn,0.0,0.698100,0.679700,0.621800
0,mutual_knn,0.0,0.291260,0.481810,0.204600
0,lcs_knn,0.0,0.483000,0.739800,0.370200
0,cka,0.0,0.630829,0.619304,0.690315
0,unbiased_cka,0.0,0.627306,0.614079,0.688360
0,cknna,0.0,0.316293,0.487836,0.208981
0,svcca,0.0,0.605570,0.429970,0.696231
0,edit_distance_knn,0.0,0.764630,0.777190,0.759910
0,cycle_knn,0.8,0.729900,0.701300,0.669000
0,mutual_knn,0.8,0.332250,0.519000,0.243460
0,lcs_knn,0.8,0.555200,0.785700,0.435300
0,cka,0.8,0.673873,0.653679,0.745193
0,unbiased_cka,0.8,0.670751,0.648931,0.743570
0,cknna,0.8,0.359055,0.526906,0.249083
0,svcca,0.8,0.641024,0.450296,0.706711
0,edit_distance_knn,0.8,0.767490,0.780980,0.761150
0,cycle_knn,0.6,0.713700,0.696700,0.658200
0,mutual_knn,0.6,0.310370,0.508650,0.227320
0,lcs_knn,0.6,0.517500,0.761700,0.407800
0,cka,0.6,0.653667,0.642944,0.717760
0,unbiased_cka,0.6,0.650277,0.638021,0.715890
0,cknna,0.6,0.334547,0.509978,0.231308
0,svcca,0.6,0.633325,0.474856,0.687629
0,edit_distance_knn,0.6,0.765650,0.779240,0.760980
0,cycle_knn,0.4,0.710800,0.688100,0.644100
0,mutual_knn,0.4,0.305880,0.500370,0.221540
0,lcs_knn,0.4,0.503100,0.761000,0.394700
0,cka,0.4,0.646027,0.635796,0.724419
0,unbiased_cka,0.4,0.642585,0.630806,0.722716
0,cknna,0.4,0.335376,0.501455,0.224721
0,svcca,0.4,0.550581,0.431023,0.698013
0,edit_distance_knn,0.4,0.765530,0.778310,0.759530
1,cycle_knn,0.6,0.733300,0.703000,0.654200
1,mutual_knn,0.6,0.321540,0.509480,0.234200
1,lcs_knn,0.6,0.534600,0.761400,0.417800
1,cka,0.6,0.651793,0.646377,0.729208
1,unbiased_cka,0.6,0.648375,0.641462,0.727384
1,cknna,0.6,0.346498,0.512704,0.236160
1,svcca,0.6,0.582511,0.445174,0.702020
1,edit_distance_knn,0.6,0.766130,0.779370,0.761390
1,cycle_knn,0.4,0.705600,0.697000,0.643400
1,mutual_knn,0.4,0.305310,0.497000,0.224190
1,lcs_knn,0.4,0.501600,0.750800,0.392300
1,cka,0.4,0.645044,0.637181,0.724370
1,unbiased_cka,0.4,0.641622,0.632140,0.722517
1,cknna,0.4,0.332600,0.498425,0.224806
1,svcca,0.4,0.591921,0.441484,0.707049
1,edit_distance_knn,0.4,0.765580,0.778220,0.759940
1,cycle_knn,1.0,0.741900,0.705400,0.676400
1,mutual_knn,1.0,0.340080,0.535090,0.255810
1,lcs_knn,1.0,0.551200,0.811900,0.446000
1,cka,1.0,0.668493,0.664498,0.750093
1,unbiased_cka,1.0,0.665166,0.659826,0.748428
1,cknna,1.0,0.367962,0.540777,0.257132
1,svcca,1.0,0.588060,0.483586,0.717927
1,edit_distance_knn,1.0,0.767850,0.782880,0.762030
1,cycle_knn,0.8,0.724700,0.701900,0.672400
1,mutual_knn,0.8,0.330680,0.521460,0.249460
1,lcs_knn,0.8,0.525800,0.776000,0.434200
1,cka,0.8,0.664863,0.656273,0.745269
1,unbiased_cka,0.8,0.661475,0.651476,0.743547
1,cknna,0.8,0.361357,0.527613,0.254999
1,svcca,0.8,0.643298,0.426503,0.684477
1,edit_distance_knn,0.8,0.766960,0.780600,0.761860
1,cycle_knn,0.2,0.698000,0.686200,0.623000
1,mutual_knn,0.2,0.295500,0.492290,0.210540
1,lcs_knn,0.2,0.491900,0.741700,0.378200
1,cka,0.2,0.632867,0.629098,0.695002
1,unbiased_cka,0.2,0.629368,0.623943,0.692948
1,cknna,0.2,0.318794,0.493710,0.211392
1,svcca,0.2,0.546141,0.478897,0.711137
1,edit_distance_knn,0.2,0.765010,0.778310,0.759470
1,cycle_knn,0.0,0.690700,0.685200,0.608600
1,mutual_knn,0.0,0.285240,0.485840,0.201680
1,lcs_knn,0.0,0.480500,0.726700,0.363300
1,cka,0.0,0.612979,0.622997,0.708335
1,unbiased_cka,0.0,0.609192,0.617783,0.706433
1,cknna,0.0,0.308858,0.488041,0.203317
1,svcca,0.0,0.590694,0.426352,0.694280
1,edit_distance_knn,0.0,0.764270,0.776310,0.758970
2,cycle_knn,0.8,0.727700,0.695900,0.668200
2,mutual_knn,0.8,0.329560,0.519590,0.247120
2,lcs_knn,0.8,0.536300,0.783400,0.428200
2,cka,0.8,0.685862,0.652513,0.740227
2,unbiased_cka,0.8,0.682998,0.647673,0.738552
2,cknna,0.8,0.353755,0.521362,0.248604
2,svcca,0.8,0.585966,0.471514,0.703241
2,edit_distance_knn,0.8,0.767490,0.780620,0.761450
2,cycle_knn,0.2,0.704700,0.685600,0.640100
2,mutual_knn,0.2,0.302460,0.492630,0.220200
2,lcs_knn,0.2,0.495700,0.755400,0.392200
2,cka,0.2,0.647082,0.626953,0.712183
2,unbiased_cka,0.2,0.643791,0.621795,0.710269
2,cknna,0.2,0.325888,0.495990,0.225907
2,svcca,0.2,0.602100,0.443177,0.685299
2,edit_distance_knn,0.2,0.764750,0.777940,0.759770
2,cycle_knn,0.4,0.711400,0.687100,0.653400
2,mutual_knn,0.4,0.309570,0.501670,0.232270
2,lcs_knn,0.4,0.520600,0.769100,0.409200
2,cka,0.4,0.650425,0.636808,0.721164
2,unbiased_cka,0.4,0.646973,0.631772,0.719305
2,cknna,0.4,0.329939,0.508830,0.237825
2,svcca,0.4,0.588703,0.475337,0.665269
2,edit_distance_knn,0.4,0.765630,0.779880,0.760440
2,cycle_knn,1.0,0.737100,0.707100,0.682200
2,mutual_knn,1.0,0.345020,0.534770,0.255550
2,lcs_knn,1.0,0.573800,0.811100,0.437600
2,cka,1.0,0.687821,0.664931,0.740773
2,unbiased_cka,1.0,0.684814,0.660280,0.739043
2,cknna,1.0,0.375871,0.537789,0.257581
2,svcca,1.0,0.600893,0.442738,0.720618
2,edit_distance_knn,1.0,0.768300,0.782280,0.761570
2,cycle_knn,0.6,0.717600,0.694200,0.658200
2,mutual_knn,0.6,0.324460,0.510940,0.239710
2,lcs_knn,0.6,0.539100,0.768800,0.421800
2,cka,0.6,0.662356,0.645003,0.732558
2,unbiased_cka,0.6,0.659017,0.640041,0.730753
2,cknna,0.6,0.347741,0.513365,0.244702
2,svcca,0.6,0.631394,0.473444,0.724345
2,edit_distance_knn,0.6,0.766880,0.779680,0.760990
2,cycle_knn,0.0,0.711900,0.683100,0.629900
