seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.2,0.699800,0.657800,0.650700
0,mutual_knn,0.2,0.398040,0.264280,0.233620
0,lcs_knn,0.2,0.625300,0.451000,0.415800
0,cka,0.2,0.639364,0.602715,0.757234
0,unbiased_cka,0.2,0.636851,0.600053,0.756225
0,cknna,0.2,0.385550,0.290675,0.233107
0,svcca,0.2,0.513959,0.616416,0.657604
0,edit_distance_knn,0.2,0.769580,0.762450,0.760500
0,cycle_knn,0.8,0.709400,0.682300,0.675800
0,mutual_knn,0.8,0.424060,0.288170,0.251750
0,lcs_knn,0.8,0.665200,0.474700,0.437100
0,cka,0.8,0.648251,0.621637,0.772457
0,unbiased_cka,0.8,0.645785,0.619080,0.771504
0,cknna,0.8,0.412696,0.316571,0.252632
0,svcca,0.8,0.507092,0.625266,0.663712
0,edit_distance_knn,0.8,0.772150,0.763310,0.761070
0,cycle_knn,1.0,0.714700,0.685800,0.678100
0,mutual_knn,1.0,0.430040,0.291000,0.260320
0,lcs_knn,1.0,0.677500,0.481900,0.450900
0,cka,1.0,0.653710,0.626303,0.780442
0,unbiased_cka,1.0,0.651285,0.623778,0.779540
0,cknna,1.0,0.420431,0.325047,0.261166
0,svcca,1.0,0.539930,0.603409,0.663954
0,edit_distance_knn,1.0,0.772850,0.763590,0.761330
0,cycle_knn,0.4,0.698200,0.662100,0.661000
0,mutual_knn,0.4,0.407940,0.271790,0.243730
0,lcs_knn,0.4,0.653300,0.455400,0.433400
0,cka,0.4,0.643725,0.618028,0.762197
0,unbiased_cka,0.4,0.641239,0.615466,0.761200
0,cknna,0.4,0.393874,0.301916,0.244213
0,svcca,0.4,0.508229,0.626331,0.678318
0,edit_distance_knn,0.4,0.771480,0.762540,0.760830
0,cycle_knn,0.0,0.700300,0.661300,0.644600
0,mutual_knn,0.0,0.392270,0.265540,0.229630
0,lcs_knn,0.0,0.616500,0.451600,0.411400
0,cka,0.0,0.638239,0.601472,0.757182
0,unbiased_cka,0.0,0.635705,0.598796,0.756194
0,cknna,0.0,0.381763,0.294383,0.225104
0,svcca,0.0,0.535700,0.594410,0.661003
0,edit_distance_knn,0.0,0.769410,0.762400,0.760500
0,cycle_knn,0.6,0.705400,0.684000,0.667800
0,mutual_knn,0.6,0.416470,0.282140,0.245790
0,lcs_knn,0.6,0.654500,0.471700,0.436200
0,cka,0.6,0.648784,0.618010,0.766408
0,unbiased_cka,0.6,0.646317,0.615391,0.765442
0,cknna,0.6,0.408098,0.310080,0.246181
0,svcca,0.6,0.543001,0.591727,0.656894
0,edit_distance_knn,0.6,0.771820,0.763660,0.760800
1,cycle_knn,1.0,0.718800,0.708700,0.689800
1,mutual_knn,1.0,0.436860,0.307550,0.263760
1,lcs_knn,1.0,0.686300,0.498400,0.461600
1,cka,1.0,0.665181,0.651798,0.781553
1,unbiased_cka,1.0,0.662745,0.649432,0.780608
1,cknna,1.0,0.423907,0.340456,0.266282
1,svcca,1.0,0.506936,0.609873,0.677823
1,edit_distance_knn,1.0,0.773210,0.764960,0.762450
1,cycle_knn,0.0,0.701700,0.678300,0.664800
1,mutual_knn,0.0,0.398130,0.270740,0.231490
1,lcs_knn,0.0,0.632500,0.442800,0.417700
1,cka,0.0,0.638405,0.609844,0.759417
1,unbiased_cka,0.0,0.635764,0.607148,0.758368
1,cknna,0.0,0.386500,0.302476,0.231052
1,svcca,0.0,0.543002,0.593768,0.672023
1,edit_distance_knn,0.0,0.770400,0.761820,0.760370
1,cycle_knn,0.2,0.704100,0.674500,0.661700
1,mutual_knn,0.2,0.406220,0.268040,0.238680
1,lcs_knn,0.2,0.641300,0.449500,0.419700
1,cka,0.2,0.644803,0.613797,0.763313
1,unbiased_cka,0.2,0.642222,0.611188,0.762298
1,cknna,0.2,0.388486,0.297861,0.240150
1,svcca,0.2,0.529654,0.594532,0.646533
1,edit_distance_knn,0.2,0.771550,0.762500,0.760690
1,cycle_knn,0.4,0.706100,0.679600,0.673500
1,mutual_knn,0.4,0.410730,0.277010,0.244800
1,lcs_knn,0.4,0.646400,0.464400,0.428100
1,cka,0.4,0.648980,0.617474,0.771240
1,unbiased_cka,0.4,0.646425,0.614877,0.770255
1,cknna,0.4,0.398780,0.307797,0.243912
1,svcca,0.4,0.537169,0.613967,0.675943
1,edit_distance_knn,0.4,0.771270,0.762680,0.761100
1,cycle_knn,0.8,0.715200,0.694000,0.675800
1,mutual_knn,0.8,0.423650,0.292730,0.245470
1,lcs_knn,0.8,0.665000,0.479300,0.431400
1,cka,0.8,0.652765,0.633707,0.771614
1,unbiased_cka,0.8,0.650226,0.631174,0.770611
1,cknna,0.8,0.415421,0.327151,0.244805
1,svcca,0.8,0.515920,0.599648,0.685898
1,edit_distance_knn,0.8,0.771580,0.763810,0.760800
1,cycle_knn,0.6,0.711400,0.688000,0.684800
1,mutual_knn,0.6,0.421200,0.287680,0.250060
1,lcs_knn,0.6,0.656700,0.478500,0.441000
1,cka,0.6,0.651028,0.629076,0.774328
1,unbiased_cka,0.6,0.648500,0.626541,0.773362
1,cknna,0.6,0.407201,0.318581,0.252241
1,svcca,0.6,0.498915,0.591365,0.663668
1,edit_distance_knn,0.6,0.771850,0.763280,0.761230
2,cycle_knn,0.4,0.706500,0.663600,0.666300
2,mutual_knn,0.4,0.418430,0.268120,0.236290
2,lcs_knn,0.4,0.661400,0.444100,0.420200
2,cka,0.4,0.656661,0.608570,0.783472
2,unbiased_cka,0.4,0.654218,0.605933,0.782611
2,cknna,0.4,0.408895,0.299479,0.241738
2,svcca,0.4,0.534680,0.644545,0.691703
2,edit_distance_knn,0.4,0.771900,0.762250,0.760350
2,cycle_knn,0.6,0.709200,0.682000,0.673200
2,mutual_knn,0.6,0.424180,0.277650,0.244920
2,lcs_knn,0.6,0.653800,0.459300,0.435300
2,cka,0.6,0.662299,0.620517,0.793848
2,unbiased_cka,0.6,0.659905,0.618006,0.793035
2,cknna,0.6,0.413035,0.309353,0.247272
2,svcca,0.6,0.568161,0.619977,0.691307
2,edit_distance_knn,0.6,0.771670,0.762880,0.761500
2,cycle_knn,0.8,0.718500,0.690500,0.679700
2,mutual_knn,0.8,0.435270,0.288480,0.255000
2,lcs_knn,0.8,0.680000,0.476400,0.449900
2,cka,0.8,0.660568,0.621114,0.799524
2,unbiased_cka,0.8,0.658154,0.618556,0.798725
2,cknna,0.8,0.425344,0.320119,0.256153
2,svcca,0.8,0.555027,0.606776,0.699755
2,edit_distance_knn,0.8,0.772780,0.763340,0.762160
2,cycle_knn,0.2,0.706800,0.663100,0.668800
2,mutual_knn,0.2,0.406590,0.265990,0.229320
2,lcs_knn,0.2,0.635700,0.443200,0.404800
2,cka,0.2,0.647260,0.602656,0.774107
2,unbiased_cka,0.2,0.644748,0.599971,0.773181
2,cknna,0.2,0.396323,0.299158,0.230373
2,svcca,0.2,0.552315,0.612981,0.658547
2,edit_distance_knn,0.2,0.770270,0.762600,0.760270
2,cycle_knn,1.0,0.719100,0.688900,0.685900
2,mutual_knn,1.0,0.438040,0.289530,0.256320
2,lcs_knn,1.0,0.679900,0.468200,0.442100
2,cka,1.0,0.662499,0.626262,0.796098
2,unbiased_cka,1.0,0.660088,0.623738,0.795279
2,cknna,1.0,0.428782,0.321821,0.255795
2,svcca,1.0,0.558743,0.608862,0.672371
2,edit_distance_knn,1.0,0.773520,0.763160,0.761130
2,cycle_knn,0.0,0.703500,0.655900,0.660100
2,mutual_knn,0.0,0.403490,0.258140,0.227120
2,lcs_knn,0.0,0.629200,0.439000,0.400900
2,cka,0.0,0.639047,0.593060,0.776530
2,unbiased_cka,0.0,0.636471,0.590292,0.775620
2,cknna,0.0,0.390585,0.286358,0.231344
2,svcca,0.0,0.513933,0.589599,0.659245
2,edit_distance_knn,0.0,0.769920,0.762540,0.759900
3,cycle_knn,0.6,0.707500,0.677300,0.661700
3,mutual_knn,0.6,0.418990,0.277860,0.244400
3,lcs_knn,0.6,0.656800,0.458600,0.421500
3,cka,0.6,0.651661,0.618875,0.778199
3,unbiased_cka,0.6,0.649197,0.616255,0.777266
3,cknna,0.6,0.402245,0.308902,0.245877
3,svcca,0.6,0.562881,0.588693,0.657182
3,edit_distance_knn,0.6,0.771700,0.762510,0.760580
3,cycle_knn,0.4,0.708500,0.681000,0.643500
3,mutual_knn,0.4,0.413380,0.277460,0.236240
3,lcs_knn,0.4,0.647300,0.455500,0.413300
3,cka,0.4,0.645864,0.612596,0.774326
3,unbiased_cka,0.4,0.643347,0.609882,0.773388
3,cknna,0.4,0.401491,0.302273,0.238393
3,svcca,0.4,0.565001,0.589569,0.675644
3,edit_distance_knn,0.4,0.771140,0.762270,0.760390
3,cycle_knn,1.0,0.719200,0.694700,0.681300
3,mutual_knn,1.0,0.439950,0.301850,0.261200
3,lcs_knn,1.0,0.686700,0.502300,0.444400
3,cka,1.0,0.661503,0.633304,0.787889
3,unbiased_cka,1.0,0.659098,0.630763,0.786996
3,cknna,1.0,0.428438,0.338760,0.265745
3,svcca,1.0,0.540949,0.599554,0.674241
3,edit_distance_knn,1.0,0.773740,0.764800,0.762020
3,cycle_knn,0.8,0.716000,0.693300,0.669800
3,mutual_knn,0.8,0.430980,0.293810,0.250000
3,lcs_knn,0.8,0.673000,0.490500,0.442500
3,cka,0.8,0.656133,0.633359,0.784023
3,unbiased_cka,0.8,0.653704,0.630831,0.783136
