seed,metric,frac_overlap,metric_cifar100,metric_tinyimagenet,metric_cifar10
0,cycle_knn,0.8,0.719800,0.725900,0.665200
0,mutual_knn,0.8,0.304410,0.479000,0.231560
0,lcs_knn,0.8,0.506800,0.716900,0.408700
0,cka,0.8,0.628465,0.574944,0.710155
0,unbiased_cka,0.8,0.625806,0.570846,0.708656
0,cknna,0.8,0.327148,0.496111,0.229587
0,svcca,0.8,0.567646,0.454087,0.642562
0,edit_distance_knn,0.8,0.765110,0.776360,0.760060
0,cycle_knn,0.4,0.714900,0.712300,0.646200
0,mutual_knn,0.4,0.291380,0.458210,0.213950
0,lcs_knn,0.4,0.486400,0.693400,0.381300
0,cka,0.4,0.611250,0.558080,0.688278
0,unbiased_cka,0.4,0.608511,0.553791,0.686667
0,cknna,0.4,0.314469,0.472369,0.218204
0,svcca,0.4,0.571779,0.461256,0.620095
0,edit_distance_knn,0.4,0.763850,0.774620,0.759240
0,cycle_knn,0.2,0.699600,0.708500,0.643500
0,mutual_knn,0.2,0.283030,0.452010,0.207070
0,lcs_knn,0.2,0.474100,0.685100,0.369500
0,cka,0.2,0.614206,0.553184,0.675579
0,unbiased_cka,0.2,0.611550,0.548872,0.673879
0,cknna,0.2,0.305731,0.461887,0.208879
0,svcca,0.2,0.613305,0.435735,0.629550
0,edit_distance_knn,0.2,0.764040,0.773690,0.758770
0,cycle_knn,0.0,0.699700,0.706300,0.639800
0,mutual_knn,0.0,0.275900,0.444270,0.203450
0,lcs_knn,0.0,0.456600,0.682100,0.368900
0,cka,0.0,0.605712,0.549308,0.682435
0,unbiased_cka,0.0,0.602963,0.544966,0.680786
0,cknna,0.0,0.298603,0.456122,0.206841
0,svcca,0.0,0.553065,0.442656,0.641663
0,edit_distance_knn,0.0,0.762730,0.773390,0.758780
0,cycle_knn,1.0,0.740700,0.729500,0.693300
0,mutual_knn,1.0,0.324570,0.488500,0.247790
0,lcs_knn,1.0,0.538800,0.751000,0.440700
0,cka,1.0,0.648727,0.584198,0.727228
0,unbiased_cka,1.0,0.646243,0.580182,0.725861
0,cknna,1.0,0.345483,0.505869,0.244698
0,svcca,1.0,0.598279,0.456568,0.687108
0,edit_distance_knn,1.0,0.766190,0.777950,0.761810
0,cycle_knn,0.6,0.716100,0.710700,0.659500
0,mutual_knn,0.6,0.294790,0.469890,0.218050
0,lcs_knn,0.6,0.505700,0.716200,0.389300
0,cka,0.6,0.610207,0.565650,0.694262
0,unbiased_cka,0.6,0.607410,0.561460,0.692694
0,cknna,0.6,0.319177,0.485410,0.217968
