seed,frac_overlap,model_idx,acc
0,0.2,1,0.879
0,0.2,2,0.884
0,0.4,1,0.8875
0,0.4,2,0.887
0,0.0,1,-1
0,0.0,2,-1
0,0.8,1,0.897
0,0.8,2,0.89675
0,0.6,1,0.897
0,0.6,2,0.902
0,1.0,1,0.9024
0,1.0,2,0.9034
1,0.0,1,-1
1,0.0,2,-1
1,0.8,1,0.898
1,0.8,2,0.89975
1,0.4,1,0.904
1,0.4,2,0.8965
1,0.6,1,0.894
1,0.6,2,0.8983333333333333
1,0.2,1,0.92
1,0.2,2,0.892
1,1.0,1,0.8928
1,1.0,2,0.8948
2,1.0,1,0.891
2,1.0,2,0.891
2,0.0,1,-1
2,0.0,2,-1
2,0.2,1,0.906
2,0.2,2,0.921
2,0.6,1,0.8803333333333333
2,0.6,2,0.891
2,0.8,1,0.89275
2,0.8,2,0.894
2,0.4,1,0.912
2,0.4,2,0.9285
3,1.0,1,0.8944
3,1.0,2,0.89
3,0.6,1,0.8876666666666667
3,0.6,2,0.8823333333333333
3,0.4,1,0.889
3,0.4,2,0.893
3,0.2,1,0.874
3,0.2,2,0.891
3,0.8,1,0.8935
3,0.8,2,0.8915
3,0.0,1,-1
3,0.0,2,-1
