seed,frac_overlap,model_idx,acc
0,0.4,1,0.8815
0,0.4,2,0.876
0,0.0,1,-1
0,0.0,2,-1
0,1.0,1,0.8718
0,1.0,2,0.8724
0,0.2,1,0.871
0,0.2,2,0.887
0,0.8,1,0.876
0,0.8,2,0.87725
0,0.6,1,0.8756666666666667
0,0.6,2,0.873
1,0.2,1,0.886
1,0.2,2,0.903
1,0.4,1,0.885
1,0.4,2,0.8995
1,0.6,1,0.8783333333333333
1,0.6,2,0.874
1,0.8,1,0.8775
1,0.8,2,0.87625
1,0.0,1,-1
1,0.0,2,-1
1,1.0,1,0.8784
1,1.0,2,0.8772
2,0.8,1,0.883
2,0.8,2,0.875
2,0.4,1,0.869
2,0.4,2,0.8745
2,1.0,1,0.8782
2,1.0,2,0.88
2,0.6,1,0.887
2,0.6,2,0.879
2,0.2,1,0.895
2,0.2,2,0.877
2,0.0,1,-1
2,0.0,2,-1
3,1.0,1,0.885
3,1.0,2,0.883
3,0.2,1,0.89
3,0.2,2,0.871
3,0.4,1,0.898
3,0.4,2,0.8985
3,0.8,1,0.8825
3,0.8,2,0.88025
3,0.6,1,0.886
3,0.6,2,0.89
3,0.0,1,-1
3,0.0,2,-1
