seed,frac_overlap,model_idx,acc
0,1.0,1,0.9484
0,1.0,2,0.945
0,0.6,1,0.9496666666666667
0,0.6,2,0.9433333333333334
0,0.4,1,0.9445
0,0.4,2,0.9375
0,0.8,1,0.94375
0,0.8,2,0.9385
0,0.0,1,-1
0,0.0,2,-1
0,0.2,1,0.939
0,0.2,2,0.936
1,0.2,1,0.961
1,0.2,2,0.943
1,0.6,1,0.938
1,0.6,2,0.944
1,1.0,1,0.9448
1,1.0,2,0.9448
1,0.8,1,0.94525
1,0.8,2,0.941
1,0.0,1,-1
1,0.0,2,-1
1,0.4,1,0.957
1,0.4,2,0.944
2,0.8,1,0.93225
2,0.8,2,0.9395
2,1.0,1,0.9396
2,1.0,2,0.9396
2,0.4,1,0.94
2,0.4,2,0.96
2,0.2,1,0.935
2,0.2,2,0.947
2,0.0,1,-1
2,0.0,2,-1
2,0.6,1,0.9313333333333333
2,0.6,2,0.9386666666666666
3,0.4,1,0.939
3,0.4,2,0.939
3,0.8,1,0.9375
3,0.8,2,0.94175
3,0.6,1,0.941
3,0.6,2,0.9283333333333333
3,0.2,1,0.919
3,0.2,2,0.935
3,1.0,1,0.9376
3,1.0,2,0.9392
3,0.0,1,-1
3,0.0,2,-1
