seed,frac_overlap,model_idx,acc
0,0.4,1,0.8995
0,0.4,2,0.889
0,0.6,1,0.886
0,0.6,2,0.8876666666666667
0,0.2,1,0.874
0,0.2,2,0.911
0,0.0,1,-1
0,0.0,2,-1
0,1.0,1,0.8866
0,1.0,2,0.8864
0,0.8,1,0.89425
0,0.8,2,0.898
1,0.8,1,0.90075
1,0.8,2,0.901
1,0.2,1,0.905
1,0.2,2,0.916
1,0.6,1,0.9046666666666666
1,0.6,2,0.902
1,0.0,1,-1
1,0.0,2,-1
1,0.4,1,0.9125
1,0.4,2,0.9165
1,1.0,1,0.8994
1,1.0,2,0.9016
2,0.8,1,0.89125
2,0.8,2,0.896
2,0.4,1,0.8825
2,0.4,2,0.8885
2,0.6,1,0.8976666666666666
2,0.6,2,0.8973333333333333
2,0.2,1,0.9
2,0.2,2,0.887
2,0.0,1,-1
2,0.0,2,-1
2,1.0,1,0.8952
2,1.0,2,0.8992
3,0.0,1,-1
3,0.0,2,-1
3,1.0,1,0.9018
3,1.0,2,0.9014
3,0.8,1,0.8935
3,0.8,2,0.90175
3,0.6,1,0.9026666666666666
3,0.6,2,0.8926666666666667
3,0.2,1,0.882
3,0.2,2,0.892
3,0.4,1,0.9015
3,0.4,2,0.9045
