seed,frac_overlap,model_idx,acc
0,0.4,1,0.9455
0,0.4,2,0.935
0,0.0,1,-1
0,0.0,2,-1
0,0.8,1,0.9435
0,0.8,2,0.94725
0,1.0,1,0.948
0,1.0,2,0.9462
0,0.2,1,0.939
0,0.2,2,0.924
0,0.6,1,0.9443333333333334
0,0.6,2,0.9506666666666667
1,0.2,1,0.967
1,0.2,2,0.941
1,0.0,1,-1
1,0.0,2,-1
1,0.8,1,0.941
1,0.8,2,0.94
1,0.6,1,0.9393333333333334
1,0.6,2,0.9436666666666667
1,1.0,1,0.9446
1,1.0,2,0.9426
1,0.4,1,0.953
1,0.4,2,0.935
2,0.4,1,0.939
2,0.4,2,0.9575
2,0.2,1,0.939
2,0.2,2,0.948
2,0.6,1,0.9353333333333333
2,0.6,2,0.9343333333333333
2,1.0,1,0.9394
2,1.0,2,0.9394
2,0.8,1,0.93525
2,0.8,2,0.93875
2,0.0,1,-1
2,0.0,2,-1
3,0.8,1,0.936
3,0.8,2,0.943
3,0.4,1,0.937
3,0.4,2,0.9365
3,1.0,1,0.9378
3,1.0,2,0.9374
3,0.0,1,-1
3,0.0,2,-1
3,0.2,1,0.918
3,0.2,2,0.941
3,0.6,1,0.9416666666666667
3,0.6,2,0.9356666666666666
