seed,frac_overlap,model_idx,acc
0,0.6,1,0.897
0,0.6,2,0.8993333333333333
0,0.4,1,0.9165
0,0.4,2,0.904
0,1.0,1,0.9052
0,1.0,2,0.9098
0,0.2,1,0.906
0,0.2,2,0.921
0,0.8,1,0.90875
0,0.8,2,0.90625
0,0.0,1,-1
0,0.0,2,-1
1,0.0,1,-1
1,0.0,2,-1
1,0.4,1,0.918
1,0.4,2,0.938
1,1.0,1,0.9182
1,1.0,2,0.9162
1,0.6,1,0.9146666666666666
1,0.6,2,0.913
1,0.8,1,0.91125
1,0.8,2,0.91475
1,0.2,1,0.912
1,0.2,2,0.931
2,0.0,1,-1
2,0.0,2,-1
2,0.4,1,0.903
2,0.4,2,0.903
2,0.6,1,0.91
2,0.6,2,0.9133333333333333
2,0.2,1,0.92
2,0.2,2,0.898
2,1.0,1,0.9086
2,1.0,2,0.9078
2,0.8,1,0.91125
2,0.8,2,0.9085
3,0.6,1,0.9116666666666666
3,0.6,2,0.915
3,0.8,1,0.91625
3,0.8,2,0.91025
3,0.4,1,0.915
3,0.4,2,0.922
3,1.0,1,0.9168
3,1.0,2,0.9136
3,0.2,1,0.906
3,0.2,2,0.902
3,0.0,1,-1
3,0.0,2,-1
