seed,frac_overlap,model_idx,acc
0,0.4,1,0.92
0,0.4,2,0.9085
0,0.8,1,0.9255
0,0.8,2,0.9265
0,0.6,1,0.932
0,0.6,2,0.9263333333333333
0,1.0,1,0.9306
0,1.0,2,0.9276
0,0.2,1,0.916
0,0.2,2,0.897
0,0.0,1,-1
0,0.0,2,-1
1,1.0,1,0.9186
1,1.0,2,0.9244
1,0.8,1,0.92025
1,0.8,2,0.92525
1,0.0,1,-1
1,0.0,2,-1
1,0.4,1,0.9285
1,0.4,2,0.9175
1,0.2,1,0.947
1,0.2,2,0.922
1,0.6,1,0.9143333333333333
1,0.6,2,0.9116666666666666
2,0.6,1,0.9176666666666666
2,0.6,2,0.9136666666666666
2,0.4,1,0.9325
2,0.4,2,0.9465
2,0.8,1,0.9165
2,0.8,2,0.922
2,0.0,1,-1
2,0.0,2,-1
2,0.2,1,0.924
2,0.2,2,0.941
2,1.0,1,0.9192
2,1.0,2,0.9222
3,0.6,1,0.9176666666666666
3,0.6,2,0.9083333333333333
3,0.2,1,0.892
3,0.2,2,0.906
3,1.0,1,0.9196
3,1.0,2,0.9194
3,0.8,1,0.92125
3,0.8,2,0.924
3,0.4,1,0.9165
3,0.4,2,0.9165
3,0.0,1,-1
3,0.0,2,-1
