seed,frac_overlap,model_idx,acc
0,0.8,1,0.8585
0,0.8,2,0.86325
0,0.2,1,0.833
0,0.2,2,0.87
0,0.4,1,0.8585
0,0.4,2,0.866
0,0.0,1,-1
0,0.0,2,-1
0,0.6,1,0.852
0,0.6,2,0.8623333333333333
0,1.0,1,0.8632
0,1.0,2,0.8516
1,0.4,1,0.889
1,0.4,2,0.8945
1,0.2,1,0.889
1,0.2,2,0.89
1,0.0,1,-1
1,0.0,2,-1
1,0.8,1,0.86875
1,0.8,2,0.87175
1,0.6,1,0.8643333333333333
1,0.6,2,0.8673333333333333
1,1.0,1,0.8684
1,1.0,2,0.8704
2,0.2,1,0.873
2,0.2,2,0.858
2,0.6,1,0.868
2,0.6,2,0.8696666666666667
2,0.4,1,0.858
2,0.4,2,0.847
2,1.0,1,0.8642
2,1.0,2,0.8648
2,0.0,1,-1
2,0.0,2,-1
2,0.8,1,0.86575
2,0.8,2,0.861
3,0.8,1,0.86575
3,0.8,2,0.85975
3,0.4,1,0.8655
3,0.4,2,0.872
3,0.2,1,0.871
3,0.2,2,0.851
3,0.0,1,-1
3,0.0,2,-1
3,1.0,1,0.8626
3,1.0,2,0.859
3,0.6,1,0.872
3,0.6,2,0.8693333333333333
