seed,frac_overlap,model_idx,acc
0,0.8,1,0.909
0,0.8,2,0.907
0,0.0,1,-1
0,0.0,2,-1
0,0.6,1,0.9156666666666666
0,0.6,2,0.9143333333333333
0,0.4,1,0.899
0,0.4,2,0.8975
0,0.2,1,0.903
0,0.2,2,0.887
0,1.0,1,0.9122
0,1.0,2,0.9116
1,0.8,1,0.909
1,0.8,2,0.90875
1,0.2,1,0.939
1,0.2,2,0.906
1,0.0,1,-1
1,0.0,2,-1
1,0.4,1,0.918
1,0.4,2,0.9095
1,1.0,1,0.9038
1,1.0,2,0.9048
1,0.6,1,0.9046666666666666
1,0.6,2,0.9013333333333333
2,0.8,1,0.9055
2,0.8,2,0.91075
2,0.2,1,0.918
2,0.2,2,0.927
2,0.4,1,0.913
2,0.4,2,0.934
2,0.6,1,0.9
2,0.6,2,0.901
2,1.0,1,0.9056
2,1.0,2,0.9054
2,0.0,1,-1
2,0.0,2,-1
3,0.2,1,0.878
3,0.2,2,0.902
3,0.6,1,0.901
3,0.6,2,0.9003333333333333
3,0.0,1,-1
3,0.0,2,-1
3,1.0,1,0.9066
3,1.0,2,0.9056
3,0.4,1,0.9025
3,0.4,2,0.9025
3,0.8,1,0.904
3,0.8,2,0.9085
