seed,frac_overlap,model_idx,acc
0,0.0,1,-1
0,0.0,2,-1
0,0.6,1,0.8423333333333334
0,0.6,2,0.8443333333333334
0,0.2,1,0.834
0,0.2,2,0.847
0,1.0,1,0.8344
0,1.0,2,0.8394
0,0.8,1,0.83925
0,0.8,2,0.84775
0,0.4,1,0.8505
0,0.4,2,0.8535
1,0.0,1,-1
1,0.0,2,-1
1,0.2,1,0.872
1,0.2,2,0.864
1,0.8,1,0.85275
1,0.8,2,0.85525
1,0.4,1,0.868
1,0.4,2,0.88
1,0.6,1,0.8536666666666667
1,0.6,2,0.8563333333333333
1,1.0,1,0.8506
1,1.0,2,0.8522
2,0.4,1,0.8415
2,0.4,2,0.8385
2,0.6,1,0.858
2,0.6,2,0.8506666666666667
2,1.0,1,0.8538
2,1.0,2,0.8548
2,0.8,1,0.85375
2,0.8,2,0.84775
2,0.0,1,-1
2,0.0,2,-1
2,0.2,1,0.861
2,0.2,2,0.834
3,0.4,1,0.8545
3,0.4,2,0.8625
3,0.2,1,0.861
3,0.2,2,0.823
3,0.0,1,-1
3,0.0,2,-1
3,0.8,1,0.85175
3,0.8,2,0.84725
3,1.0,1,0.8578
3,1.0,2,0.8522
3,0.6,1,0.8463333333333334
3,0.6,2,0.852
