seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.8,0.812500,0.784000
0,mutual_knn,0.8,0.547950,0.424450
0,lcs_knn,0.8,0.832500,0.664500
0,cka,0.8,0.934931,0.720057
0,unbiased_cka,0.8,0.933057,0.711663
0,cknna,0.8,0.507048,0.399951
0,svcca,0.8,0.581213,0.516141
0,edit_distance_knn,0.8,0.782975,0.771700
0,cycle_knn,0.0,-1.000000,0.704100
0,mutual_knn,0.0,-1.000000,0.330790
0,lcs_knn,0.0,-1.000000,0.528600
0,cka,0.0,-1.000000,0.642904
0,unbiased_cka,0.0,-1.000000,0.638281
0,cknna,0.0,-1.000000,0.328591
0,svcca,0.0,-1.000000,0.532527
0,edit_distance_knn,0.0,-1.000000,0.766050
0,cycle_knn,0.6,0.800333,0.763750
0,mutual_knn,0.6,0.544633,0.391750
0,lcs_knn,0.6,0.829333,0.601500
0,cka,0.6,0.938844,0.693364
0,unbiased_cka,0.6,0.936969,0.686594
0,cknna,0.6,0.499392,0.374197
0,svcca,0.6,0.627147,0.493025
0,edit_distance_knn,0.6,0.783100,0.768375
0,cycle_knn,0.2,0.795000,0.718750
0,mutual_knn,0.2,0.525800,0.346000
0,lcs_knn,0.2,0.789000,0.546500
0,cka,0.2,0.955555,0.655730
0,unbiased_cka,0.2,0.954034,0.650503
0,cknna,0.2,0.470725,0.337362
0,svcca,0.2,0.727184,0.513387
0,edit_distance_knn,0.2,0.776600,0.766737
0,cycle_knn,1.0,0.809800,-1.000000
0,mutual_knn,1.0,0.570180,-1.000000
0,lcs_knn,1.0,0.868800,-1.000000
0,cka,1.0,0.936670,-1.000000
0,unbiased_cka,1.0,0.934921,-1.000000
0,cknna,1.0,0.523918,-1.000000
0,svcca,1.0,0.570220,-1.000000
0,edit_distance_knn,1.0,0.786000,-1.000000
0,cycle_knn,0.4,0.797000,0.738000
0,mutual_knn,0.4,0.536500,0.362717
0,lcs_knn,0.4,0.800500,0.543333
0,cka,0.4,0.948504,0.663333
0,unbiased_cka,0.4,0.946849,0.657287
0,cknna,0.4,0.488934,0.354222
0,svcca,0.4,0.661508,0.545845
0,edit_distance_knn,0.4,0.780550,0.766500
1,cycle_knn,0.0,-1.000000,0.696600
1,mutual_knn,0.0,-1.000000,0.323360
1,lcs_knn,0.0,-1.000000,0.508700
1,cka,0.0,-1.000000,0.640534
1,unbiased_cka,0.0,-1.000000,0.635841
1,cknna,0.0,-1.000000,0.319519
1,svcca,0.0,-1.000000,0.536230
1,edit_distance_knn,0.0,-1.000000,0.765670
1,cycle_knn,0.6,0.798667,0.784500
1,mutual_knn,0.6,0.531800,0.395325
1,lcs_knn,0.6,0.789333,0.620250
1,cka,0.6,0.937339,0.690167
1,unbiased_cka,0.6,0.935444,0.683077
1,cknna,0.6,0.494929,0.376015
1,svcca,0.6,0.566061,0.525016
1,edit_distance_knn,0.6,0.780867,0.771025
1,cycle_knn,0.8,0.804000,0.798500
1,mutual_knn,0.8,0.553700,0.424900
1,lcs_knn,0.8,0.822000,0.654000
1,cka,0.8,0.935385,0.680867
1,unbiased_cka,0.8,0.933541,0.671185
1,cknna,0.8,0.507430,0.401500
1,svcca,0.8,0.590198,0.455227
1,edit_distance_knn,0.8,0.782525,0.772100
1,cycle_knn,1.0,0.797400,-1.000000
1,mutual_knn,1.0,0.564220,-1.000000
1,lcs_knn,1.0,0.828600,-1.000000
1,cka,1.0,0.936023,-1.000000
1,unbiased_cka,1.0,0.934240,-1.000000
1,cknna,1.0,0.519872,-1.000000
1,svcca,1.0,0.557872,-1.000000
1,edit_distance_knn,1.0,0.782740,-1.000000
1,cycle_knn,0.4,0.792000,0.741500
1,mutual_knn,0.4,0.544800,0.359983
1,lcs_knn,0.4,0.839000,0.579667
1,cka,0.4,0.951923,0.649954
1,unbiased_cka,0.4,0.950421,0.643539
1,cknna,0.4,0.498298,0.345993
1,svcca,0.4,0.707896,0.509092
1,edit_distance_knn,0.4,0.782050,0.768133
1,cycle_knn,0.2,0.798000,0.722750
1,mutual_knn,0.2,0.543100,0.348900
1,lcs_knn,0.2,0.827000,0.537375
1,cka,0.2,0.960497,0.646244
1,unbiased_cka,0.2,0.959217,0.640897
1,cknna,0.2,0.480611,0.340369
1,svcca,0.2,0.716800,0.526527
1,edit_distance_knn,0.2,0.783500,0.766238
2,cycle_knn,1.0,0.792200,-1.000000
2,mutual_knn,1.0,0.560680,-1.000000
2,lcs_knn,1.0,0.840000,-1.000000
2,cka,1.0,0.935892,-1.000000
2,unbiased_cka,1.0,0.934130,-1.000000
2,cknna,1.0,0.512811,-1.000000
2,svcca,1.0,0.598046,-1.000000
2,edit_distance_knn,1.0,0.784140,-1.000000
2,cycle_knn,0.2,0.795000,0.727500
2,mutual_knn,0.2,0.526600,0.349362
2,lcs_knn,0.2,0.762000,0.557500
2,cka,0.2,0.959862,0.648554
2,unbiased_cka,0.2,0.958630,0.643069
2,cknna,0.2,0.479419,0.335366
2,svcca,0.2,0.754110,0.517712
2,edit_distance_knn,0.2,0.776400,0.767062
2,cycle_knn,0.0,-1.000000,0.704200
2,mutual_knn,0.0,-1.000000,0.332070
2,lcs_knn,0.0,-1.000000,0.519800
2,cka,0.0,-1.000000,0.650450
2,unbiased_cka,0.0,-1.000000,0.645831
2,cknna,0.0,-1.000000,0.326986
2,svcca,0.0,-1.000000,0.577350
2,edit_distance_knn,0.0,-1.000000,0.765820
2,cycle_knn,0.4,0.786000,0.741000
2,mutual_knn,0.4,0.527250,0.364533
2,lcs_knn,0.4,0.802000,0.567000
2,cka,0.4,0.948082,0.663678
2,unbiased_cka,0.4,0.946431,0.657428
2,cknna,0.4,0.481785,0.351410
2,svcca,0.4,0.694026,0.520757
2,edit_distance_knn,0.4,0.780750,0.767883
2,cycle_knn,0.6,0.785000,0.770500
2,mutual_knn,0.6,0.543367,0.375575
2,lcs_knn,0.6,0.831000,0.586500
2,cka,0.6,0.944854,0.680226
2,unbiased_cka,0.6,0.943216,0.673026
2,cknna,0.6,0.495960,0.357662
2,svcca,0.6,0.610757,0.512609
2,edit_distance_knn,0.6,0.782667,0.768425
2,cycle_knn,0.8,0.799500,0.817500
2,mutual_knn,0.8,0.550950,0.419250
2,lcs_knn,0.8,0.814750,0.660000
2,cka,0.8,0.935614,0.715750
2,unbiased_cka,0.8,0.933765,0.707159
2,cknna,0.8,0.508628,0.385567
2,svcca,0.8,0.581462,0.518072
2,edit_distance_knn,0.8,0.782975,0.773700
3,cycle_knn,0.0,-1.000000,0.697400
3,mutual_knn,0.0,-1.000000,0.329290
3,lcs_knn,0.0,-1.000000,0.511100
3,cka,0.0,-1.000000,0.642303
3,unbiased_cka,0.0,-1.000000,0.637608
3,cknna,0.0,-1.000000,0.321629
3,svcca,0.0,-1.000000,0.542176
3,edit_distance_knn,0.0,-1.000000,0.765280
3,cycle_knn,0.6,0.797000,0.773750
3,mutual_knn,0.6,0.545000,0.385175
3,lcs_knn,0.6,0.822333,0.592250
3,cka,0.6,0.944785,0.724712
3,unbiased_cka,0.6,0.943132,0.719006
3,cknna,0.6,0.495025,0.363796
3,svcca,0.6,0.565973,0.606502
3,edit_distance_knn,0.6,0.782833,0.768275
3,cycle_knn,1.0,0.798200,-1.000000
3,mutual_knn,1.0,0.571320,-1.000000
3,lcs_knn,1.0,0.860200,-1.000000
3,cka,1.0,0.939114,-1.000000
3,unbiased_cka,1.0,0.937445,-1.000000
3,cknna,1.0,0.525907,-1.000000
3,svcca,1.0,0.569910,-1.000000
3,edit_distance_knn,1.0,0.787200,-1.000000
3,cycle_knn,0.4,0.794500,0.738000
3,mutual_knn,0.4,0.546500,0.356467
3,lcs_knn,0.4,0.815000,0.564833
3,cka,0.4,0.953309,0.687320
3,unbiased_cka,0.4,0.951849,0.681963
3,cknna,0.4,0.499605,0.343614
3,svcca,0.4,0.628653,0.569186
3,edit_distance_knn,0.4,0.779950,0.766950
3,cycle_knn,0.8,0.798250,0.820500
3,mutual_knn,0.8,0.557150,0.419750
3,lcs_knn,0.8,0.846750,0.632000
3,cka,0.8,0.939353,0.741348
3,unbiased_cka,0.8,0.937597,0.734417
3,cknna,0.8,0.521473,0.383183
3,svcca,0.8,0.572402,0.554047
3,edit_distance_knn,0.8,0.783800,0.770450
3,cycle_knn,0.2,0.805000,0.731875
3,mutual_knn,0.2,0.534400,0.350813
3,lcs_knn,0.2,0.792000,0.545875
3,cka,0.2,0.960341,0.666075
3,unbiased_cka,0.2,0.959044,0.661075
3,cknna,0.2,0.486754,0.339437
3,svcca,0.2,0.754390,0.521681
3,edit_distance_knn,0.2,0.780300,0.766475
