seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.2,0.919000,0.832750
0,mutual_knn,0.2,0.485200,0.333163
0,lcs_knn,0.2,0.778000,0.555750
0,cka,0.2,0.930278,0.788217
0,unbiased_cka,0.2,0.927433,0.786262
0,cknna,0.2,0.471500,0.329250
0,svcca,0.2,0.884333,0.725662
0,edit_distance_knn,0.2,0.779000,0.767088
0,cycle_knn,0.4,0.911500,0.846833
0,mutual_knn,0.4,0.501500,0.350850
0,lcs_knn,0.4,0.750000,0.573833
0,cka,0.4,0.929066,0.803890
0,unbiased_cka,0.4,0.927052,0.801626
0,cknna,0.4,0.489742,0.350183
0,svcca,0.4,0.873175,0.719503
0,edit_distance_knn,0.4,0.775750,0.767800
0,cycle_knn,0.6,0.917667,0.873750
0,mutual_knn,0.6,0.511767,0.384400
0,lcs_knn,0.6,0.785000,0.615250
0,cka,0.6,0.921543,0.833193
0,unbiased_cka,0.6,0.919710,0.830570
0,cknna,0.6,0.496127,0.379617
0,svcca,0.6,0.820274,0.754911
0,edit_distance_knn,0.6,0.779367,0.769950
0,cycle_knn,0.8,0.916750,0.909500
0,mutual_knn,0.8,0.511350,0.442250
0,lcs_knn,0.8,0.802750,0.694500
0,cka,0.8,0.927079,0.876362
0,unbiased_cka,0.8,0.925653,0.873236
0,cknna,0.8,0.494947,0.428341
0,svcca,0.8,0.830488,0.792937
0,edit_distance_knn,0.8,0.780875,0.774050
0,cycle_knn,1.0,0.926000,-1.000000
0,mutual_knn,1.0,0.564840,-1.000000
0,lcs_knn,1.0,0.864200,-1.000000
0,cka,1.0,0.942283,-1.000000
0,unbiased_cka,1.0,0.941236,-1.000000
0,cknna,1.0,0.550785,-1.000000
0,svcca,1.0,0.797718,-1.000000
0,edit_distance_knn,1.0,0.787120,-1.000000
0,cycle_knn,0.0,-1.000000,0.801300
0,mutual_knn,0.0,-1.000000,0.307800
0,lcs_knn,0.0,-1.000000,0.501100
0,cka,0.0,-1.000000,0.777992
0,unbiased_cka,0.0,-1.000000,0.776262
0,cknna,0.0,-1.000000,0.308705
0,svcca,0.0,-1.000000,0.745937
0,edit_distance_knn,0.0,-1.000000,0.764730
1,cycle_knn,0.0,-1.000000,0.802100
1,mutual_knn,0.0,-1.000000,0.308130
1,lcs_knn,0.0,-1.000000,0.516300
1,cka,0.0,-1.000000,0.778904
1,unbiased_cka,0.0,-1.000000,0.777141
1,cknna,0.0,-1.000000,0.309578
1,svcca,0.0,-1.000000,0.697454
1,edit_distance_knn,0.0,-1.000000,0.765360
1,cycle_knn,0.6,0.915000,0.868000
1,mutual_knn,0.6,0.493400,0.397800
1,lcs_knn,0.6,0.764000,0.631500
1,cka,0.6,0.921464,0.831263
1,unbiased_cka,0.6,0.919579,0.828492
1,cknna,0.6,0.471354,0.387762
1,svcca,0.6,0.763188,0.728665
1,edit_distance_knn,0.6,0.779033,0.770300
1,cycle_knn,1.0,0.930400,-1.000000
1,mutual_knn,1.0,0.559920,-1.000000
1,lcs_knn,1.0,0.857200,-1.000000
1,cka,1.0,0.938424,-1.000000
1,unbiased_cka,1.0,0.937256,-1.000000
1,cknna,1.0,0.541267,-1.000000
1,svcca,1.0,0.842754,-1.000000
1,edit_distance_knn,1.0,0.785960,-1.000000
1,cycle_knn,0.8,0.917750,0.884500
1,mutual_knn,0.8,0.509050,0.412000
1,lcs_knn,0.8,0.788750,0.666500
1,cka,0.8,0.924802,0.832886
1,unbiased_cka,0.8,0.923260,0.828712
1,cknna,0.8,0.478425,0.405041
1,svcca,0.8,0.777095,0.770518
1,edit_distance_knn,0.8,0.779800,0.773750
1,cycle_knn,0.4,0.913000,0.833000
1,mutual_knn,0.4,0.490550,0.346467
1,lcs_knn,0.4,0.754500,0.564000
1,cka,0.4,0.918216,0.794482
1,unbiased_cka,0.4,0.915697,0.792061
1,cknna,0.4,0.464271,0.342276
1,svcca,0.4,0.805026,0.698084
1,edit_distance_knn,0.4,0.776800,0.767400
1,cycle_knn,0.2,0.911000,0.834250
1,mutual_knn,0.2,0.483500,0.345738
1,lcs_knn,0.2,0.737000,0.563375
1,cka,0.2,0.936957,0.801011
1,unbiased_cka,0.2,0.934513,0.799105
1,cknna,0.2,0.444984,0.342605
1,svcca,0.2,0.939720,0.805658
1,edit_distance_knn,0.2,0.772900,0.767225
2,cycle_knn,0.2,0.921000,0.826375
2,mutual_knn,0.2,0.485300,0.323613
2,lcs_knn,0.2,0.737000,0.543000
2,cka,0.2,0.928135,0.797560
2,unbiased_cka,0.2,0.925225,0.795613
2,cknna,0.2,0.455176,0.320064
2,svcca,0.2,0.944486,0.753494
2,edit_distance_knn,0.2,0.777300,0.766625
2,cycle_knn,0.0,-1.000000,0.814700
2,mutual_knn,0.0,-1.000000,0.318550
2,lcs_knn,0.0,-1.000000,0.519200
2,cka,0.0,-1.000000,0.789475
2,unbiased_cka,0.0,-1.000000,0.787772
2,cknna,0.0,-1.000000,0.318331
2,svcca,0.0,-1.000000,0.694807
2,edit_distance_knn,0.0,-1.000000,0.765270
2,cycle_knn,0.6,0.920000,0.868250
2,mutual_knn,0.6,0.493467,0.403625
2,lcs_knn,0.6,0.751333,0.642500
2,cka,0.6,0.920790,0.831832
2,unbiased_cka,0.6,0.918842,0.828957
2,cknna,0.6,0.480621,0.399815
2,svcca,0.6,0.808048,0.737679
2,edit_distance_knn,0.6,0.777000,0.771075
2,cycle_knn,0.8,0.931500,0.913000
2,mutual_knn,0.8,0.539550,0.457150
2,lcs_knn,0.8,0.828500,0.738000
2,cka,0.8,0.932017,0.850699
2,unbiased_cka,0.8,0.930528,0.846814
2,cknna,0.8,0.520941,0.458931
2,svcca,0.8,0.802808,0.743071
2,edit_distance_knn,0.8,0.782700,0.775600
2,cycle_knn,1.0,0.931600,-1.000000
2,mutual_knn,1.0,0.540780,-1.000000
2,lcs_knn,1.0,0.837800,-1.000000
2,cka,1.0,0.925603,-1.000000
2,unbiased_cka,1.0,0.924211,-1.000000
2,cknna,1.0,0.527281,-1.000000
2,svcca,1.0,0.802566,-1.000000
2,edit_distance_knn,1.0,0.784060,-1.000000
2,cycle_knn,0.4,0.922500,0.844000
2,mutual_knn,0.4,0.487550,0.351117
2,lcs_knn,0.4,0.753000,0.586167
2,cka,0.4,0.917824,0.816818
2,unbiased_cka,0.4,0.915239,0.814571
2,cknna,0.4,0.465946,0.346101
2,svcca,0.4,0.843815,0.728801
2,edit_distance_knn,0.4,0.776400,0.768333
3,cycle_knn,0.0,-1.000000,0.821900
3,mutual_knn,0.0,-1.000000,0.323410
3,lcs_knn,0.0,-1.000000,0.530400
3,cka,0.0,-1.000000,0.773998
3,unbiased_cka,0.0,-1.000000,0.772179
3,cknna,0.0,-1.000000,0.326022
3,svcca,0.0,-1.000000,0.700433
3,edit_distance_knn,0.0,-1.000000,0.765580
3,cycle_knn,1.0,0.929800,-1.000000
3,mutual_knn,1.0,0.563240,-1.000000
3,lcs_knn,1.0,0.858200,-1.000000
3,cka,1.0,0.945072,-1.000000
3,unbiased_cka,1.0,0.944065,-1.000000
3,cknna,1.0,0.549882,-1.000000
3,svcca,1.0,0.838746,-1.000000
3,edit_distance_knn,1.0,0.784800,-1.000000
3,cycle_knn,0.2,0.926000,0.839125
3,mutual_knn,0.2,0.498100,0.355238
3,lcs_knn,0.2,0.766000,0.567625
3,cka,0.2,0.928705,0.809703
3,unbiased_cka,0.2,0.925400,0.807854
3,cknna,0.2,0.464523,0.347454
3,svcca,0.2,0.946053,0.730264
3,edit_distance_knn,0.2,0.779100,0.767300
3,cycle_knn,0.4,0.928000,0.864333
3,mutual_knn,0.4,0.498450,0.382250
3,lcs_knn,0.4,0.772000,0.612667
3,cka,0.4,0.924847,0.834665
3,unbiased_cka,0.4,0.922484,0.832620
3,cknna,0.4,0.464905,0.372436
3,svcca,0.4,0.823889,0.771558
3,edit_distance_knn,0.4,0.777550,0.769067
3,cycle_knn,0.8,0.913250,0.904500
3,mutual_knn,0.8,0.517600,0.456600
3,lcs_knn,0.8,0.793250,0.714000
3,cka,0.8,0.930131,0.875158
3,unbiased_cka,0.8,0.928721,0.872056
3,cknna,0.8,0.492128,0.433937
3,svcca,0.8,0.818959,0.804383
3,edit_distance_knn,0.8,0.780525,0.775700
3,cycle_knn,0.6,0.910333,0.876750
3,mutual_knn,0.6,0.497100,0.407475
3,lcs_knn,0.6,0.744000,0.645750
3,cka,0.6,0.922152,0.840714
3,unbiased_cka,0.6,0.920296,0.838108
3,cknna,0.6,0.473980,0.395161
3,svcca,0.6,0.799487,0.751894
3,edit_distance_knn,0.6,0.777500,0.771550
