seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,1.0,0.701200,-1.000000
0,mutual_knn,1.0,0.543620,-1.000000
0,lcs_knn,1.0,0.825600,-1.000000
0,cka,1.0,0.911055,-1.000000
0,unbiased_cka,1.0,0.909711,-1.000000
0,cknna,1.0,0.519186,-1.000000
0,svcca,1.0,0.557432,-1.000000
0,edit_distance_knn,1.0,0.782760,-1.000000
0,cycle_knn,0.6,0.710000,0.698250
0,mutual_knn,0.6,0.530100,0.352100
0,lcs_knn,0.6,0.823333,0.565750
0,cka,0.6,0.931332,0.662580
0,unbiased_cka,0.6,0.930171,0.656989
0,cknna,0.6,0.503375,0.345561
0,svcca,0.6,0.710274,0.538201
0,edit_distance_knn,0.6,0.782400,0.768425
0,cycle_knn,0.4,0.690500,0.687833
0,mutual_knn,0.4,0.527750,0.337450
0,lcs_knn,0.4,0.795000,0.545500
0,cka,0.4,0.938454,0.615543
0,unbiased_cka,0.4,0.937331,0.610177
0,cknna,0.4,0.507797,0.336304
0,svcca,0.4,0.701748,0.491049
0,edit_distance_knn,0.4,0.781400,0.768167
0,cycle_knn,0.8,0.707500,0.731500
0,mutual_knn,0.8,0.534150,0.394150
0,lcs_knn,0.8,0.825750,0.639500
0,cka,0.8,0.918619,0.723134
0,unbiased_cka,0.8,0.917291,0.717414
0,cknna,0.8,0.509308,0.351592
0,svcca,0.8,0.619363,0.672732
0,edit_distance_knn,0.8,0.783175,0.771200
0,cycle_knn,0.0,-1.000000,0.677400
0,mutual_knn,0.0,-1.000000,0.305020
0,lcs_knn,0.0,-1.000000,0.509600
0,cka,0.0,-1.000000,0.592716
0,unbiased_cka,0.0,-1.000000,0.588552
0,cknna,0.0,-1.000000,0.322204
0,svcca,0.0,-1.000000,0.491577
0,edit_distance_knn,0.0,-1.000000,0.765950
0,cycle_knn,0.2,0.697000,0.677875
0,mutual_knn,0.2,0.499100,0.317113
0,lcs_knn,0.2,0.793000,0.514125
0,cka,0.2,0.953551,0.617193
0,unbiased_cka,0.2,0.952776,0.613133
0,cknna,0.2,0.474625,0.322827
0,svcca,0.2,0.916068,0.536534
0,edit_distance_knn,0.2,0.780900,0.766262
1,cycle_knn,0.2,0.686000,0.700500
1,mutual_knn,0.2,0.490500,0.323000
1,lcs_knn,0.2,0.755000,0.525500
1,cka,0.2,0.954647,0.608808
1,unbiased_cka,0.2,0.953867,0.604279
1,cknna,0.2,0.461181,0.329811
1,svcca,0.2,0.915157,0.541554
1,edit_distance_knn,0.2,0.777100,0.767288
1,cycle_knn,0.6,0.693333,0.725500
1,mutual_knn,0.6,0.501733,0.368525
1,lcs_knn,0.6,0.785667,0.604750
1,cka,0.6,0.921053,0.704178
1,unbiased_cka,0.6,0.919661,0.699306
1,cknna,0.6,0.467499,0.345259
1,svcca,0.6,0.634233,0.579694
1,edit_distance_knn,0.6,0.780967,0.770175
1,cycle_knn,1.0,0.699400,-1.000000
1,mutual_knn,1.0,0.545980,-1.000000
1,lcs_knn,1.0,0.831800,-1.000000
1,cka,1.0,0.908301,-1.000000
1,unbiased_cka,1.0,0.906869,-1.000000
1,cknna,1.0,0.512899,-1.000000
1,svcca,1.0,0.580777,-1.000000
1,edit_distance_knn,1.0,0.783020,-1.000000
1,cycle_knn,0.8,0.700750,0.728500
1,mutual_knn,0.8,0.522125,0.388050
1,lcs_knn,0.8,0.807000,0.598500
1,cka,0.8,0.918681,0.674808
1,unbiased_cka,0.8,0.917345,0.667263
1,cknna,0.8,0.479605,0.373406
1,svcca,0.8,0.589171,0.574266
