seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.4,0.669500,0.682000
0,mutual_knn,0.4,0.581600,0.366667
0,lcs_knn,0.4,0.867500,0.597500
0,cka,0.4,0.883623,0.541484
0,unbiased_cka,0.4,0.878745,0.528936
0,cknna,0.4,0.553620,0.381441
0,svcca,0.4,0.572779,0.436611
0,edit_distance_knn,0.4,0.785300,0.770000
0,cycle_knn,0.6,0.672333,0.708750
0,mutual_knn,0.6,0.581800,0.404550
0,lcs_knn,0.6,0.886000,0.628750
0,cka,0.6,0.858443,0.576158
0,unbiased_cka,0.6,0.853168,0.560465
0,cknna,0.6,0.559522,0.403604
0,svcca,0.6,0.546260,0.417388
0,edit_distance_knn,0.6,0.786800,0.770800
0,cycle_knn,0.2,0.673000,0.662875
0,mutual_knn,0.2,0.577400,0.351538
0,lcs_knn,0.2,0.878000,0.557750
0,cka,0.2,0.915957,0.527439
0,unbiased_cka,0.2,0.911710,0.517076
0,cknna,0.2,0.529605,0.378825
0,svcca,0.2,0.712161,0.445234
0,edit_distance_knn,0.2,0.784500,0.768725
0,cycle_knn,0.0,-1.000000,0.645900
0,mutual_knn,0.0,-1.000000,0.334970
0,lcs_knn,0.0,-1.000000,0.535000
0,cka,0.0,-1.000000,0.519244
0,unbiased_cka,0.0,-1.000000,0.510517
0,cknna,0.0,-1.000000,0.373593
0,svcca,0.0,-1.000000,0.433811
0,edit_distance_knn,0.0,-1.000000,0.768100
0,cycle_knn,1.0,0.677000,-1.000000
0,mutual_knn,1.0,0.601320,-1.000000
0,lcs_knn,1.0,0.898400,-1.000000
0,cka,1.0,0.833382,-1.000000
0,unbiased_cka,1.0,0.828361,-1.000000
0,cknna,1.0,0.590174,-1.000000
0,svcca,1.0,0.502970,-1.000000
0,edit_distance_knn,1.0,0.789240,-1.000000
0,cycle_knn,0.8,0.671500,0.756500
0,mutual_knn,0.8,0.592725,0.424600
0,lcs_knn,0.8,0.882500,0.655500
0,cka,0.8,0.847320,0.633341
0,unbiased_cka,0.8,0.842294,0.613703
0,cknna,0.8,0.566699,0.417620
0,svcca,0.8,0.528890,0.465132
0,edit_distance_knn,0.8,0.788100,0.772100
1,cycle_knn,0.8,0.670500,0.740000
1,mutual_knn,0.8,0.595125,0.449350
1,lcs_knn,0.8,0.879750,0.693500
1,cka,0.8,0.850931,0.610797
1,unbiased_cka,0.8,0.846189,0.590725
1,cknna,0.8,0.571046,0.446398
1,svcca,0.8,0.520099,0.436451
1,edit_distance_knn,0.8,0.786725,0.775850
1,cycle_knn,0.2,0.720000,0.668125
1,mutual_knn,0.2,0.579800,0.355000
1,lcs_knn,0.2,0.864000,0.563125
1,cka,0.2,0.932535,0.522065
1,unbiased_cka,0.2,0.929564,0.511674
1,cknna,0.2,0.532641,0.389263
1,svcca,0.2,0.695808,0.429844
1,edit_distance_knn,0.2,0.783900,0.769175
1,cycle_knn,0.6,0.679333,0.707000
1,mutual_knn,0.6,0.576667,0.400875
1,lcs_knn,0.6,0.845333,0.616000
1,cka,0.6,0.863953,0.582905
1,unbiased_cka,0.6,0.859048,0.567863
1,cknna,0.6,0.543953,0.413449
1,svcca,0.6,0.535331,0.426239
1,edit_distance_knn,0.6,0.785700,0.771200
1,cycle_knn,0.0,-1.000000,0.651100
1,mutual_knn,0.0,-1.000000,0.328110
1,lcs_knn,0.0,-1.000000,0.527000
1,cka,0.0,-1.000000,0.502461
1,unbiased_cka,0.0,-1.000000,0.493240
1,cknna,0.0,-1.000000,0.366904
1,svcca,0.0,-1.000000,0.425077
1,edit_distance_knn,0.0,-1.000000,0.767700
1,cycle_knn,0.4,0.696500,0.684833
1,mutual_knn,0.4,0.578150,0.364933
1,lcs_knn,0.4,0.852500,0.584000
1,cka,0.4,0.900607,0.535062
1,unbiased_cka,0.4,0.896800,0.522297
1,cknna,0.4,0.544363,0.385761
1,svcca,0.4,0.597318,0.419799
