seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.4,0.664500,0.605667
0,mutual_knn,0.4,0.446000,0.215950
0,lcs_knn,0.4,0.701000,0.372833
0,cka,0.4,0.948587,0.481570
0,unbiased_cka,0.4,0.947945,0.477046
0,cknna,0.4,0.440816,0.209522
0,svcca,0.4,0.689837,0.428600
0,edit_distance_knn,0.4,0.775000,0.760350
0,cycle_knn,0.0,-1.000000,0.575600
0,mutual_knn,0.0,-1.000000,0.196270
0,lcs_knn,0.0,-1.000000,0.334300
0,cka,0.0,-1.000000,0.442917
0,unbiased_cka,0.0,-1.000000,0.439359
0,cknna,0.0,-1.000000,0.203106
0,svcca,0.0,-1.000000,0.430748
0,edit_distance_knn,0.0,-1.000000,0.758490
0,cycle_knn,0.8,0.676250,0.654500
0,mutual_knn,0.8,0.470275,0.277650
0,lcs_knn,0.8,0.733750,0.484000
0,cka,0.8,0.930240,0.649900
0,unbiased_cka,0.8,0.929413,0.645335
0,cknna,0.8,0.446112,0.236385
0,svcca,0.8,0.493866,0.596855
0,edit_distance_knn,0.8,0.776925,0.763350
0,cycle_knn,1.0,0.663800,-1.000000
0,mutual_knn,1.0,0.493040,-1.000000
0,lcs_knn,1.0,0.762800,-1.000000
0,cka,1.0,0.926382,-1.000000
0,unbiased_cka,1.0,0.925525,-1.000000
0,cknna,1.0,0.462351,-1.000000
0,svcca,1.0,0.453596,-1.000000
0,edit_distance_knn,1.0,0.778740,-1.000000
0,cycle_knn,0.2,0.663000,0.583125
0,mutual_knn,0.2,0.427500,0.199725
0,lcs_knn,0.2,0.670000,0.339625
0,cka,0.2,0.955127,0.468500
0,unbiased_cka,0.2,0.954570,0.464533
0,cknna,0.2,0.435131,0.198333
0,svcca,0.2,0.890528,0.427576
0,edit_distance_knn,0.2,0.771800,0.759325
0,cycle_knn,0.6,0.669667,0.616750
0,mutual_knn,0.6,0.468600,0.235525
0,lcs_knn,0.6,0.723000,0.388500
0,cka,0.6,0.938095,0.535497
0,unbiased_cka,0.6,0.937347,0.530811
0,cknna,0.6,0.442068,0.218594
0,svcca,0.6,0.565411,0.490233
0,edit_distance_knn,0.6,0.776233,0.760475
1,cycle_knn,0.2,0.626000,0.593500
1,mutual_knn,0.2,0.419000,0.204550
1,lcs_knn,0.2,0.676000,0.345000
1,cka,0.2,0.958800,0.478513
1,unbiased_cka,0.2,0.958309,0.474704
1,cknna,0.2,0.374940,0.196082
1,svcca,0.2,0.898389,0.466697
1,edit_distance_knn,0.2,0.772800,0.759175
1,cycle_knn,0.0,-1.000000,0.569200
1,mutual_knn,0.0,-1.000000,0.194100
1,lcs_knn,0.0,-1.000000,0.337700
1,cka,0.0,-1.000000,0.452505
1,unbiased_cka,0.0,-1.000000,0.448989
1,cknna,0.0,-1.000000,0.201488
1,svcca,0.0,-1.000000,0.410032
1,edit_distance_knn,0.0,-1.000000,0.759220
1,cycle_knn,0.8,0.667500,0.658000
1,mutual_knn,0.8,0.472100,0.256050
1,lcs_knn,0.8,0.722000,0.432000
1,cka,0.8,0.928010,0.525804
1,unbiased_cka,0.8,0.927152,0.518516
1,cknna,0.8,0.443765,0.223816
1,svcca,0.8,0.477206,0.490644
1,edit_distance_knn,0.8,0.775925,0.761350
