seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.6,0.633000,0.618500
0,mutual_knn,0.6,0.500267,0.265500
0,lcs_knn,0.6,0.751333,0.429000
0,cka,0.6,0.867305,0.434561
0,unbiased_cka,0.6,0.864063,0.421146
0,cknna,0.6,0.468741,0.259486
0,svcca,0.6,0.439442,0.325344
0,edit_distance_knn,0.6,0.777133,0.762875
0,cycle_knn,0.4,0.636000,0.590667
0,mutual_knn,0.4,0.493050,0.236333
0,lcs_knn,0.4,0.742500,0.378500
0,cka,0.4,0.898602,0.396260
0,unbiased_cka,0.4,0.895952,0.385494
0,cknna,0.4,0.461459,0.241814
0,svcca,0.4,0.489867,0.325176
0,edit_distance_knn,0.4,0.776550,0.760333
0,cycle_knn,1.0,0.634600,-1.000000
0,mutual_knn,1.0,0.529440,-1.000000
0,lcs_knn,1.0,0.793800,-1.000000
0,cka,1.0,0.836463,-1.000000
0,unbiased_cka,1.0,0.832934,-1.000000
0,cknna,1.0,0.503474,-1.000000
0,svcca,1.0,0.369950,-1.000000
0,edit_distance_knn,1.0,0.780160,-1.000000
0,cycle_knn,0.2,0.660000,0.556250
0,mutual_knn,0.2,0.471600,0.220862
0,lcs_knn,0.2,0.706000,0.358125
0,cka,0.2,0.927037,0.390153
0,unbiased_cka,0.2,0.924989,0.381357
0,cknna,0.2,0.406256,0.240718
0,svcca,0.2,0.722987,0.335921
0,edit_distance_knn,0.2,0.774200,0.760350
0,cycle_knn,0.8,0.637000,0.666500
0,mutual_knn,0.8,0.521450,0.288300
0,lcs_knn,0.8,0.758500,0.472000
0,cka,0.8,0.857937,0.502609
0,unbiased_cka,0.8,0.854665,0.487044
0,cknna,0.8,0.486126,0.261685
0,svcca,0.8,0.375895,0.402344
0,edit_distance_knn,0.8,0.777800,0.763800
0,cycle_knn,0.0,-1.000000,0.540400
0,mutual_knn,0.0,-1.000000,0.205040
0,lcs_knn,0.0,-1.000000,0.338500
0,cka,0.0,-1.000000,0.376013
0,unbiased_cka,0.0,-1.000000,0.368452
0,cknna,0.0,-1.000000,0.223988
0,svcca,0.0,-1.000000,0.333051
0,edit_distance_knn,0.0,-1.000000,0.759430
1,cycle_knn,0.0,-1.000000,0.536200
1,mutual_knn,0.0,-1.000000,0.206230
1,lcs_knn,0.0,-1.000000,0.338100
1,cka,0.0,-1.000000,0.362443
1,unbiased_cka,0.0,-1.000000,0.354652
1,cknna,0.0,-1.000000,0.228858
1,svcca,0.0,-1.000000,0.343847
1,edit_distance_knn,0.0,-1.000000,0.759410
1,cycle_knn,0.4,0.662000,0.581667
1,mutual_knn,0.4,0.507550,0.230967
1,lcs_knn,0.4,0.764000,0.369667
1,cka,0.4,0.911717,0.390574
1,unbiased_cka,0.4,0.909451,0.379810
1,cknna,0.4,0.475146,0.243530
1,svcca,0.4,0.504345,0.322223
1,edit_distance_knn,0.4,0.778000,0.759750
1,cycle_knn,1.0,0.625400,-1.000000
1,mutual_knn,1.0,0.536000,-1.000000
1,lcs_knn,1.0,0.794800,-1.000000
1,cka,1.0,0.843914,-1.000000
1,unbiased_cka,1.0,0.840542,-1.000000
1,cknna,1.0,0.500409,-1.000000
1,svcca,1.0,0.379040,-1.000000
1,edit_distance_knn,1.0,0.780020,-1.000000
1,cycle_knn,0.6,0.638333,0.611500
1,mutual_knn,0.6,0.504767,0.249225
1,lcs_knn,0.6,0.755667,0.400250
1,cka,0.6,0.880592,0.435497
1,unbiased_cka,0.6,0.877656,0.422353
1,cknna,0.6,0.476331,0.238692
1,svcca,0.6,0.413298,0.336803
1,edit_distance_knn,0.6,0.778300,0.760300
1,cycle_knn,0.8,0.633500,0.669000
1,mutual_knn,0.8,0.524775,0.301250
1,lcs_knn,0.8,0.783500,0.471000
1,cka,0.8,0.860477,0.477399
1,unbiased_cka,0.8,0.857310,0.460684
1,cknna,0.8,0.485118,0.289969
1,svcca,0.8,0.385517,0.339182
1,edit_distance_knn,0.8,0.778175,0.764050
1,cycle_knn,0.2,0.646000,0.550000
1,mutual_knn,0.2,0.502600,0.217763
1,lcs_knn,0.2,0.754000,0.348875
1,cka,0.2,0.939725,0.374056
1,unbiased_cka,0.2,0.938083,0.365045
1,cknna,0.2,0.470245,0.238125
1,svcca,0.2,0.696134,0.310338
1,edit_distance_knn,0.2,0.779000,0.759737
2,cycle_knn,0.0,-1.000000,0.537300
2,mutual_knn,0.0,-1.000000,0.205500
2,lcs_knn,0.0,-1.000000,0.342000
2,cka,0.0,-1.000000,0.362032
2,unbiased_cka,0.0,-1.000000,0.354321
2,cknna,0.0,-1.000000,0.225849
2,svcca,0.0,-1.000000,0.290500
2,edit_distance_knn,0.0,-1.000000,0.759400
2,cycle_knn,0.4,0.636500,0.580667
2,mutual_knn,0.4,0.499800,0.241217
2,lcs_knn,0.4,0.741000,0.383167
2,cka,0.4,0.896923,0.394103
2,unbiased_cka,0.4,0.894224,0.383255
2,cknna,0.4,0.466821,0.248681
2,svcca,0.4,0.486132,0.332841
2,edit_distance_knn,0.4,0.776600,0.761067
2,cycle_knn,0.6,0.633333,0.618750
2,mutual_knn,0.6,0.508100,0.250275
2,lcs_knn,0.6,0.750667,0.397000
2,cka,0.6,0.877154,0.421889
2,unbiased_cka,0.6,0.874146,0.409297
2,cknna,0.6,0.489164,0.230554
2,svcca,0.6,0.395859,0.373763
2,edit_distance_knn,0.6,0.776633,0.760425
2,cycle_knn,0.2,0.641000,0.552875
2,mutual_knn,0.2,0.475200,0.226663
2,lcs_knn,0.2,0.754000,0.371125
2,cka,0.2,0.934725,0.378121
2,unbiased_cka,0.2,0.932926,0.368905
2,cknna,0.2,0.419378,0.246362
2,svcca,0.2,0.691315,0.313835
2,edit_distance_knn,0.2,0.776400,0.760525
2,cycle_knn,1.0,0.628400,-1.000000
2,mutual_knn,1.0,0.528460,-1.000000
2,lcs_knn,1.0,0.795400,-1.000000
2,cka,1.0,0.839947,-1.000000
2,unbiased_cka,1.0,0.836478,-1.000000
2,cknna,1.0,0.498391,-1.000000
2,svcca,1.0,0.350199,-1.000000
2,edit_distance_knn,1.0,0.780680,-1.000000
2,cycle_knn,0.8,0.631250,0.680500
2,mutual_knn,0.8,0.514975,0.300800
2,lcs_knn,0.8,0.767250,0.465500
2,cka,0.8,0.852837,0.482731
2,unbiased_cka,0.8,0.849447,0.466236
2,cknna,0.8,0.487158,0.257066
2,svcca,0.8,0.344036,0.332482
2,edit_distance_knn,0.8,0.778475,0.763850
3,cycle_knn,0.6,0.636667,0.631500
3,mutual_knn,0.6,0.504533,0.241275
3,lcs_knn,0.6,0.744000,0.397500
3,cka,0.6,0.876896,0.482695
3,unbiased_cka,0.6,0.873925,0.471857
3,cknna,0.6,0.479304,0.234770
3,svcca,0.6,0.421009,0.419597
3,edit_distance_knn,0.6,0.775967,0.760600
3,cycle_knn,0.8,0.629750,0.700000
3,mutual_knn,0.8,0.517300,0.300200
3,lcs_knn,0.8,0.779250,0.481000
3,cka,0.8,0.854932,0.568779
3,unbiased_cka,0.8,0.851618,0.556238
3,cknna,0.8,0.486901,0.253804
3,svcca,0.8,0.387703,0.478524
3,edit_distance_knn,0.8,0.779025,0.763800
3,cycle_knn,0.4,0.651000,0.594000
3,mutual_knn,0.4,0.501600,0.235550
3,lcs_knn,0.4,0.759500,0.379833
3,cka,0.4,0.903150,0.427766
3,unbiased_cka,0.4,0.900671,0.417985
3,cknna,0.4,0.465852,0.237077
3,svcca,0.4,0.510008,0.352445
3,edit_distance_knn,0.4,0.778400,0.760200
3,cycle_knn,1.0,0.645400,-1.000000
3,mutual_knn,1.0,0.528780,-1.000000
3,lcs_knn,1.0,0.787000,-1.000000
3,cka,1.0,0.836753,-1.000000
3,unbiased_cka,1.0,0.833255,-1.000000
3,cknna,1.0,0.498896,-1.000000
3,svcca,1.0,0.326456,-1.000000
3,edit_distance_knn,1.0,0.779500,-1.000000
3,cycle_knn,0.2,0.649000,0.559875
3,mutual_knn,0.2,0.479100,0.215113
3,lcs_knn,0.2,0.738000,0.351625
3,cka,0.2,0.921092,0.386301
3,unbiased_cka,0.2,0.918886,0.377497
3,cknna,0.2,0.437049,0.232059
3,svcca,0.2,0.688292,0.332411
3,edit_distance_knn,0.2,0.776300,0.760038
3,cycle_knn,0.0,-1.000000,0.531900
3,mutual_knn,0.0,-1.000000,0.199700
3,lcs_knn,0.0,-1.000000,0.328700
3,cka,0.0,-1.000000,0.358180
3,unbiased_cka,0.0,-1.000000,0.350264
3,cknna,0.0,-1.000000,0.225886
3,svcca,0.0,-1.000000,0.309044
3,edit_distance_knn,0.0,-1.000000,0.759020
