seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.4,0.680500,0.668167
0,mutual_knn,0.4,0.458800,0.274483
0,lcs_knn,0.4,0.743500,0.461000
0,cka,0.4,0.900122,0.571671
0,unbiased_cka,0.4,0.898468,0.566991
0,cknna,0.4,0.425581,0.270751
0,svcca,0.4,0.711774,0.513133
0,edit_distance_knn,0.4,0.777350,0.763850
0,cycle_knn,0.8,0.686500,0.729000
0,mutual_knn,0.8,0.488050,0.356950
0,lcs_knn,0.8,0.752500,0.591500
0,cka,0.8,0.863979,0.707657
0,unbiased_cka,0.8,0.862094,0.702252
0,cknna,0.8,0.459855,0.323517
0,svcca,0.8,0.633251,0.681639
0,edit_distance_knn,0.8,0.777925,0.767350
0,cycle_knn,0.6,0.699667,0.688750
0,mutual_knn,0.6,0.494200,0.308100
0,lcs_knn,0.6,0.776667,0.493750
0,cka,0.6,0.885539,0.638813
0,unbiased_cka,0.6,0.883852,0.633971
0,cknna,0.6,0.468972,0.307944
0,svcca,0.6,0.659632,0.603826
0,edit_distance_knn,0.6,0.778667,0.764225
0,cycle_knn,1.0,0.685800,-1.000000
0,mutual_knn,1.0,0.522420,-1.000000
0,lcs_knn,1.0,0.794600,-1.000000
0,cka,1.0,0.855162,-1.000000
0,unbiased_cka,1.0,0.853305,-1.000000
0,cknna,1.0,0.495517,-1.000000
0,svcca,1.0,0.571338,-1.000000
0,edit_distance_knn,1.0,0.780960,-1.000000
0,cycle_knn,0.2,0.679000,0.667375
0,mutual_knn,0.2,0.445500,0.265338
0,lcs_knn,0.2,0.720000,0.444000
0,cka,0.2,0.929590,0.558204
0,unbiased_cka,0.2,0.928238,0.554173
0,cknna,0.2,0.395585,0.274755
0,svcca,0.2,0.912674,0.511363
0,edit_distance_knn,0.2,0.776200,0.762750
0,cycle_knn,0.0,-1.000000,0.645700
0,mutual_knn,0.0,-1.000000,0.245160
0,lcs_knn,0.0,-1.000000,0.417000
0,cka,0.0,-1.000000,0.522244
0,unbiased_cka,0.0,-1.000000,0.518563
0,cknna,0.0,-1.000000,0.261209
0,svcca,0.0,-1.000000,0.488987
0,edit_distance_knn,0.0,-1.000000,0.761660
1,cycle_knn,1.0,0.671800,-1.000000
1,mutual_knn,1.0,0.514840,-1.000000
1,lcs_knn,1.0,0.795000,-1.000000
1,cka,1.0,0.856054,-1.000000
1,unbiased_cka,1.0,0.854191,-1.000000
1,cknna,1.0,0.477702,-1.000000
1,svcca,1.0,0.600659,-1.000000
1,edit_distance_knn,1.0,0.780900,-1.000000
1,cycle_knn,0.8,0.674750,0.751500
1,mutual_knn,0.8,0.490800,0.347150
1,lcs_knn,0.8,0.762250,0.566500
1,cka,0.8,0.867190,0.622086
1,unbiased_cka,0.8,0.865332,0.613923
1,cknna,0.8,0.456219,0.331897
1,svcca,0.8,0.616304,0.600197
1,edit_distance_knn,0.8,0.777425,0.767750
1,cycle_knn,0.0,-1.000000,0.641600
1,mutual_knn,0.0,-1.000000,0.251620
1,lcs_knn,0.0,-1.000000,0.422400
1,cka,0.0,-1.000000,0.528780
1,unbiased_cka,0.0,-1.000000,0.525174
1,cknna,0.0,-1.000000,0.266795
1,svcca,0.0,-1.000000,0.469415
1,edit_distance_knn,0.0,-1.000000,0.762320
1,cycle_knn,0.4,0.676000,0.677667
1,mutual_knn,0.4,0.462000,0.276433
1,lcs_knn,0.4,0.726000,0.471167
1,cka,0.4,0.900454,0.565126
1,unbiased_cka,0.4,0.898708,0.560307
1,cknna,0.4,0.420436,0.276328
1,svcca,0.4,0.720363,0.515663
1,edit_distance_knn,0.4,0.775250,0.764600
1,cycle_knn,0.2,0.664000,0.665125
1,mutual_knn,0.2,0.445600,0.264650
1,lcs_knn,0.2,0.678000,0.440000
1,cka,0.2,0.935727,0.559999
1,unbiased_cka,0.2,0.934562,0.556172
1,cknna,0.2,0.386219,0.266442
1,svcca,0.2,0.925502,0.562332
1,edit_distance_knn,0.2,0.770800,0.763175
1,cycle_knn,0.6,0.654333,0.709250
1,mutual_knn,0.6,0.458900,0.312100
1,lcs_knn,0.6,0.706000,0.513250
1,cka,0.6,0.874102,0.624451
1,unbiased_cka,0.6,0.872111,0.619000
1,cknna,0.6,0.416165,0.295527
1,svcca,0.6,0.625088,0.545092
1,edit_distance_knn,0.6,0.774967,0.766125
2,cycle_knn,0.6,0.688333,0.691750
2,mutual_knn,0.6,0.465300,0.312575
2,lcs_knn,0.6,0.724000,0.505500
2,cka,0.6,0.880889,0.616498
2,unbiased_cka,0.6,0.879114,0.611009
2,cknna,0.6,0.426465,0.308144
2,svcca,0.6,0.627285,0.527228
2,edit_distance_knn,0.6,0.774767,0.765325
2,cycle_knn,0.4,0.720000,0.664500
2,mutual_knn,0.4,0.471000,0.291517
2,lcs_knn,0.4,0.744500,0.488167
2,cka,0.4,0.903911,0.593608
2,unbiased_cka,0.4,0.902318,0.589110
2,cknna,0.4,0.418345,0.290055
2,svcca,0.4,0.707890,0.530739
2,edit_distance_knn,0.4,0.775700,0.764733
2,cycle_knn,0.8,0.704500,0.744500
2,mutual_knn,0.8,0.485900,0.365050
2,lcs_knn,0.8,0.738750,0.573500
2,cka,0.8,0.867566,0.665289
2,unbiased_cka,0.8,0.865732,0.658410
2,cknna,0.8,0.452342,0.348402
2,svcca,0.8,0.631834,0.617503
2,edit_distance_knn,0.8,0.776175,0.767350
2,cycle_knn,0.0,-1.000000,0.640100
2,mutual_knn,0.0,-1.000000,0.251180
2,lcs_knn,0.0,-1.000000,0.420500
2,cka,0.0,-1.000000,0.524981
2,unbiased_cka,0.0,-1.000000,0.521289
2,cknna,0.0,-1.000000,0.265421
2,svcca,0.0,-1.000000,0.495229
2,edit_distance_knn,0.0,-1.000000,0.762100
2,cycle_knn,0.2,0.704000,0.657750
2,mutual_knn,0.2,0.449000,0.258888
2,lcs_knn,0.2,0.722000,0.443000
2,cka,0.2,0.942881,0.552852
2,unbiased_cka,0.2,0.941894,0.548783
2,cknna,0.2,0.421270,0.260635
2,svcca,0.2,0.904601,0.510283
2,edit_distance_knn,0.2,0.775700,0.762350
2,cycle_knn,1.0,0.695600,-1.000000
2,mutual_knn,1.0,0.509280,-1.000000
2,lcs_knn,1.0,0.781400,-1.000000
2,cka,1.0,0.852648,-1.000000
2,unbiased_cka,1.0,0.850752,-1.000000
2,cknna,1.0,0.479861,-1.000000
2,svcca,1.0,0.584775,-1.000000
2,edit_distance_knn,1.0,0.778300,-1.000000
3,cycle_knn,0.6,0.656000,0.697750
3,mutual_knn,0.6,0.475500,0.311425
3,lcs_knn,0.6,0.730000,0.523500
3,cka,0.6,0.876832,0.640229
3,unbiased_cka,0.6,0.874965,0.635500
3,cknna,0.6,0.427180,0.295883
3,svcca,0.6,0.653113,0.572224
3,edit_distance_knn,0.6,0.776033,0.766075
3,cycle_knn,0.2,0.689000,0.675750
3,mutual_knn,0.2,0.425600,0.276013
3,lcs_knn,0.2,0.671000,0.464375
3,cka,0.2,0.928966,0.576618
3,unbiased_cka,0.2,0.927556,0.572890
3,cknna,0.2,0.372503,0.275470
3,svcca,0.2,0.937089,0.515735
3,edit_distance_knn,0.2,0.772200,0.763900
3,cycle_knn,1.0,0.678200,-1.000000
3,mutual_knn,1.0,0.507260,-1.000000
3,lcs_knn,1.0,0.787000,-1.000000
3,cka,1.0,0.851304,-1.000000
3,unbiased_cka,1.0,0.849394,-1.000000
3,cknna,1.0,0.472677,-1.000000
3,svcca,1.0,0.596772,-1.000000
3,edit_distance_knn,1.0,0.781280,-1.000000
3,cycle_knn,0.8,0.677000,0.740500
3,mutual_knn,0.8,0.494400,0.349050
3,lcs_knn,0.8,0.764750,0.559000
3,cka,0.8,0.862553,0.696370
3,unbiased_cka,0.8,0.860612,0.690851
