seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.8,0.681000,0.763500
0,mutual_knn,0.8,0.565700,0.367350
0,lcs_knn,0.8,0.847750,0.574500
0,cka,0.8,0.768827,0.557563
0,unbiased_cka,0.8,0.763149,0.539200
0,cknna,0.8,0.546593,0.358284
0,svcca,0.8,0.502098,0.454715
0,edit_distance_knn,0.8,0.783875,0.769000
0,cycle_knn,0.2,0.693000,0.651125
0,mutual_knn,0.2,0.542300,0.282325
0,lcs_knn,0.2,0.817000,0.454875
0,cka,0.2,0.868761,0.449364
0,unbiased_cka,0.2,0.862924,0.441647
0,cknna,0.2,0.514626,0.304803
0,svcca,0.2,0.699873,0.425715
0,edit_distance_knn,0.2,0.779200,0.764012
0,cycle_knn,0.4,0.691000,0.683500
0,mutual_knn,0.4,0.535850,0.304517
0,lcs_knn,0.4,0.786000,0.483167
0,cka,0.4,0.809884,0.471095
0,unbiased_cka,0.4,0.803273,0.461424
0,cknna,0.4,0.496833,0.321136
0,svcca,0.4,0.620332,0.431777
0,edit_distance_knn,0.4,0.778950,0.764550
0,cycle_knn,0.0,-1.000000,0.635600
0,mutual_knn,0.0,-1.000000,0.257720
0,lcs_knn,0.0,-1.000000,0.423900
0,cka,0.0,-1.000000,0.429713
0,unbiased_cka,0.0,-1.000000,0.423221
0,cknna,0.0,-1.000000,0.276223
0,svcca,0.0,-1.000000,0.423259
0,edit_distance_knn,0.0,-1.000000,0.762240
0,cycle_knn,0.6,0.678000,0.719250
0,mutual_knn,0.6,0.549967,0.340450
0,lcs_knn,0.6,0.814000,0.537750
0,cka,0.6,0.783238,0.496250
0,unbiased_cka,0.6,0.777026,0.483643
0,cknna,0.6,0.524952,0.344056
0,svcca,0.6,0.537925,0.420284
0,edit_distance_knn,0.6,0.781400,0.767100
0,cycle_knn,1.0,0.688600,-1.000000
0,mutual_knn,1.0,0.575060,-1.000000
0,lcs_knn,1.0,0.852000,-1.000000
0,cka,1.0,0.762286,-1.000000
0,unbiased_cka,1.0,0.757181,-1.000000
0,cknna,1.0,0.560083,-1.000000
0,svcca,1.0,0.494867,-1.000000
0,edit_distance_knn,1.0,0.785020,-1.000000
1,cycle_knn,0.4,0.674500,0.677833
1,mutual_knn,0.4,0.555800,0.305750
1,lcs_knn,0.4,0.818000,0.486667
1,cka,0.4,0.832487,0.470189
1,unbiased_cka,0.4,0.826931,0.460562
1,cknna,0.4,0.507103,0.324353
1,svcca,0.4,0.596888,0.419708
1,edit_distance_knn,0.4,0.781000,0.765717
1,cycle_knn,0.2,0.703000,0.651875
1,mutual_knn,0.2,0.543300,0.289163
1,lcs_knn,0.2,0.812000,0.468500
1,cka,0.2,0.880341,0.458193
1,unbiased_cka,0.2,0.875261,0.450486
1,cknna,0.2,0.474693,0.314350
1,svcca,0.2,0.739617,0.402089
1,edit_distance_knn,0.2,0.779900,0.764637
1,cycle_knn,0.0,-1.000000,0.637200
1,mutual_knn,0.0,-1.000000,0.262630
1,lcs_knn,0.0,-1.000000,0.438500
1,cka,0.0,-1.000000,0.443142
1,unbiased_cka,0.0,-1.000000,0.436682
1,cknna,0.0,-1.000000,0.290547
1,svcca,0.0,-1.000000,0.439229
1,edit_distance_knn,0.0,-1.000000,0.762940
1,cycle_knn,0.8,0.676500,0.759500
1,mutual_knn,0.8,0.562525,0.383050
1,lcs_knn,0.8,0.840750,0.584000
1,cka,0.8,0.771160,0.530886
1,unbiased_cka,0.8,0.765620,0.512107
1,cknna,0.8,0.536889,0.388841
1,svcca,0.8,0.541426,0.422810
1,edit_distance_knn,0.8,0.783600,0.770600
