seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.8,0.714500,0.744000
0,mutual_knn,0.8,0.456650,0.342900
0,lcs_knn,0.8,0.699250,0.554500
0,cka,0.8,0.788792,0.732931
0,unbiased_cka,0.8,0.786439,0.728748
0,cknna,0.8,0.433817,0.311630
0,svcca,0.8,0.642084,0.702380
0,edit_distance_knn,0.8,0.774075,0.764800
0,cycle_knn,0.0,-1.000000,0.631200
0,mutual_knn,0.0,-1.000000,0.219680
0,lcs_knn,0.0,-1.000000,0.370000
0,cka,0.0,-1.000000,0.556342
0,unbiased_cka,0.0,-1.000000,0.553950
0,cknna,0.0,-1.000000,0.228853
0,svcca,0.0,-1.000000,0.531812
0,edit_distance_knn,0.0,-1.000000,0.759840
0,cycle_knn,0.6,0.705000,0.676750
0,mutual_knn,0.6,0.434767,0.271925
0,lcs_knn,0.6,0.680333,0.473250
0,cka,0.6,0.813441,0.634841
0,unbiased_cka,0.6,0.811104,0.630995
0,cknna,0.6,0.410671,0.258842
0,svcca,0.6,0.689998,0.620930
0,edit_distance_knn,0.6,0.773267,0.763650
0,cycle_knn,0.4,0.697000,0.670333
0,mutual_knn,0.4,0.430250,0.253900
0,lcs_knn,0.4,0.698500,0.430333
0,cka,0.4,0.846174,0.593773
0,unbiased_cka,0.4,0.843853,0.590459
0,cknna,0.4,0.407343,0.248269
0,svcca,0.4,0.730565,0.581682
0,edit_distance_knn,0.4,0.775700,0.761817
0,cycle_knn,0.2,0.721000,0.651625
0,mutual_knn,0.2,0.412300,0.240850
0,lcs_knn,0.2,0.673000,0.410000
0,cka,0.2,0.875120,0.568678
0,unbiased_cka,0.2,0.872744,0.565910
0,cknna,0.2,0.384140,0.245024
0,svcca,0.2,0.872385,0.553926
0,edit_distance_knn,0.2,0.771900,0.761425
0,cycle_knn,1.0,0.719000,-1.000000
0,mutual_knn,1.0,0.472100,-1.000000
0,lcs_knn,1.0,0.733600,-1.000000
0,cka,1.0,0.774843,-1.000000
0,unbiased_cka,1.0,0.772526,-1.000000
0,cknna,1.0,0.450049,-1.000000
0,svcca,1.0,0.625940,-1.000000
0,edit_distance_knn,1.0,0.775760,-1.000000
1,cycle_knn,0.8,0.691750,0.749000
1,mutual_knn,0.8,0.448475,0.333700
1,lcs_knn,0.8,0.691250,0.522000
1,cka,0.8,0.769548,0.658725
1,unbiased_cka,0.8,0.766837,0.652679
1,cknna,0.8,0.410499,0.330526
1,svcca,0.8,0.614005,0.617675
1,edit_distance_knn,0.8,0.773600,0.765850
1,cycle_knn,0.2,0.672000,0.648625
1,mutual_knn,0.2,0.422600,0.241300
1,lcs_knn,0.2,0.659000,0.416875
1,cka,0.2,0.894781,0.568273
1,unbiased_cka,0.2,0.892761,0.565408
1,cknna,0.2,0.382975,0.248934
1,svcca,0.2,0.872474,0.552238
1,edit_distance_knn,0.2,0.768500,0.761225
