seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,0.0,-1.000000,0.625300
0,mutual_knn,0.0,-1.000000,0.227400
0,lcs_knn,0.0,-1.000000,0.393000
0,cka,0.0,-1.000000,0.431710
0,unbiased_cka,0.0,-1.000000,0.426996
0,cknna,0.0,-1.000000,0.248928
0,svcca,0.0,-1.000000,0.404097
0,edit_distance_knn,0.0,-1.000000,0.760110
0,cycle_knn,0.6,0.705333,0.712250
0,mutual_knn,0.6,0.526633,0.312600
0,lcs_knn,0.6,0.772667,0.509500
0,cka,0.6,0.688302,0.507056
0,unbiased_cka,0.6,0.681269,0.497787
0,cknna,0.6,0.500930,0.323188
0,svcca,0.6,0.552849,0.442610
0,edit_distance_knn,0.6,0.779000,0.765525
0,cycle_knn,0.2,0.697000,0.641500
0,mutual_knn,0.2,0.520700,0.245675
0,lcs_knn,0.2,0.772000,0.415000
0,cka,0.2,0.785840,0.453287
0,unbiased_cka,0.2,0.776976,0.447840
0,cknna,0.2,0.489308,0.260203
0,svcca,0.2,0.724579,0.430049
0,edit_distance_knn,0.2,0.778800,0.761100
0,cycle_knn,1.0,0.711000,-1.000000
0,mutual_knn,1.0,0.543740,-1.000000
0,lcs_knn,1.0,0.801800,-1.000000
0,cka,1.0,0.663935,-1.000000
0,unbiased_cka,1.0,0.658636,-1.000000
0,cknna,1.0,0.538839,-1.000000
0,svcca,1.0,0.488589,-1.000000
0,edit_distance_knn,1.0,0.781300,-1.000000
0,cycle_knn,0.8,0.712500,0.770500
0,mutual_knn,0.8,0.534625,0.355900
0,lcs_knn,0.8,0.801750,0.578000
0,cka,0.8,0.670615,0.547629
0,unbiased_cka,0.8,0.664553,0.532770
0,cknna,0.8,0.523110,0.362845
0,svcca,0.8,0.485203,0.518901
0,edit_distance_knn,0.8,0.780550,0.767900
0,cycle_knn,0.4,0.699000,0.673167
0,mutual_knn,0.4,0.516600,0.270450
0,lcs_knn,0.4,0.791000,0.448833
0,cka,0.4,0.709164,0.455912
0,unbiased_cka,0.4,0.700611,0.448722
0,cknna,0.4,0.489149,0.288159
0,svcca,0.4,0.566840,0.417594
0,edit_distance_knn,0.4,0.778550,0.763067
1,cycle_knn,0.0,-1.000000,0.620900
1,mutual_knn,0.0,-1.000000,0.224840
1,lcs_knn,0.0,-1.000000,0.382200
1,cka,0.0,-1.000000,0.439284
1,unbiased_cka,0.0,-1.000000,0.434692
1,cknna,0.0,-1.000000,0.247763
1,svcca,0.0,-1.000000,0.428750
1,edit_distance_knn,0.0,-1.000000,0.759760
1,cycle_knn,0.2,0.717000,0.646625
1,mutual_knn,0.2,0.520800,0.247063
1,lcs_knn,0.2,0.747000,0.410750
1,cka,0.2,0.795694,0.442873
1,unbiased_cka,0.2,0.787464,0.437347
1,cknna,0.2,0.465123,0.266570
1,svcca,0.2,0.703200,0.403689
1,edit_distance_knn,0.2,0.775300,0.761300
1,cycle_knn,0.8,0.705250,0.765500
1,mutual_knn,0.8,0.532875,0.348900
1,lcs_knn,0.8,0.783500,0.565500
1,cka,0.8,0.682444,0.518777
1,unbiased_cka,0.8,0.676685,0.503413
1,cknna,0.8,0.517383,0.365408
1,svcca,0.8,0.545220,0.470655
1,edit_distance_knn,0.8,0.779475,0.766300
1,cycle_knn,0.4,0.702500,0.678000
1,mutual_knn,0.4,0.531250,0.277817
1,lcs_knn,0.4,0.772500,0.468333
1,cka,0.4,0.739566,0.463170
1,unbiased_cka,0.4,0.732131,0.456138
1,cknna,0.4,0.504251,0.295292
1,svcca,0.4,0.573451,0.422893
1,edit_distance_knn,0.4,0.777800,0.763317
1,cycle_knn,0.6,0.693000,0.720750
1,mutual_knn,0.6,0.518033,0.320375
1,lcs_knn,0.6,0.777000,0.526000
1,cka,0.6,0.687857,0.502484
1,unbiased_cka,0.6,0.680674,0.493093
1,cknna,0.6,0.500929,0.338617
1,svcca,0.6,0.517145,0.444287
1,edit_distance_knn,0.6,0.777867,0.766550
1,cycle_knn,1.0,0.704000,-1.000000
1,mutual_knn,1.0,0.551360,-1.000000
1,lcs_knn,1.0,0.821200,-1.000000
1,cka,1.0,0.678740,-1.000000
1,unbiased_cka,1.0,0.673665,-1.000000
1,cknna,1.0,0.537502,-1.000000
1,svcca,1.0,0.503998,-1.000000
1,edit_distance_knn,1.0,0.782080,-1.000000
2,cycle_knn,0.4,0.705000,0.683833
2,mutual_knn,0.4,0.503400,0.280867
2,lcs_knn,0.4,0.766500,0.457333
2,cka,0.4,0.719798,0.466249
2,unbiased_cka,0.4,0.711834,0.459223
2,cknna,0.4,0.478029,0.293429
2,svcca,0.4,0.577728,0.440031
2,edit_distance_knn,0.4,0.776600,0.762167
2,cycle_knn,0.6,0.692000,0.712750
2,mutual_knn,0.6,0.518767,0.304675
2,lcs_knn,0.6,0.733000,0.499500
2,cka,0.6,0.689337,0.508034
2,unbiased_cka,0.6,0.682457,0.499072
2,cknna,0.6,0.490303,0.313453
2,svcca,0.6,0.543491,0.471790
2,edit_distance_knn,0.6,0.775733,0.764375
2,cycle_knn,1.0,0.688200,-1.000000
2,mutual_knn,1.0,0.543600,-1.000000
2,lcs_knn,1.0,0.796200,-1.000000
2,cka,1.0,0.663985,-1.000000
2,unbiased_cka,1.0,0.658733,-1.000000
2,cknna,1.0,0.534332,-1.000000
2,svcca,1.0,0.512275,-1.000000
2,edit_distance_knn,1.0,0.780360,-1.000000
2,cycle_knn,0.8,0.692250,0.776500
2,mutual_knn,0.8,0.526075,0.371650
2,lcs_knn,0.8,0.770750,0.596000
2,cka,0.8,0.667206,0.567478
2,unbiased_cka,0.8,0.661116,0.553657
2,cknna,0.8,0.510614,0.375664
2,svcca,0.8,0.540161,0.501320
2,edit_distance_knn,0.8,0.777275,0.768700
2,cycle_knn,0.0,-1.000000,0.621500
2,mutual_knn,0.0,-1.000000,0.222100
2,lcs_knn,0.0,-1.000000,0.374900
2,cka,0.0,-1.000000,0.424002
2,unbiased_cka,0.0,-1.000000,0.419271
2,cknna,0.0,-1.000000,0.235320
2,svcca,0.0,-1.000000,0.415161
2,edit_distance_knn,0.0,-1.000000,0.759720
2,cycle_knn,0.2,0.701000,0.643125
2,mutual_knn,0.2,0.502400,0.254600
2,lcs_knn,0.2,0.733000,0.428125
2,cka,0.2,0.815057,0.439232
2,unbiased_cka,0.2,0.808005,0.433547
2,cknna,0.2,0.468439,0.274085
2,svcca,0.2,0.720409,0.394349
2,edit_distance_knn,0.2,0.775300,0.762162
3,cycle_knn,0.4,0.698000,0.673667
3,mutual_knn,0.4,0.520050,0.270400
3,lcs_knn,0.4,0.752500,0.443000
3,cka,0.4,0.737211,0.481525
3,unbiased_cka,0.4,0.729790,0.474930
