seed,metric,frac_overlap,metric_train_ds
0,cycle_knn,1.0,0.922800
0,mutual_knn,1.0,0.511430
0,lcs_knn,1.0,0.794900
0,cka,1.0,0.997607
0,unbiased_cka,1.0,0.996087
0,cknna,1.0,0.476837
0,svcca,1.0,0.785479
0,edit_distance_knn,1.0,0.781520
0,cycle_knn,0.25,0.908900
0,mutual_knn,0.25,0.478610
0,lcs_knn,0.25,0.746600
0,cka,0.25,0.996868
0,unbiased_cka,0.25,0.995509
0,cknna,0.25,0.447647
0,svcca,0.25,0.861017
0,edit_distance_knn,0.25,0.778030
0,cycle_knn,0.5,0.914800
0,mutual_knn,0.5,0.495140
0,lcs_knn,0.5,0.769600
0,cka,0.5,0.996400
0,unbiased_cka,0.5,0.995034
0,cknna,0.5,0.463867
0,svcca,0.5,0.839141
0,edit_distance_knn,0.5,0.779430
0,cycle_knn,0.75,0.914800
0,mutual_knn,0.75,0.500900
0,lcs_knn,0.75,0.776400
0,cka,0.75,0.996949
0,unbiased_cka,0.75,0.995729
0,cknna,0.75,0.467091
0,svcca,0.75,0.844825
0,edit_distance_knn,0.75,0.780430
0,cycle_knn,0.0,0.912300
0,mutual_knn,0.0,0.492420
0,lcs_knn,0.0,0.770900
0,cka,0.0,0.992249
0,unbiased_cka,0.0,0.990693
0,cknna,0.0,0.455738
0,svcca,0.0,0.802443
0,edit_distance_knn,0.0,0.779870
1,cycle_knn,1.0,0.919200
1,mutual_knn,1.0,0.489430
1,lcs_knn,1.0,0.758700
1,cka,1.0,0.997394
1,unbiased_cka,1.0,0.995795
1,cknna,1.0,0.458052
1,svcca,1.0,0.787612
1,edit_distance_knn,1.0,0.778830
1,cycle_knn,0.25,0.913900
1,mutual_knn,0.25,0.485440
1,lcs_knn,0.25,0.761000
1,cka,0.25,0.992391
1,unbiased_cka,0.25,0.990620
1,cknna,0.25,0.450623
1,svcca,0.25,0.790500
1,edit_distance_knn,0.25,0.779320
1,cycle_knn,0.5,0.914100
1,mutual_knn,0.5,0.474830
1,lcs_knn,0.5,0.743300
1,cka,0.5,0.994108
1,unbiased_cka,0.5,0.992578
1,cknna,0.5,0.438567
1,svcca,0.5,0.787612
1,edit_distance_knn,0.5,0.777110
1,cycle_knn,0.75,0.912700
1,mutual_knn,0.75,0.475830
1,lcs_knn,0.75,0.749400
1,cka,0.75,0.995544
1,unbiased_cka,0.75,0.994348
1,cknna,0.75,0.447079
1,svcca,0.75,0.788951
1,edit_distance_knn,0.75,0.777680
1,cycle_knn,0.0,0.909000
1,mutual_knn,0.0,0.484230
1,lcs_knn,0.0,0.753000
1,cka,0.0,0.994423
1,unbiased_cka,0.0,0.992717
1,cknna,0.0,0.450877
1,svcca,0.0,0.773432
1,edit_distance_knn,0.0,0.778380
2,cycle_knn,1.0,0.916500
2,mutual_knn,1.0,0.496390
2,lcs_knn,1.0,0.766700
2,cka,1.0,0.997552
2,unbiased_cka,1.0,0.996331
2,cknna,1.0,0.459644
2,svcca,1.0,0.746033
2,edit_distance_knn,1.0,0.778820
2,cycle_knn,0.25,0.911200
2,mutual_knn,0.25,0.474590
2,lcs_knn,0.25,0.750500
2,cka,0.25,0.988794
2,unbiased_cka,0.25,0.986923
2,cknna,0.25,0.447044
2,svcca,0.25,0.781169
2,edit_distance_knn,0.25,0.777780
2,cycle_knn,0.5,0.913800
2,mutual_knn,0.5,0.486910
2,lcs_knn,0.5,0.757200
2,cka,0.5,0.997221
2,unbiased_cka,0.5,0.995924
2,cknna,0.5,0.460147
2,svcca,0.5,0.797724
2,edit_distance_knn,0.5,0.778460
2,cycle_knn,0.75,0.915900
2,mutual_knn,0.75,0.490560
2,lcs_knn,0.75,0.755300
2,cka,0.75,0.992918
2,unbiased_cka,0.75,0.991414
2,cknna,0.75,0.454265
2,svcca,0.75,0.812034
2,edit_distance_knn,0.75,0.778490
2,cycle_knn,0.0,0.913100
2,mutual_knn,0.0,0.474280
2,lcs_knn,0.0,0.748600
2,cka,0.0,0.988003
2,unbiased_cka,0.0,0.986267
2,cknna,0.0,0.441746
2,svcca,0.0,0.828726
2,edit_distance_knn,0.0,0.777520
3,cycle_knn,1.0,0.931900
3,mutual_knn,1.0,0.508100
3,lcs_knn,1.0,0.784600
3,cka,1.0,0.978229
3,unbiased_cka,1.0,0.976612
3,cknna,1.0,0.471997
3,svcca,1.0,0.851905
3,edit_distance_knn,1.0,0.779530
3,cycle_knn,0.25,0.919000
3,mutual_knn,0.25,0.488900
3,lcs_knn,0.25,0.752500
3,cka,0.25,0.993181
3,unbiased_cka,0.25,0.991649
3,cknna,0.25,0.455280
3,svcca,0.25,0.858694
3,edit_distance_knn,0.25,0.777930
3,cycle_knn,0.5,0.920100
3,mutual_knn,0.5,0.489140
3,lcs_knn,0.5,0.764900
3,cka,0.5,0.978290
3,unbiased_cka,0.5,0.977122
3,cknna,0.5,0.456471
3,svcca,0.5,0.788708
3,edit_distance_knn,0.5,0.778870
3,cycle_knn,0.75,0.924500
3,mutual_knn,0.75,0.501500
3,lcs_knn,0.75,0.789300
3,cka,0.75,0.979559
3,unbiased_cka,0.75,0.978343
3,cknna,0.75,0.460381
3,svcca,0.75,0.819966
3,edit_distance_knn,0.75,0.780880
3,cycle_knn,0.0,0.910100
3,mutual_knn,0.0,0.477330
3,lcs_knn,0.0,0.739300
3,cka,0.0,0.977838
3,unbiased_cka,0.0,0.976576
3,cknna,0.0,0.443323
3,svcca,0.0,0.827549
3,edit_distance_knn,0.0,0.777350
