seed,metric,frac_overlap,metric_tinycodes
0,cycle_knn,0.0,0.893300
0,mutual_knn,0.0,0.927520
0,lcs_knn,0.0,1.837300
0,cka,0.0,0.998892
0,unbiased_cka,0.0,0.998028
0,cknna,0.0,0.923524
0,svcca,0.0,0.807899
0,edit_distance_knn,0.0,0.896850
0,cycle_knn,0.2,0.898300
0,mutual_knn,0.2,0.929820
0,lcs_knn,0.2,1.848500
0,cka,0.2,0.998920
0,unbiased_cka,0.2,0.998145
0,cknna,0.2,0.926460
0,svcca,0.2,0.784838
0,edit_distance_knn,0.2,0.898190
0,cycle_knn,0.4,0.897000
0,mutual_knn,0.4,0.925540
0,lcs_knn,0.4,1.835100
0,cka,0.4,0.998764
0,unbiased_cka,0.4,0.997961
0,cknna,0.4,0.924823
0,svcca,0.4,0.862315
0,edit_distance_knn,0.4,0.896570
0,cycle_knn,0.6,0.896000
0,mutual_knn,0.6,0.928450
0,lcs_knn,0.6,1.842300
0,cka,0.6,0.998797
0,unbiased_cka,0.6,0.997972
0,cknna,0.6,0.925450
0,svcca,0.6,0.861790
0,edit_distance_knn,0.6,0.897670
0,cycle_knn,0.8,0.891200
0,mutual_knn,0.8,0.928410
0,lcs_knn,0.8,1.848500
0,cka,0.8,0.998868
0,unbiased_cka,0.8,0.998039
0,cknna,0.8,0.925377
0,svcca,0.8,0.865936
0,edit_distance_knn,0.8,0.898560
0,cycle_knn,1.0,0.892100
0,mutual_knn,1.0,0.928950
0,lcs_knn,1.0,1.845300
0,cka,1.0,0.998922
0,unbiased_cka,1.0,0.998222
0,cknna,1.0,0.925381
0,svcca,1.0,0.831803
0,edit_distance_knn,1.0,0.898270
1,cycle_knn,0.0,0.898100
1,mutual_knn,0.0,0.927710
1,lcs_knn,0.0,1.842300
1,cka,0.0,0.998881
1,unbiased_cka,0.0,0.997828
1,cknna,0.0,0.926070
1,svcca,0.0,0.796624
1,edit_distance_knn,0.0,0.897520
1,cycle_knn,0.2,0.890800
1,mutual_knn,0.2,0.927330
1,lcs_knn,0.2,1.838600
1,cka,0.2,0.998916
1,unbiased_cka,0.2,0.998087
1,cknna,0.2,0.923921
1,svcca,0.2,0.837789
1,edit_distance_knn,0.2,0.897260
1,cycle_knn,0.4,0.893600
1,mutual_knn,0.4,0.927020
1,lcs_knn,0.4,1.833200
1,cka,0.4,0.998816
1,unbiased_cka,0.4,0.997949
1,cknna,0.4,0.926083
1,svcca,0.4,0.837500
1,edit_distance_knn,0.4,0.896090
1,cycle_knn,0.6,0.899800
1,mutual_knn,0.6,0.926510
1,lcs_knn,0.6,1.838800
1,cka,0.6,0.998837
1,unbiased_cka,0.6,0.998036
1,cknna,0.6,0.923414
1,svcca,0.6,0.871765
1,edit_distance_knn,0.6,0.896630
1,cycle_knn,0.8,0.894500
1,mutual_knn,0.8,0.926470
1,lcs_knn,0.8,1.836700
1,cka,0.8,0.998814
1,unbiased_cka,0.8,0.997852
1,cknna,0.8,0.923162
1,svcca,0.8,0.812675
1,edit_distance_knn,0.8,0.896660
1,cycle_knn,1.0,0.897000
1,mutual_knn,1.0,0.926610
1,lcs_knn,1.0,1.831800
1,cka,1.0,0.998849
1,unbiased_cka,1.0,0.997976
1,cknna,1.0,0.924835
1,svcca,1.0,0.814410
1,edit_distance_knn,1.0,0.895990
2,cycle_knn,0.0,0.894900
2,mutual_knn,0.0,0.928420
2,lcs_knn,0.0,1.839900
2,cka,0.0,0.998871
2,unbiased_cka,0.0,0.998153
2,cknna,0.0,0.926369
2,svcca,0.0,0.813294
2,edit_distance_knn,0.0,0.897240
2,cycle_knn,0.2,0.895500
2,mutual_knn,0.2,0.928860
2,lcs_knn,0.2,1.850700
2,cka,0.2,0.998903
2,unbiased_cka,0.2,0.998123
2,cknna,0.2,0.924912
2,svcca,0.2,0.848460
2,edit_distance_knn,0.2,0.898320
2,cycle_knn,0.4,0.902200
2,mutual_knn,0.4,0.927590
2,lcs_knn,0.4,1.840600
2,cka,0.4,0.998844
2,unbiased_cka,0.4,0.997975
2,cknna,0.4,0.925178
2,svcca,0.4,0.816818
2,edit_distance_knn,0.4,0.897360
2,cycle_knn,0.6,0.894400
2,mutual_knn,0.6,0.925960
2,lcs_knn,0.6,1.834000
2,cka,0.6,0.998719
2,unbiased_cka,0.6,0.998003
2,cknna,0.6,0.925463
2,svcca,0.6,0.791995
2,edit_distance_knn,0.6,0.896930
2,cycle_knn,0.8,0.898200
2,mutual_knn,0.8,0.927040
2,lcs_knn,0.8,1.828000
2,cka,0.8,0.998832
2,unbiased_cka,0.8,0.997978
2,cknna,0.8,0.926353
2,svcca,0.8,0.831280
2,edit_distance_knn,0.8,0.895490
2,cycle_knn,1.0,0.894000
2,mutual_knn,1.0,0.928150
2,lcs_knn,1.0,1.832500
2,cka,1.0,0.998790
2,unbiased_cka,1.0,0.997957
2,cknna,1.0,0.927996
2,svcca,1.0,0.823279
2,edit_distance_knn,1.0,0.896060
3,cycle_knn,0.0,0.889900
3,mutual_knn,0.0,0.927520
3,lcs_knn,0.0,1.835900
3,cka,0.0,0.998863
3,unbiased_cka,0.0,0.998087
3,cknna,0.0,0.927778
3,svcca,0.0,0.803650
3,edit_distance_knn,0.0,0.896460
3,cycle_knn,0.2,0.892900
3,mutual_knn,0.2,0.927360
3,lcs_knn,0.2,1.839400
3,cka,0.2,0.998841
3,unbiased_cka,0.2,0.998079
3,cknna,0.2,0.926623
3,svcca,0.2,0.813255
3,edit_distance_knn,0.2,0.897440
3,cycle_knn,0.4,0.894200
3,mutual_knn,0.4,0.928280
3,lcs_knn,0.4,1.833500
3,cka,0.4,0.998726
3,unbiased_cka,0.4,0.997982
3,cknna,0.4,0.926730
3,svcca,0.4,0.828725
3,edit_distance_knn,0.4,0.896250
3,cycle_knn,0.6,0.895800
3,mutual_knn,0.6,0.928500
3,lcs_knn,0.6,1.843500
3,cka,0.6,0.998943
3,unbiased_cka,0.6,0.998260
3,cknna,0.6,0.926361
3,svcca,0.6,0.850660
3,edit_distance_knn,0.6,0.897970
3,cycle_knn,0.8,0.895500
3,mutual_knn,0.8,0.924920
3,lcs_knn,0.8,1.828700
3,cka,0.8,0.998795
3,unbiased_cka,0.8,0.998023
3,cknna,0.8,0.920878
3,svcca,0.8,0.806120
3,edit_distance_knn,0.8,0.895830
3,cycle_knn,1.0,0.899000
3,mutual_knn,1.0,0.928310
3,lcs_knn,1.0,1.847500
3,cka,1.0,0.998936
3,unbiased_cka,1.0,0.998173
3,cknna,1.0,0.927678
3,svcca,1.0,0.796807
