seed,frac_overlap,transfer_asr,normal_asr
0,0.0,0.96,0.96
0,0.0,0.84,0.9
0,0.2,1.0,0.98
0,0.2,0.92,0.96
0,0.4,0.96,0.96
0,0.4,0.94,1.0
0,0.6,0.94,1.0
0,0.6,0.98,0.98
0,0.8,0.94,0.98
0,0.8,0.98,1.0
0,1.0,0.96,0.96
0,1.0,0.94,0.88
1,0.0,0.96,0.98
1,0.0,0.98,1.0
1,0.2,0.92,0.92
1,0.2,1.0,0.9
1,0.4,0.96,0.94
1,0.4,0.88,0.96
1,0.6,0.8,0.96
1,0.6,0.96,0.74
1,0.8,0.94,0.88
1,0.8,0.98,0.92
1,1.0,0.9,0.96
1,1.0,0.96,0.96
2,0.0,0.88,0.88
2,0.0,0.92,0.92
2,0.2,0.96,0.94
2,0.2,0.84,0.84
2,0.4,0.9,0.94
2,0.4,0.98,1.0
2,0.6,0.88,0.88
2,0.6,0.88,0.84
2,0.8,0.96,0.98
2,0.8,0.9,0.96
2,1.0,0.92,0.92
2,1.0,0.9,0.94
3,0.0,0.98,0.9
3,0.0,0.96,0.92
3,0.2,0.94,0.94
3,0.2,0.86,0.9
3,0.4,0.92,0.94
3,0.4,1.0,0.98
3,0.6,0.96,0.88
3,0.6,0.96,0.94
3,0.8,0.96,0.94
3,0.8,0.96,0.98
3,1.0,0.96,0.86
3,1.0,0.82,0.96
